dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Very nice and easy to talk with.  Listened to my concerns.  Runs the office with his wife, very relaxing office.  Great at explaining and addressing my concerns.  He is like no other chiropractor I've been to.  I never felt as if he was too busy to answer questions.  A great doctor all around!  Thank you Dr.  Wasinger! 	5	5	5	5 	Insurance:BC Med
2	1	Dr Williams is amazing. I visited him through his functional med clinic. Contrary to other postings this is covered under your office visit copay as are most tests. He helped me tremendously  I had severe colon issues and he and  his team put me back together again. He is very busy bit is extremely knowledgable and will take the time to listen to you.  He is very compassionate just reserved 	5	4	4	5 	Insurance:Blue Cross / Blue Shield
2	-1	Dr. Williams is not as through as most doctors. When my toe was hurt I went to him and he told me to go home and soak it in water for 6 weeks and he would check it then. He never touched my toe. When I went to a different dr. I found out that it was broken.  	5	5	2	2 	Insurance:United Healthcare
2	1	Dr. Williams is in tune with the times, and offers real help toward getting well rather than merely managing symptoms. Yes, he gets busy, but he will give you the time you need if you take a list and have your questions in order. He diagnosed me with celiac disease after I had spent eleven years suffering from &quot;IBS&quot;. His willingness to persevere made a huge difference in my life. He also accesses tests that are tremendously helpful yet out of the mainstream. I applaud his efforts to genuinely try to help patients amidst the mess which has become our current medical system.  	4	3	4	5 	Insurance:Aetna
2	1	I have seen Dr. Williams since 2001 and have had good and bad sessions. Like any dr. he can get too busy and not listen as well as he should...when that happens I just say &quot;LISTEN TO ME&quot;. But I find him a good &quot;in the middle&quot; doc that doesn't go so much by the book as to not see outside it and not so far into alternative to no longer be realistic. He does run the Functional Med Clinic at his practice and there is a charge for all the intial testing in that but when I was in that Clinic there was not a charge to &quot;join&quot; it. They do carry a line of supplements but he has always told me what I need, offered theirs and told me where I could get it elsewhere if I preferred. He would improve his service to patients by slowing down, reading the charts BEFORE entering the exam room and being a bit more sensitive himself to the more &quot;sensitive&quot; patient.  	 7/20/07	3	4	4	Insurance:Blue Cross / Blue Shield
2	-1	This man was very rude and brisk! He gets mad if you tell him you are seeing other doctors, and wants to sell his expensive 800. 00 &quot; get well &quot;clinic and sell expensive supplements to you that do nothing! My wife left there in tears and said this was the rudest doctor she had ever met!!! 		3	1	1 	Insurance:Humana
3	1	A wonderful dr.  Helped through my pregnentcy I never had to wait!  She always explained everything going on what to expect and what she was doing! I am very happy and I have a happy healthy toddler 	5	5	4	4 	Insurance:Blue Cross / Blue Shield
3	1	I absolutely hate going to doctors but a few coworkers recommended going to her so I thought I would try it out. She was great.  She is my doctor and my 5 month old son's dr.  She also delivered him!  I would recommend her to everyone.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	-1	Went to this Dr. &amp; was hoping to get some help, but didn't. She tried to get me to let her take extra tests for things I didn't even need (I know this because another doctor told me that I didn't need it,& then helped me). Every time I have been to her, she doesn't seem to be &quot;up to date&quot; with some of the medical treatments offered now, so when I ask her about something, she says she hasn't heard of it. All I have ever gotten from her is a medical bill for nothing. If you have something simple, like flu etc. she is fine, but not good with anything complicated. For these types of things,I would suggest going to a doctor in a larger city where at least they might keep each other informed about newer procedures.  	4	1	1	1 	Insurance:Blue Cross / Blue Shield
4	1	i love dr winkler. she is the best dr, around. her nurse is the best! 	5	5	5	5 	Insurance:Unknown
