dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Very good staff and very good Doctor.He listened and acted as if he cared.Dr Young explained every thing in detail,which I really appreciated. I was very nervous about my ankle surgery,but I was told the worst was the recovery  which so far he has been right on. Thank you Dr Young and your staff.  	5	5	5	5 	Insurance:Workers Comp
2	-1	Dr. Younglove was friendly &amp; like an long time girlfriend for many years, until it was time to do a DnC to get my twins out.  In May she performed a Dnc which afterwards I bled constantly for two months. Started off heavy then lightened up, never stopped.  I dropped my insurance after the DnC.  She tried to advise I was pregnant again, which is why the test showed up positive, but that would put me 2 days pregnant.  Pregnancy levels are not that high in a few days.  Thanks to another doctor, it was determined in JULY that the surgery was not completely performed &amp; pieces of the babies were still in my body, so I had to do a 2nd DnC in July.  I would NEVER recommend her to anyone, if she didn't know how to properly perform the surgery then she should've referred me to someone else, which the other doctor made sure she was in the room and guided her through the process.  SMH.  Please if you every have to have this done...beware.  She never returned my calls nor spoke with me personally.  	5	5	1	1 	Insurance:Aetna
2	1	I found Dr. Younglove by word of mouth and am so glad I did.  She was always on time and very helpful.  Would come in the room and chat like we were old girlfriends!!   I loved it.   She was off the day I went into labor but showed up in my room!   She was like We are having this baby!   I had already prepared to see another female doctor but was soo excited when Dr.  Younglove came in to deliver my son!   I would recommend her over and over!! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Dr Younglove saw me through a high risk pregnancy and very complicated delivery. I was always very comfortable with her and she seemed to genuinely care and be concerned for me and my child. She saw me at all but one of my prenatal appointments, and came to the hospital shortly after I was admitted 3 times during my pregnancy. When I was on bed rest in the hospital for over a month she came and saw me almost everyday. I felt very supported and I would recommend her to anyone.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
2	1	I am so very comfortable with Courtney, she's down to earth and loves her profession.  When I talk to her I feel like I'm talking to my close friend.  Courtney did my hysterectomy and all went well.   I completely recommend her! 	5	5	5	5 	Insurance:CIGNA
3	1	to the point, seemed concerned and was assuring as a doc.  Didn't seemed to not care, again to the point.   I was ok with that 	5	5	5	4 	Insurance:Blue Cross / Blue Shield
3	1	SHE lISTENS AND HELPS DETERMINE DIAGNOSIS AND REFERS YOU ON for ADDITIONAL TESTING OR DOCTORS AS THE NEEDS REQUIRE. 	5	5	5	5 	Insurance:Unknown
3	-1	It took 35 minutes of sitting in the exam room, 50 minutes of waiting total, to be seen. When she finally got in there, she seemed to be in a hurry and was cutting me off my sentences.  I felt like she didn't have a full grasp on what was wrong with me, I have a neck injury and she wanted me to do bloodwork for a VITAMIN DEFICIENCY&#63; Long story short, I left the office ready to cry and none the wiser than when I'd come in, and had less money in my wallet. I just don't think she cares. I'm seeking a second opinion.  	5	2	1	1 	Insurance:Aetna
3	-1	Took my 85-year-old mother today and had TERRIBLE experience.  Were escorted into a room where she was told to remove her clothes from the waist down (we questioned because she was there because of suspected nerve damage in her arm, but the nurse confirmed necessity).  Because she is incontinent, this created anxiety. We waited in the exam room for more than one hour before someone came to do an EMG (on her arm, of course).  This person seemed very unsure while doing the procedure, said she definitely didn't have carpal tunnel syndrome (wasn't suspected to begin with).  Said mom couldn't get dressed yet. We waited quite a bit longer before finally seeing Dr. Younger.  She seemed quite unprepared, didn't recall why we were there (to receive results of earlier MRI).  Her first feedback - problem was carpal tunnel. Told her we had just heard not. Flustered, said she was &quot;confused&quot;, had trouble locating MRI, then prescribed new pain med and pain clinic, with no further diagnosis.  Shameful! 	1	1	1	2 	Insurance:Medicare
3	1	I was assigned Dr. Younger when I went to Menorah after a stroke. She has been incredibly patient, helpful, and knowledgeable about preventing further brain injury. She is the best! 	4	4	5	5 	Insurance:Unknown
