dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr.  Obryan and his wife make a wonderful team! Very complete 	5	5	5	5 	Insurance:Anthem
1	1	Staff is very nice and helpful.  Dr. O'Bryan seems to be very concerned and takes as much time as needed. 	5	5	5	5 	Insurance:Unknown
1	-1	Saw Dr. O'Bryan in Emergency Room. He &quot;diagnosed&quot; me with pneumonia, although my regular doctor (as well as my discharge papers) later gave me a different diagnosis. He also gave me a prescription for an expensive medication which actually was completely inappropriate for my malady! I have NO confidence in this physician; very disappointed.  	3	3	2	2 	Insurance:CIGNA
2	-1	He is a complete ASS. Wet behind the ears + a major chip on his shoulder - if he were the last doctor on the face of the earth and I needed treatment, I would kill myself. 	1	2	1	1 	Insurance:Unknown
3	-1	Our complaint about Dr. Owen is that he jumps to conclusions and bases his diagnosis on what he believes and not what the patient is telling him. He should listen to his patients and remain openminded. We would not recommend him to anyone.  	1	3	1	1 	Insurance:Workers Comp
3	1	he was so &quot;kind&quot; to devote 2 minutes maybe 3...  	1	2	3	4 	Insurance:United Healthcare
4	-1	.  	1	1	1	1 	Insurance:Anthem
4	-1	He will not take any sort of &quot;female&quot; emergency seriously and will belittle you for coming into the ER 	1	1	1	1 	Insurance:Unknown
5	1	. Able to discuss health problems and offer help 	5	5	5	5 	Insurance:Medicare
5	1	Great physician with excellent communications skills. Have been a satisfied patient for ten years.  		4	5	5 	Insurance:Blue Cross / Blue Shield
6	1	He was fast and efficient. I waited less than ten minutes in the waiting room and then less then ten for Dr. O'Connell.  It was an enjoyable experience 	5	5	5	5 	Insurance:Medicaid / Medi-Cal
7	-1	. Surgery resulted in permanent nerve damage! 	1	1	1	1 	Insurance:Humana
8	-1	Dr Oder's staff never returns calls or sees about script refills. Called could not see doctor cause just saw him last week so she said she would talk to him and have something sent out. She did not do it, so here is another sleepless, sick evening. Need to change doctors 	1	1	1	1 	Insurance:Unknown
8	1	Dr. Oder and staff are always sympathetic, the doctor addresses the issue at hand, and usually with a few options. One of the few great family practice doctors in the area.  I drive from Louisville to Taylorsville just to be seen by him.  	 4/3/11	5	5	5	Insurance:CIGNA
8	1	Dr. Oder has been my doctor many years and as a health professional , i am careful about who provides my health care. He is patient, kind and explains anything asked of him. His approach is holistic and he never rushes thru assessments or care.  	4	5	5	5 	Insurance:Humana
8	1	Doctor Oder is outstanding. Very patient man. He took extra time to explain my conditions and what he felt my recovery was going to be like. He was understanding and assisted me with all forms I needed for work.  We are blessed to have him in Taylorsville! 	5	5	5	5 	Insurance:Humana
8	1	He took almost 1 1/2 hours for our first visit, took time to really listen to me. Seemed to believe me, which is saying a lot when you have Fibromyalgia! My husband has also seen him for a back injury and arthritis and he has been very helpful and knowledgeable about both. 		5	5	4 	Insurance:Unknown
9	-1	Staff tends to be very short and somewhat rude. 	 5/8/08	3	3	2	Insurance:Unknown
10	1	Dr. Owen was able to get me in as a new pt ASAP!!  It is difficult to have a timely appt for a dermatologist and that service was greatly appreciated in my time of need.  	4	5	5	5 	Insurance:CIGNA
11	1	I have been seeing Dr Oliphant for 20 plus years and I couldn't ask for a better Dr. His &quot;bed side manner&quot; is excellent. He makes me feel comfortable and he always makes sure you understand everything before you leave.  	5	5	5	5 	Insurance:Anthem
11	1	He is so wonderful. Got me through 3 ectopic pregnancies. Would call me at home to make sure I was taken meds and getting better. He explains everything. He answered all my crazy questions with genuine concern,He treated me as if I was a member of his family. I trust him with my life. Wonderful doctor extraordinary man. 	5	4	5	5 	Insurance:Unknown
11	1	Dr. Oliphant es maravilloso,  agradable y con mucha experiencia en su  especialidad. Se toma el tiempo necesario para escucharte y da la solucion correcta   a los problemas medicos de los pacientes. Las recepcionistas son muy agradables y su enfermera es muy atenta y presta atencion  a tus problemas. Great Doctor, Nurse and staff .  	5	5	5	5 	Insurance:United Healthcare
11	1	Love this doctor. Very helpful and knowledgeable. Returns all calls and will sit with you forever answering any questions. Got me thru 1 miscarriage and 2 births. Wish he was my general dr.  	5	4	5	5 	Insurance:Anthem
11	1	Wanted to update my review:  Dr Oliphant came to visit me after hearing I was hospitalized at NO CHARGE to my insurance just because he wanted to check on me.   THAT is a STELLAR doctor!! 	4	5	5	5 	Insurance:Aetna
11	1	awesome doctor who delivered both of my babies. sweet personality and knowledgeable too.  	4	3	5	5 	Insurance:Humana
11	1	Dr Oliphant is an AWESOME OBGYN for ladies w PCOS trying to concieve! He started me on both Metformin and Clomid after a brief consulatation appt and ultrasound, and ALWAYS returns phone calls in timely fashion... great personality too! 		5	5	5 	Insurance:Aetna
12	-1	SHE IS PATHETIC.  DOESN'T KNOW WHAT SHE IS DOING! WHO ACCEPTED HER INTO MEDICAL SCHOOL! 	1	1	1	1 	Insurance:Humana
13	-1	I saw Dr. Orthober in the Emergency Room at two different hospitals on consecutive days. Both times for accute pancreatitis. The first time, after not doing a ct scan and ignoring my symptoms, he said there was nothing wrong and sent me home with severe &quot;unexplainable&quot; pain. The next day when I went to a different hospital for a second opinion he accused me of being a drug addict and said I was using my disease as an excuse to get narcotics. After that I went to my family doctor and with a quick blood test and an x-ray he found that I was suffering from an acute pancreatitis attack. A painfully obvious diagnosis Dr. Orthober was wrong about twice in two days. Perhaps Dr. Orthober should quit judging people and not assume the patient is lying every time he's wrong. 	3	3	1	1 	Insurance:Unknown
14	1	Dr. O'Nan is the best doctor I've ever had. She is knowledgeable, friendly and easy to talk to. It feels like you're talking to a friend rather than your doctor. She takes time to answer your questions and ease any concerns. She's highly professional but down to earth enough that you feel very comfortable with her, which is especially important with an OBGYN.  I highly recommend her! 	5	5	5	5 	Insurance:Anthem
14	1	Dr O'Nan is the best!  She takes time to understand your issues and make sure you get absolutely the best of care.  I know several people that see her and all are very satisfied.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
