dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	I saw Dr. Carver for a few years before he switched to MDVIP. He is warm, funny, personable, an excellent listener, and very insightful. He looked at &quot;the big picture&quot; and I had excellent results from his insights and treatment. We were sad when he switched to MDVIP, which we can't afford. That said, if you're willing and able to pony up the yearly $1500, he is the person I would recommend. His nurses have always been professional and kind but I agree with the poster below about the front desk staff- I rarely felt I was treated well when I called to schedule an appointment and was spoken to with dismissive irritation at times when I didn't feel it was warranted. But we took it in stride because we felt he did give exceptional service.  	3	3	5	5 	Insurance:United Healthcare
1	-1	So far each of the visits to their office has been less quality than I expected. The receptionist has NEVER greeted us as we entered, but instead she has continued her conversation while I waited to tell them my name.  	2	4	1	1 	Insurance:Blue Cross / Blue Shield
1	1	This physician has now joined MDVIP.  Patients are required to pay $1500 per year to remain in his practice.  Very unfortunate, he WAS a very good doctor. 	4	2	3	4 	Insurance:Unknown
1	1	I absolutely LOVE Dr. Carver, he is patient, thorough, kind and professional.  I highly recommend him to anyone.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	1	the best.  always in good mode.  Never makes me feel like he's in a rush to get on to the next patient.  genuinely cares about my comfort and health.  would strongly recommend.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	1	He has been my physician for 7 years now and I highly recommend him.  He is very personable and seems to genuinely care about what is going on with my health.  He never seems to be in a hurry to get me in and out of the room - he listens until I am finished.  I moved out of state for 2 years and when I returned, he remembered everything about my medical history.  His staff speaks very highly of him as well.  	5	5	5	5 	Insurance:United Healthcare
1	1	As others have said, very good doctor, takes time to talk and really cares about your situation. As with most doctors offices you have to wait in the waiting room then wait in the patient room for a long time, but I have had that with every doctor.  	5	3	5	5 	Insurance:Blue Cross / Blue Shield
1	1	Great doctor! Explains condition and treatment info very well. Gives impression he really cares and is also a good listener which is very hard to find. Does not make you feel you have been rushed through the office. Takes is time to give the care and advice you need. 	4	4	5	5 	Insurance:Unknown
1	1	Very helpful, listens to me and is concerned about my health. At times, he is behind with his appointments, however, he never seems to be in a hurry when he sees me. He immediately sits down, smiles, and wants to know what I need. I have had a medical incident that has required several appointments and he always seems concerned about me. He recommends follow up appointments and never makes me feel foolish for asking questions and making comments. I had trouble with the front desk receptionist getting her to transfer me to his nurse. When I mentioned this to him, he gave me his nurse's direct line so I did not have to call the front desk. He is an extremely caring and patient doctor. I wish all doctors had his personality and his ability to work with patients.  	5	4	5	5 	Insurance:CIGNA
1	1	I agree with everything previous poster said. He is a great doctor.  		3	5	5 	Insurance:United Healthcare
1	1	One of the best doctors I have ever had. Always happy and smiling, always sits down when he comes in the room showing that he is willing to sit and talk and take the time to listen to all of your concerns. Highly recommend.  		2	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Kind, skilled, interested, provided personal follow-up. Helpful staff.  	5	5	5	5 	Insurance:Medicare
2	-1	I scheduled an appointment and could only get in for my consultation 3 months later. When I went to the consultaion I had to wait 45 minutes and then the doctor and nurses did not say much of anything. I scheduled my surgery for 3 more months from then. After taking off work and making many arrangements they called me 3 days before the surgery to tell me all the doctors had a very important conference to go to so they had rescheduled my appointment for the next week. I could not make the appointment they had made for me so they gave me a date 2 months later. Needless to say I found another doctor.  I know things come up but they had no regard for me and my incovenience. I would not reccommend this doctor because of all the time I have wasted with them. 	1	1	1	1 	Insurance:Unknown
2	1	Dr. Carlton has fit me in the same day I called for different dental issues (one time my wisdom tooth abscessed into my sinus cavity).  He's super!  I found him to be professional, timely, knowledgable and friendly.  I completely recommend him.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
