dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	I loved my experience here. Dr. Dhulipala is very nice and takes time to explain everything. I would definitely keep going to her.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	1	this doctor is very patient friendly and explains everything thouroughly. She spends time with you.   Excellent doctor!! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	0	Was very disappointed. Was referred by another patient who felt he was excellent.  I found him to be impatient and short tempered.  	3	3	2	3 	Insurance:Blue Cross / Blue Shield
2	1	Very thorough and very kind doctor. Has excellent bedside manner. Takes time with patient and explains everything. Has very good staff.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
3	1	. doctor trained in Miami and California, so glad he came to New Orleans 	4	4	5	5 	Insurance:Humana
4	1	Dr. Dantin is great if you are not into being heavily medicated. She only suggest vitamins for problems I have. After suffering from constipation for years she finally got to the root of the problem...a food allergy. She is great and easy to talk to. She doesn't have a fancy office like some but she also doesn't waste your co-pay money.  	4	4	4	5 	Insurance:Blue Cross / Blue Shield
4	1	FINALLY!  A doctor who isn't controlled by big pharmaceutical companies!  She instantly diagnosed my problem, and gave me good information, answering all of my questions.  THANK YOU!! I will recommend Dr. Dantin to all my friends with confidence that she won't push pills just to make more money.  A rare find these days.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	You could not ask for a better DR. Ihave beening seeing her for eleven years and love her kindness and helpfulness.She is the best doctor i have ever seen Thanks DR. DANTIN 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	I have been a patient of Dr. Dantin for 15+ years and have followed her as her offices have moved around Baton Rouge. She is very knowledgeable, down to earth and will take as much time as needed to fully assist her patients. She not only does what it takes to heal you, but also discusses natural healing steps to improve your health. If I had to pay her for not getting sick, I would owe her alot more. On a side-note: She is also a military veteran and has spent time with our soldiers overseas.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
4	0	Dr. Dantin is a very nice and caring person. Still, she spent most of my visits discussing her own maladies, while my own were progressively getting worse with each visit. Her eagerness to move on to her next patient was quite apparent, as I rarely had the opportunity to discuss the various ailments in any detail. Long story short, I'm moving on to another doctor.  	4	4	2	3 	Insurance:Coventry
4	1	The absolute best, top-notch. Down-to-earth, extremely helpful and caring, very &quot;real&quot;. You know Dr. Dantin is not in medicine for the money...it is truly her calling in life. God bless her. 	 5/6/09	5	5	5	Insurance:Unknown
4	1	Dr. Dantin is one of the few doctors i've had who actually takes the time to listen to you and address all of your concerns.  She will take whatever time is necessary with each patient, not just pop in and out and you're out the door.  She is willing to listen's to patients thoughts and opinions and give feedback on her experiences with different options.  I have hypothyroidism and have great problems with the medications available, she is so very willing to work with me on this.  She is the only doctor I have found who is.  She's a great Doctor.  	 3/27/09	5	5	5	Insurance:Blue Cross / Blue Shield
4	1	I'm a new patient, so I might change my opinion in the future, but for now I'm quite pleased. She's down-to-Earth, almost, y'know, *human*, which is a refreshing change. I generally don't care for doctors, and am happily surprised by her so far. Good thing there's no patient rating service -- I think I've missed my second appointment with her, so she's probably not as pleased with me as I am with her. I found her through this service, and am glad I did.  	4	4	5	5 	Insurance:Blue Cross / Blue Shield
4	1	I've had unexplained health issues for most of 2008, and after seeing several kinds of doctors, she is the first dr to listen and think outside the box.  	4	4	5	5 	Insurance:Aetna
4	1	Dr. Dantin always takes her time and asks a lot of questions to diagnose my complaints.  She is always right on target too. 	4	4	5	5 	Insurance:Unknown
5	-1	I think Dr. Desai is working the insurance &amp; drug system for extra money. I don’t feel he has concern for his patients. It took a month for his office to schedule an appt. Initially he seemed concerned but it soon became apparent he didn’t care. He gave the same meds as every other Dr had. I offered previous records and he had no desire to see them. Later I received a call to do a lung function test. The same test I did 4 months earlier for my retirement. At my  follow up a PA enters tells me my test indicated I might have a touch of asthma and I should start huffing these inhalers 2-3 times a day for the rest of my life, she says I’m good to go and to make a follow up in 3 months. I asked if I was going to see the Dr. and she said there was no need. I indicated to her that this isn’t even what I was trying to see him about; she said everything else looked fine and I should schedule a follow up in 3 months. She didn’t even ask if the meds he had given me had help my initial condition. 	3	3	1	1 	Insurance:Unknown
6	1	This is the first time that I met him and I am very happy.  He was very helpful and explained everything very clearly. 	5	5	5	5 	Insurance:Unknown
6	-1	Dr. Dean could not get a prescription right no matter how many times I went back for him to correct. His office staff is rude and terribly unhelpful. 	1	1	1	1 	Insurance:Unknown
7	1	Very professional. My mother miss you. Seeking your new office. 	5	5	5	5 	Insurance:Unknown
7	1	I was Dr. donaldson's patient for many years when she worked at ELK in Baton Rouge, LA. I received professional treatment and care as her patient. I have not been able to find a Podiatrist to help he as she did since she left Baton Rouge.  	5	4	5	5 	Insurance:Humana
8	-1	The staff is very unprofessional &amp; rude...We waited hours &amp; ppl who arrived after us were called first!! Basically you are not Priority!!!! They go n random order...appointments do not matter!!!! If u want to be treated like crap and wait hours this is the place to b!!!  If ur child health isnt ur top priority then you will love this office. 	1	1	1	1 	Insurance:Unknown
8	-1	This place sucks.They overbook and pass people in front of you. Its been a long time since I have experienced this type of unprofessionalism and lack of knowledge about scheduling patients. Its been two hours and i still havent seen dr dersam. . 	1	1	1	1 	Insurance:Unknown
9	1	I have had severe headaches for several years. Highly recommended from a friend w/ several herniated disks. He is very knowledgeable. Took the time to explain to me about the cervical spine, bulging discs and how we were going to go about treating my pain. He does not talk down to me and clearly answers all my questions. I know he has many many patients. A Dr's manner in how they talk to me and take their time to answer my questions is extremely important. Very satistfied w/ Dr. Domangue. Great bed-side manner!Very approachable! He recommended a terrific chiropractor, have had 2 epideral steroid injections, a speciality perscription lotion for my shoulders to apply. I don't get as many headaches now and can function much more happily in my life. It's all about the pain management. 	4	5	5	5 	Insurance:Unknown
9	-1	Dr. Domangue did not show up for the appointment.  After a dangerous drastic procedure no vitals were taken.  Only a nurse showed up with no input nor knowledge of the procedure.  She took down no information of the progress or symptoms.  This is by far the worst &quot;Doctor's&quot; visit I have ever had. 	2	1	1	1 	Insurance:Unknown
10	1	Dr. Dileo is a wonderful doctor who is very knowledgeable. I would refer anyone to see him, I truly cannot say enough about him. 	5	5	5	5 	Insurance:Unknown
10	1	This Man Is A Great dr. the time he gives is beyond any other-he listens take time and will test for everything you need.  	5	5	5	5 	Insurance:Medicare
11	1	I have been a patient of Dr. Dantin's for many years. He has ALWAYS been professional, caring, compassionate and very helpful to me. He answers all questions in layman's terms and never speaks &quot;down&quot; to me as some drs. I've been to. Overall, I recommend Dr. Dantin to any friend or family who asks! 	4	3	5	5 	Insurance:Unknown
11	1	I have been a patient of Dr. Dantin for seven years. He is very knowledgable on which tests to run (even with rare and complex conditions) and where to refer patients when it is found that a specialist is necessary. 		5	5	5 	Insurance:Unknown
11	1	I have been with Dr. Dantin for over 15 years. He has helped me through many aches and pains and is current on medications. He will work within insurance guidlines when ever possible. Good Doctor. 		4	4	4 	Insurance:Unknown
11	-1	He wasn't too interesting in trying to solve the Health problem.. Just give meds then boot out.. 		3	1	1 	Insurance:Unknown
11	1	I have gone to him for many years. When my problems are too serious, he knows when to refer me to a specialist and when he can do the job. 		3	4	4 	Insurance:Unknown
