dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr. Hall is wonderful with my son.  She always makes me feel he is so special to her. 	5	5	5	5 	Insurance:Unknown
2	-1	This doctor perforated my child's colon and told us to take her home and let my child &quot;sleep it off&quot;  she was flown to another state in order to save her life...thousands of $$$ later and he is still practicing 	1	1	1	1 	Insurance:Unknown
3	-1	i had her through out my pregnancy and she didn't show any interest in trying to provide me with the support and kindness a first time parent needs. she also insists things be done her way. 	3	2	2	2 	Insurance:Unknown
3	0	This woman is COLD. No personality and not very helpful. I had some complications with my pregnancy and although she sent me on to a specialist, I wasn't impressed with her at all. Not very caring considering she delivers babies.  		3	2	4 	Insurance:United Healthcare
4	1	Very unprofessional office. I could see in the X-ray room where they had women changing and partially clothed. The dr. forgot to hand in paperwork for my tests so I just sat around his office (in pain, Im not in here because I feel so GOOD I can't stand it). Then I go to the pharmacy and the scripts aren't complete, and the office is closed. I call the next morning and I'm told I'd have to wait till afternoon b/c the dr. is doing clinicals. I called 4 more times that day and still couldn't fill them b/c they didn't do what they promised after the 5th call. Irresponsible and unprofessional! I did finally get them to correct the mistake, 3 days later.  	1	1	4	4 	Insurance:Medicare
4	-1	The doctor was very unperfecinal and rude.  Jumped to conclusions and accused me of things he thought with no facts to back them up! 	2	2	1	2 	Insurance:Medicaid / Medi-Cal
5	1	We have used Dr. Hargroder as long as he has been in Baton Rouge and wouldn't use any other dortor. He has saved my husband life twice in 2004 and and has help me through several bad illness.  He is very caring at all times.His nurse is the nicest person you want to know.  	5	5	5	5 	Insurance:Aetna
5	1	Dr. Hargroder is the best doctor I have ever had the pleasure of seeing.  He and his nurse go out of their way to help you and are very compassionate and caring.  Dr. Hargroder takes time to properly diagnose ailments and has always treated me with respect.  	5	5	5	5 	Insurance:Aetna
5	1	Dr. Hargroder saved my husband life twice in one night. He is very caring ,and I would put my life in his hands anytime. 		5	5	5 	Insurance:Unknown
5	1	Very nice, listens to your concerns. Not judgemental, no problem in referral to specialists. Office is nice, his nurse is prompt in returning calls. May have small wait (10 min.) but he will stay and address any problems you may want to talk about. Always professional and kind. I would refer this physician.  		4	5	5 	Insurance:Humana
6	1	Dr. Haynie handled both of my surgeries and recoveries with the utmost care and concern.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
6	1	I was pleased with my experience with Dr. Haynie.  Helpful and knowledgeable.  	4	4	5	5 	Insurance:Tricare
6	1	Dr. Haynie has removed 2 bone growths from my son's knee. He has always been kind and very comforting to my son thru both surgeries. I can't say enough good things about Dr.  Haynie! 	5	5	5	5 	Insurance:United Healthcare
6	-1	I would not use this doctor or any other doctor for that matter in this clinic.  All he cares about is the insurance company and not his patients (especially if you are an accident victim). 	3	3	1	2 	Insurance:Unknown
6	-1	1st visit 8-13-08 for shoulder injury-he felt shoulder-gave injection sent me to therapy-8 more visits did not once examine shoulder=did sugerey on 3-27-09-follow up visit on 3-30-09-sent me to therapy for another 4 weeks-another visit on 6-01-09 had injection in hip*6-04-09 another visit and was told the problem was my neck &#63;&#63;&#63;&#63; did not get an answer when i asked &quot;if problem was the neck why did you do surgery on my shoulder&quot;went back on 6-11-09 and haynie said he could do nothing for me.   14 office visits and one surgery- after surgery no one has even looked at my shoulder  out of the 14 office visits haynie spent about 3.5 or 4 minutes with me    on ome visit 06-04-09 (i think this is correct date) his receptionist told me she was to have shoulder surgery- i remarked do not use haynie she replied do not worry i will not ---- seems to me haynie was milking workers comp for all he could get while not worring about me.  would not reccomend him for anything or to anyone 	2	2	1	1 	Insurance:Workers Comp
6	1	I went to see dr Haynie for shoulder pain. He operated on my shoulder and removed a bone spur. This was 2 years ago and everything is great. Dr. Haynie did a great job. He is straight to the point. If you need extra compassion or a dr. to listen to you whine, don't go see him. If you want a Dr who is to the point and can fix it, Haynie is your Dr.  	4	4	4	4 	Insurance:United Healthcare
6	-1	I went to see Dr. Haynie for a back problem.  He completely missed the signs of a pilonidal cyst (extremely easy to diagnose with a triagle that forms at lower back) & gave me steriods which made it GROW.  It was the largest ever seen by an LSU doc & had to be packed for over 2 years.  Had sepsis so bad that had emergency surgery & in hospital for a long time.  	3	2	1	1 	Insurance:United Healthcare
6	1	one of the best ortho doctors there are. 	5	5	5	5 	Insurance:Unknown
