dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
6	1	 He has been my doctor for 20 years and my fathers doctor for10.   He is the best cardiologist in the country 	5	5	5	5	Insurance:Medicare
6	1	 I find Dr. Iteld to be very compentent and knowegeble physian he has been my doctor for almost 20yrs. Dr. Iteld found a blocked LDA and inserted a cardiac stent that saved my life.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
6	-1	comments 	4	1	2	2	Insurance:Unknown
10	-1	commentsStated to office manager (who told me to not make any appointments on his day, as he takes his time with every patient i.e. you will be there all day), his nurse and Dr. Idowu that I was a cash patient WITHOUT insurance on a very limited income.  He gave me one month's prescription for  my seizure disorder then told me I needed testing done that would cost in the thousands (MRIs, EEG, blood work) before he would give me another prescription.  I had explained my situation very clear upfront while making the appointment and while I was there.  His bedside manner is very poor and English is not his first language. 	1	1	1	3	Insurance:Unknown
16	1	commentsHas been dentist for several years. Excellent care. Seems to be very honest. No complains all these years. Very gentle and shows concern for the patient. 	5	4	5	4	Insurance:Unknown
22	1	 Dr Ingram is the best physician in Natchitoches. He saved my mothers life when several of the other so called doctors (incompetent quacks) in town almost killed her. He is very caring, communicative and extremely skilled. I just hope they dont run him off. This town needs a expert like him.  	1	5	5	5	Insurance:Medicare
22	1	 He is wonderful, very knowledgleable, caring & compassionate.   I trust him with my life! 	2	2	5	5	Insurance:HealthPartners
32	-1	commentsvery rude, no sense of humor,thinks you are a 10 year old kid.you pay $3000 for a 15 min. surgery and all you get is attitude and disrespect...dont waste your time and money with this joke.... 	1	1	1	1	Insurance:Unknown
32	1	commentsWonderful surgeon very conservative and really cares about my overall outcome 		5	5	5	Insurance:Unknown
32	1	commentsHad LASIK in 1998...gave me vision without correction after 20 years of contacts & thick glasses. I'm forever greatful! Paid/Co-pay:$6000		4	5	5	Insurance:Unknown
33	1	 I like Dr. Ishag alot. She gets right to the point and tells you like it is, no beating around the bush here. She's honest and open.  	4	3	5	5	Insurance:Blue Cross / Blue Shield
33	1	commentsDuring my visit I felt that I was treated very well.I would absolutely recommend this doctor to my family and friends.  I felt this visit was a big help.Overall I would rate this visit : outstanding! 		4	5	4	Insurance:Unknown
43	1	commentsGood bedside manner.  Very knowledgeable. 	5	5	5	5	Insurance:Unknown
44	0	.  On a gall bladder removal he says you won't hurt but Trust me You Will! 	3	3	2	3	Insurance:Aetna
50	1	 He is wonderful doctor with great deal of compassion and knowledge. I was referred to him by my previous psychiatrist who felt that I need an expert psychopharmacologist. He is very respectful and caring. I would recommend him to anyone without any reservation.  	3	3	5	5	Insurance:Blue Cross / Blue Shield
50	1	 Knowledgeable, but you'll have to wait a while for any appointments. He doesn't say very much to you. He just asks &quot;so, how are you doing&#63;&quot; then you tell him, and he'll make notes of it, write a prescription for you, then it's over.  	4	2	3	5	Insurance:United Healthcare
50	-1	commentsEarly morning appointment was two hours late. Did not call in prescription, office help rude. 		1	1	2	Insurance:Unknown
53	1	 Several years ago I was searching for a doctor who truly cared about his/her patients.  I knew on the first visit with Dr. Ieyoub that I had found that person. She is thourough, responsive, and knowledgable.  In addition to that is she is down to earth and not &quot;impressed with herself&quot;. I would recomend her to anyone.  	5	5	5	5	Insurance:Aetna
53	1	 Dr. Ieyoub is very caring and thorough.  She listens to everything you say and questions you and examines you thoroughly.  She is not one to give you medicine if you don't need it and is not afraid to refer you to someone else.  She is very compassionate and sweet and I would recommend her to anybody.  	5	5	5	5	Insurance:Aetna
