dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Very nice man.  Good bedside manner.  Seems to be caring and compasionate.  	5	5	5	5 	Insurance:United Healthcare
1	1	Very caring and knowledgeable. Found a problem I had that was missed  by 4 other doctors.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	-1	He was always fishing and never had time to see me. His nurse took care of everything and always had to call him on his cell phone to make sure she was doing everything that needed to be done.  	1	1	1	3 	Insurance:Blue Cross / Blue Shield
2	1	Hes gentle and fast. My corns are ugly, didn't want to wear sandals went to him he shaved them off. m such a nice doc 	4	5	5	5 	Insurance:Aetna
2	1	Awesome doc. Nice office. The wait time was short, much to my surprise. Im used to waiting in the office for over 30 min. He's really professional and knows what he's doing.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	I went to Dr Kadish when i couldn't  take my heel pain anymore. I am a runner and the pain became so bad that I had to stop running. I went to Dr Kadish and he informed me of my plantar fashiatis. He gave me a steroid shot and my feet felt brand new! I am so thankful I went and got my life back. Running is my passion and without him I would have never been able to get back to normal. 	5	5	5	5 	Insurance:Unknown
2	1	I was really nervous about seeing a doctor for my foot pain. I had been living with my bunion and the pain that came with it for years. My friend told me about Dr. Kadish. She said he was really nice and gentle so I mustered up to courage to see him. He told me that the procedure was simple and I didnt have to live with pain. Its been a year and a half since my surgery and I could not be happier! I love him! 	5	5	5	5 	Insurance:Unknown
2	0	$2505.00 apiece for the first 3 Office Visit&#63; Absolutely outrageous. After 3 visits I left and went elsewhere (suggested by my Insurer).. This place seems more interested in money than curing the patient. There are many other Podiatrists in the City. 	1	1	2	3 	Insurance:Unknown
3	1	This office has no idea what's going on. The office visit was pleasant, but there follow-up is horrible. They were supposed to contact me in a given time period on my results. Since the given amount of time had lapsed I called them to find that they don't know of any results or anything from my last visit. I was swapped between 3 ppl in a given call and had to remind them of what test where taken and what went on. Isn't that why you have a file&#63; Overall I am very displeased... It's taxing enough having to visit an oncologist, but for them not being able to recollect the services they rendered is unacceptable. 	1	1	2	5 	Insurance:Unknown
3	1	Showed concern and was very gentle in examination.  	4	5	5	5 	Insurance:Medicare
4	1	I love love love Dr. Kirby.  I never has someone be so thourough with me and he always helps improve my vision. 	5	5	5	5 	Insurance:Unknown
4	1	Dr Kirby is very polite and very knowledgeable.He really cares for his patients. 	5	5	5	5 	Insurance:Unknown
4	1	I'll admit I was hesitant to go to Wal-Mart for eyecare. But after a really bad experience at another optometrist, I went to Dr. Kirby's office at the Wal-Mart Vision Center. The wait for my appointment was less than ten minutes and the reception staff was efficient and courteous. The doctor was also pleasant and thorough. He listened to my concerns and made sure everything was good with my eyes. I had a comprehensive exam and a contact lens exam. I highly recommend this eyecare team. The price is very reasonable for the high level of care given. 	5	5	5	5 	Insurance:Unknown
5	1	I was incredibly impressed with Dr. Kaliebe when I saw her today, for the first time.  I got right in, and she saw me right away.  The staff was very helpful and courteous.  I found Dr. Kaliebe to have a lovely bedside manner, and it was clear to me that she is very smart and thorough in her approach.  I would highly recommend her and will continue to see her.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	Been going to her for over 4 years for osteoporsis.  Find her thoughtful and professional.  Called me with results, and explained them carefully.  Conservative approach, evaluates you and does a good work up. Did not rush me into any decisions.  Seems very knowledgable. 	4	4	4	5 	Insurance:Unknown
5	-1	She was very rude, went in for strep throat and she tried to convince me I was pregnant cause I was so &quot;big&quot; . I refuse to see Anyone besides my regualr docotr.  Ochsner sucks to being with 	 6/14/09	2	1	1	Insurance:Humana
5	-1	Terrible bedside manners.  Does not listen to patient issues nor look in detail at records.  	2	3	1	1 	Insurance:Humana
5	-1	She mis diagnosed me, then did no follow-up.  I almost died because of her mismanagement of my care.  She is a cold, heartless dotor. 	1	2	1	1 	Insurance:Unknown
6	-1	This doctor cancelled two appointments I had the day before. And with no reason. Do not see this doctor if you want her to show up.  	5	1	1	1 	Insurance:Blue Cross / Blue Shield
7	-1	This is the worst dr. I have ever seen.  He prescribed a medicine he knew I was highly allergic to and a second drug that should not be taken with another drug that he knew I was taking. He was very unprofessional and I am not sure how he passed medical school. Stay as far away from him as you can.  He ran tests that wer expensive and unnecessary for my treatment.  Thank goodness I have good insurance so the money was not technically coming out of my pocket but Blue Cross needs to watch the tests that he runs and be sure they are necessary.  He made me very nervous being in his presence and asked many inappropriate questions.   Stay away from him because the next time he mis-prescribes a medicine it could result in the death of a patient 	3	1	1	1 	Insurance:Blue Cross / Blue Shield
8	1	the best 	5	3	5	5 	Insurance:Unknown
9	1	Usually relatively easy to get appmt, and Dr Kemp seems to strive to see patients on time.  Dr Kemp always takes time to understand patient complaints, and to discuss diagnosis in detail.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
9	1	It's true Dr. Kemp is very attentive to his patients. You have his full attention and he never rushes you and he is never rushed. He doesn't over book his day so there's never a long wait. His office staff and nursing staff is A-1 as well. I highly recommend him to everyone.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
9	1	Dr. Kemp is very attenative to his patients....and he actually listens to what they have to say regarding their concerns. He's never rushed and you have his undivided attention. He takes the time to explain the medical situation to you. And then lets you ask questions. Dr. Kemp doesnt over book his day do that leaves quality time for each patient. You don't find many doctors that provide this level of care in this day and time. He truly cares about his patients and goes the extra mile for them.  		5	5	5 	Insurance:Blue Cross / Blue Shield
9	1	I would recommend Dr Kemp to anyone looking for healthcare in Denham Springs. He is a wonderful doctor. I have been seeing him for more than 5 years now.  		4	5	5 	Insurance:Blue Cross / Blue Shield
9	1	Very personable. Takes time to hear your complaint. 		5	5	5 	Insurance:Unknown
10	1	Dr.Knecht has the most professional and caring I have ever encountered in a physician. He is great with kids and with adults as well. Other physicians go to him and he is a great diagnostician. He will point you in the right direction for a specialist.  I know two people for whom and has discovered cancers at a much earlier stage than most physicians, according to the cancer centers they later attended.  He will personally check up on you and WILL answer his home phone if you call him.  He will also meet you at the emergency room when necessary.  His staff is super nice and knowledgeable.  In addition, he has a great sense of humor. 	5	5	5	5 	Insurance:Unknown
10	1	VERY SMART, FRIENDLY, FUNNY AND EASY TO TALK TO. HAS A WAY OF PUTTING PEOPLE AT EASE. BETTER WITH KIDS THAN ANY PEDIATRICIAN I'VE EVER SEEN. WOULD RECOMMEND HIM TO ANYONE WHO IS LOOKING FOR THE BEST FAMILY DOCTOR IN TOWN! 	 7/27/07	5	5	5	Insurance:Unknown
11	-1	Doctor refused to see me because I forgot my insurance card. I had the insurance company on the phone and they wanted to tell them that they authorize the visit and will pay, but the receptionist refused to talk to them. This doctor's office is all about the money, not relieving suffering.  	1	1	1	3 	Insurance:Humana
11	1	Been going to Dr.Robert for years and have found him to be very concerned and always tries to find a solution to complaints. Has sent me to other Drs. when he feels that the problem can be better taken care of by another.  Always tries to give samples! 	4	4	5	4 	Insurance:United Healthcare
11	1	I am so happy I found Dr. Koppel.  He treated me like a person, and I am so grateful.   And funny too! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
11	1	Dr Koppel was kind and professional.  His staff was very friendly and efficient.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
12	1	. best doctor ever i think everyone should go to him 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
12	-1	horrible doctor, i will never see him again, and not a very good person 		1	1	1 	Insurance:Unknown
13	-1	takes no time with pat. nor listin about there pain.  	3	4	2	2 	Insurance:Medicare
14	-1	there drug testings are sometimes wrong and you get taken off of medications that you need. 	2	5	2	2 	Insurance:Unknown
15	1	I found Dr. Kacos to be very professional, through and friendly. He is well versed in the latest dental techniques. He makes sure you are always comfortable. The office staff is friendly and accomodating.  	5	5	5	5 	Insurance:United Healthcare
