dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
3	-1	 Alexander claims to be a geriatric specialist but is not able to diagnose Alzheimer's Disease or he does not have the ability to perform eccepted diagnostic tools to regognize the disease.  		1	1	1	Insurance:Anthem
6	-1	commentscrown, however broke tooth 	5	5	1	1	Insurance:Unknown
8	1	commentsThis is my own personal opinion based on my own personal patient experiences with him:  excellent urologist; excellent surgeon; lacks wisdom,patience,compassion; his caring for patients seems limited to the purely technical aspects of his practice; does not listen well to patients and doesn't really care what they think; easily offended when he's offered constructive criticism; if patient does not appear subservient, he is quick to threaten patient with discharge from his practice; bottomline is that he is NOT Marcus Welby, M.D. 	5	4	4	5	Insurance:Unknown
10	1	 I have been with Dr. Agren since 1997. He is the only Doctor I trust with my back.  	5	3	5	5	Insurance:Medicare
10	1	 I had severe scoliosis for years and pain in back. I searched for a back surgeon for about 2 yrs and found Dr Mats Agren in Falmouth Maine as a result of my primary care doctor. I had surgery Jan 24th 2011 and was very successful. I am almost pain free after 6 weeks from surgery. It was 7 hrs on the table and I was up walking same night. The dr consulted with for many hours and he said I would 90% pain free after all the years of pain. He also straightened out my spine as much as he could and now I stand up straight. The knowledge of this dr is great. I went to Boston Hospital and they told me there was nothing they could do, except keep going to physical therapy. I would recommend Dr Agren to anyone. He is the best.      David Marsters Sabattus Me 	5	5	5	5	Insurance:Tricare
16	-1	 Unforunately.  Dr. Adler and I did not end on good terms.  She may be a a medicore gynicologist and can deliver children, but I would advise against anyone having her as your PCP.  She misdaignosed several things that were quite serious, and was not good at all referring me to a new person to help.  I had a phone conversation where she was INCREDIBLY disrespectful, rude, and unprofessional.  Please BEWARE.  I felt at one time I could completely trust this person, and am now dealing with many health issues that could and should have been avoided if not treated sooner.  	3	2	1	1	Insurance:Anthem
16	1	commentsDr. Adler is the best! She delivered both of my children, followed me until I moved from the area and 5 years later I still miss her!  Give Connie a hug for me next time someone visits her!!! 	5	5	5	5	Insurance:Unknown
16	1	commentsConnie Adler is the best! 	5	4	5	5	Insurance:Unknown
20	1	 Excellent doctor!   Listens and his suggestions are right on target.  One of the best doctors I have encountered.   Recommend, yes! 	5	5	5	5	Insurance:Anthem
20	1	 Excellent Doctor! Listens more than he talks...kind...attentive...knowledgeable....professional...everything a patient could want in a Dr.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
21	1	 Some of the staff, one medical assistant and some of the people at the front desk, who are very unfriendly. I like Dr Albert. She is very responsive to your problems. If she can't figure it out she will send you to a specialist or for tests.  	1	5	5	4	Insurance:Aetna
21	1	commentsdr albert is a great doctor. she is very knowledgable and courtious. 	3	3	4	4	Insurance:Unknown
27	1	 Attentive to my concerns. Discusses all treatment options, pros and cons.  	5	4	5	5	Insurance:Blue Cross / Blue Shield
27	1	 Dr Adams takes the time to listen and is thorough and if unsure sends you to a specialist. He is extemely good with seniors.  	5	4	5	5	Insurance:Medicare
27	1	 Makes me feel comfortable. I don't usually like drs.  		3	4	4	Insurance:Anthem
27	1	 Such a great guy. Sometimes he is really rushed though that is not his fault. I think he has many patients since he is such a &quot;normal&quot; person. I wish more docs were like him.  		4	5	5	Insurance:Blue Cross / Blue Shield
41	-1	 I have been much worse after my surgery that Dr Alexander did. More pain and more nerve damage.  The man was nice, but extremely arrogant.  	3	2	2	1	Insurance:AetnaPaid/Co-pay:$19000
41	-1	commentsPaying neurosurgeon fees for PA skills. PA does evaluation. You dont see a surgeon for social skills, but this doctor delivers the verdict in condescending, arrogant voice. Asked a question and got snapped at.  &quot;My way or the highway&quot; attitude.  Took the highway! 	2	2	1	1	Insurance:Unknown
45	1	commentsVery helpful staff. 	5	5	5	5	Insurance:Unknown
57	1	commentsDr. Adams is an awesome Pediatrician.  He has seen my child after hours, always returned my calls no matter the time or day.  He is professional, and his staff are great.  They are very helpful/knowledgeable in all that is asked of them.  He has always taken my concerns seriously.  I would recommend him to everyone.  He is a solo practice, and performs very well for his patient clientelle. 	5	5	5	5	Insurance:Unknown
57	-1	 I have found Dr. Adams to be very unprofessional and in violation of HIPPA. I don't understand why he still has his license. He has a total disregard for the patient as well as the parents and their concerns.  	3	2	1	1	Insurance:Anthem
