dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	Crowley Failed to diagnose Alzheimer's Disease and placed a patient into a Domestic Abuse Agency.  		1	1	1 	Insurance:Anthem
1	-1	Dr.Kerry Crowley,MD failed to diagnose my Wife as having Alzheimer's Disease and failing to give a chance at a second opinion had my Wife placed into a Domestic Abuse Agency when at no time was there any Verbal Abuse but the cause was that my Wife was suffering from dillusion 		1	1	1 	Insurance:Unknown
2	1	Awesome doctor & staff.  	5	5	5	5 	Insurance:CIGNA
3	1	He not only does beautiful work, but he makes sure you're comfortable with whatever procedure he intends to do.  He uses the latest techniques and products available and likes to EDUCATE his clients in modern dentistry as well.  Very approachable. No big ego here. Just a great dentist with a great personality.  	5	5	5	5 	Insurance:Delta Dental
4	1	Dr. Connolly has been my primary care physician for many years, and I have always found him and his staff to be very capable, approachable and sensitive.   He is a very good doctor! 	4	5	5	5 	Insurance:Anthem
4	1	I have been a patient of his for more than a decade, he is knowledgeable, helpful, and concerned about the health and wellfare of his patients. I am happy to and feel fortunate to have him as my Doctor.  	5	5	5	5 	Insurance:CIGNA
4	1	Dr. Connolly is a wonderful doctor. We, as a family, have been seeing him for 10+ years. My only complaint would be that it is very difficult to get in to see him. There is up to a month wait for physicals for children. 	4	4	5	5 	Insurance:Unknown
4	-1	45 minute wait in office after appointment time began. Substandard follow-up care resulted in emergency situation later. 		1	1	1 	Insurance:Unknown
5	1	Dr. Cheng has the wonderful combination of skills that one wants in a physician. He is medically knowledgeable and takes plenty of time to ask questions and listen to concerns/problems.  He has a friendly nature while maintaining a very professional demeanor. 	5	5	5	5 	Insurance:Unknown
5	1	Dr Cheng has always been very punctual and takes his time with you. He never seems to be in a hurry to get to the next patient but will explain and listen to you. 		5	5	5 	Insurance:Unknown
6	1	I am 25 and was recommended to Dr. Curlik for unknown urological problems I have been having for the past 5 years. He cares enough to take the time to listen and analyze the each individual's situation before taking the next step. In my case I had a surgery performed which went very smooth.  I' ve been to other Urologist, who had big reputations but barely gave patients the time of day. Dr. Curlik takes the time to listening. I wouldn't say he is the most personable doctor, but then again his job is to figure out your problem not hold your hand. Also, you may have a bit of a wait, but it is because he takes the extra time necessary to be thorough with all his patients.  	5	3	5	5 	Insurance:Aetna
6	1	Dr. Curlik is one of the best Urologists around. Thus, he has a very busy office.Give yourself time when you make an appointment, he will run late. (good restaurants have a wait too)  He spends time with you when you need it and  he tells it like it is.  He is also an excellent surgeon. His staff is very helpful and they do a great job trying to accomodate your needs. I would definately recommend Dr. Curlik.  	5	2	5	5 	Insurance:Blue Cross / Blue Shield
6	-1	Did not believe I had an infection until the lab results came back positive. Then, when the antibiotics he prescribed did not work..and I returned..he offered no solution. 	5	5	1	1 	Insurance:Unknown
6	1	Dr. Curlik is an outstanding doctor. He has very good bed side manners, listens to you, truly cared how I was feeling and always returned my phone calls. He's an excellent surgeon. He highly recommend him and is one of the top doctors I have seen. I hadn't called him so he actually called me to find out how I was doing and when I was going to be in the office. I'm thankful everyday that he was on call at Overlook Hospital when I had complications during my c-section. Even if he didn't take my insurace I would still see him; that's because he is a great doctor and worth every penny if paying cash.  	5	4	5	5 	Insurance:Aetna
6	-1	Based on what he thought was wrong from my description of my symptoms, without doing any tests other than a flow check, he recommended a hospital procedure.  I underwent an unnecessary general anesthesia.  He wound up doing nothing for me other than taking a look inside.  Afterwards, he was not interested in discovering the cause of my problem and more or less dismissed me.  Stay away from this clown if you value your health.  	3	3	1	1 	Insurance:Aetna
6	1	Very caring and competent doctor. So glad we found him.After being misdiagnosed by another urologist, Dr. Curlik had me better in a few short weeks.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
6	1	Wonderful caring doctor. Takes time to listen.His staff is so helpful. His son Roger really runs the office well. they will always fit you in if there is a problem.  	5	4	5	5 	Insurance:Aetna
6	1	Dr. Curlik is a very caring physcian. He is considered to be a doctor's doctor.  		5	5	5 	Insurance:Aetna
7	-1	She is opinionated, judgmental and overall not very helpful.  	1	4	1	1 	Insurance:CIGNA
7	-1	this therapist hasn't a clue. says nothing; picks up on nothing; can't see the client's pain, but guesses from her book of diagnosis.  		4	1	1 	Insurance:Aetna
