dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	I have been diagnosed with Diabetes for over 30 yrs and seen many doctors. I felt so comfortable that I told Dr. Devlin more about how I felt than any other doctor I have ever seen. It was a terrific experience. 	5	5	5	5 	Insurance:Unknown
1	-1	I was in the hospital with MRSA and pneumonia and my bg was wicked high (in the 400's).  The doctor at the hospital called Dr. Devlin and asked him to come see me and he said that he doesn't see patients in the hospital.  WHAT&#63;&#63;&#63;  If he can't see me then I can't see him.  I see someone else in his office now! 	5	4	1	3 	Insurance:Unknown
1	1	Dr. Devlin, and the Mercy Diabetes Center staff in general, was the best thing to happen to me (medically) since being diagnosed with Type 1 diabetes. Dr. Devlin is thoughtful, gracious, attentive, down to earth, knowledgeable, and a really great listener. I disagree with the commenter below who said he had terrible bedside manner; Dr. Devlin is the ONLY physician to ever truly listen to me respectfully, and treat *me* and not my glucose numbers. (Also, sidenote regarding the commenter who was told to wait to go on a pump: An insulin pump isn't a cure-all, it demands a lot of work and understanding, and likely the physician wanted to make sure the patient was serious about taking care of their diabetes first.) I was sad to move away from Maine and leave this great physician and staff behind, and would enthusiastically recommend Dr. Devlin to anyone who's ready to be treated with respect.  	5	5	5	5 	Insurance:Anthem
1	1	Listens thoroughly to my concerns and follows up  by researching things he might not know at the time of the visit. Very atuned to the challenges of living with diabetes.  	5	4	5	5 	Insurance:Aetna
1	1	Dr Devlin is great. He is one of the most intelligent doctors I've ever been too. When I first started seeing him he noticed problems not related to my diabetes that my regular doc never noticed over the years. He's always been kind and comforting. I really like him and would recommend him to anyone. 		5	5	5 	Insurance:Unknown
1	0	His bedside manner was despicable! Would not let me go on the pump until my bg was better - isnt that what the pump is for&#63; I saw Dr. D for 8 years then I moved to another state and had a pump in 5 months! 		4	1	5 	Insurance:Unknown
2	-1	I have never had such a negative experience in my life with a doctor as I have &quot;Dr.&quot; Douglas. &quot;Dr.&quot; Douglas (I use this term loosely) is extremely unprofessional, rude, condescending and makes a patient feel unimportant and unacknowledged in their concerns. I had a pressing medical issue that needed immediate attention. I traditionally see the nurse practitioner, Tara Dwelley, but she was booked for a solid month and a half. I decided to schedule with Douglas, as he had immediate openings....now I know why. He made me feel like crap for wanting a referral to a specialist and made me feel like my symptoms were in my head. Come to find out, (after seeing a specialist), that my concerns were confirmed and I have two medical conditions that I thought I may have. DO NOT see this doctor, unless you want a horrible experience. 	5	4	1	1 	Insurance:Unknown
3	0	This individual kept referring to me as Mrs. although I wasn't married, and showed in other ways that he was not paying attention. 	3	3	1	4 	Insurance:Unknown
4	1	Wonderful and genuinely cares! She always puts you and your health above all. Truly a special doctor.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	I have followed Dr. Del Prete to every new location she has had. I find her supportive, knowledgeable and kind. She also has a wonderful sense of humor which puts one at ease.  	5	5	5	5 	Insurance:Anthem
5	1	Dr DelPrete is the BEST doctor I've ever had.  She really listens to what you say AND offers options in treatment.  When you leave your appt you feel like you are getting the best possible treatment by a caring and compasionate doctor, who is not just rushing through a visit.  	4	5	5	5 	Insurance:CIGNA
5	1	She sits and listens.  Very knowledgeable, especially with musculoskeletal conditions.  She takes into consideration the whole person.  	2	4	5	5 	Insurance:CIGNA
5	1	I thought Dr. Del Prete was a very knowlegable and easy to talk to. She examined me and manipulated by back and neck. It helped immensley after I fell and sprained by lower back. She even had me come back for another back manip after a few days to give the muscles a change to relax from the muscle relaxer she gave me. She showed me an exercise to help in the area that I needed it. I asked if she would be willing to give me regular back manip's and she said sure. She told me I could come back in 4 weeks for another one. I feel she does a great job and will see her again.  		2	5	5 	Insurance:Anthem
5	-1	.  		1	1	3 	Insurance:Anthem
6	1	Saw as a newly diagnosed Lupus patient and was impressed with the amount of time he took to carefully and thoughtfully answer my many questions.  	5	4	5	5 	Insurance:Tricare
6	1	I was misdiagnosed for 2 years, then his assistant sent me for a test that revealed the real problem.  Ever since then, I feel I have been treated differently.  He is very polite and has good bedside manner.  	5	4	3	4 	Insurance:CIGNA
6	1	I have received excellent care from Dr. Daikh and his staff. It is a pleasure going to his office. I always feel a part of the decision making process in terms of the treatment I receive. 	5	5	5	4 	Insurance:Unknown
6	1	 	4	5	5	4 	Insurance:Unknown
7	1	HE WAS A GEM AND HE WANTED ME TO SEE ANOTHER DR WHO COULD DEAL WITH THE PROBLEM.  THAT IS A GOOD DR 		4	5	5 	Insurance:Harvard-Pilgim
7	1	My OB for my two sons, then my GYN for several years. Laid back, personable. Really like him.  		5	5	5 	Insurance:CIGNA
7	1	He is the best. Great surgeon .Compassionate , caring and expert 		5	5	5 	Insurance:Unknown
8	-1	Very Bad Doctor, makes mistakes!Bad Mistakes! 	1	3	1	1 	Insurance:Unknown
9	1	I have a ton of medical problems. My case is very difficult d/t overlapping of many symptoms and disease processes. She does not get overwhelmed and always listens. She is very knowledgeable.  	5	4	5	5 	Insurance:Medicare
10	1	Thanks just doesn't seem enough to say to a doctor who, when others said no, he said yes. My only wish is for dr. Dubocq and his family to move to me in Canada. Keep up the good work Dr. D! 	5	5	5	5 	Insurance:Unknown
10	1	knowledgeable, compassionate.  Best doctor I have ever seen.  	5	4	5	5 	Insurance:Harvard-Pilgim
10	1	What a God send!  Until we found Dr. Dubocq, we were getting the run around from all the other doctors.  He listened to my wife, believed her and is treating her.   She is getting better!  Thank you, thank you, thank you! 	5	4	5	5 	Insurance:Blue Cross / Blue Shield
10	1	Dr. Dubocq is extremely knowlegable in regard to the accurate diagnisis and effective treatment of Lyme disease. I would recommend him for this over any Lyme specialist in New England. His staff is very professional and courteous and I HIGHLY recommend him.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
11	1	Dr Dorr is the best! He treats you like family and his staff are amazing. Sometimes you are taken in early for you're appointment which is great since I live over 100 miles away. He is a perfectionist and I'm so greatful he is my orthodontist! 	5	5	5	5 	Insurance:Unknown
12	1	He is a kind and skillful doctor. Good at what he does, and does not hesitate to refer complex problem if needed. 	5	5	4	5 	Insurance:Unknown
12	-1	I was not impressed. Not caring at all in my opinion.  	3	3	1	2 	Insurance:Blue Cross / Blue Shield
12	1	Always kind and thorough. Takes plenty of time to answer questions and explain findings. No problem getting an appt on short notice if a problem arises.  		5	5	4 	Insurance:Anthem
13	-1	this doctor was ignorant, he did not know the first thing about my symptoms, and when I tried to let him know why I believed the first diagnosis, he had the audacity to give me a mental health label! Others who have had similar problems told me that doctors like this dislike smart people, dislike smart women even more, and they especially dislike smart assertive women. Before I  saw this doctor, I never had one problem with any doctor in my entire 60 years!  He also cannot write well and does not spell properly, he fancies himself a psychologist but he doesn't know the first thing about mental health.  Be careful, this kind of doctor can seriously affect the quality of medical care you receive in the future. New Hippa rules allow ANY DOCTOR  TO USE A MENTAL HEALTH LABEL, AND THEY CAN CALL ANY DOCTOR THEY WANT TOO. STILL, THERE ARE THINGS YOU CAN DO. FILE A COMPLAINT FIRST. 	3	3	1	1 	Insurance:Unknown
14	1	Great physician... I would absolutely recommend him for my friends and family. 	5	5	5	5 	Insurance:Unknown
15	1	Prompt and courteous, thanks! 	5	5	5	5 	Insurance:Unknown
16	1	The best doctor I ever had. She is the real pro. Finally I've got not only proper Ds. She gave me a ral solution to my problems. I am back to my life.  	5	5	5	5 	Insurance:Medicare
17	1	He is a Very good Dr. and has treeted me for Heart trouble and Diabites and COPD for the last 5 years. He and his staff are very proficantat thir jobs.  	5	5	5	5 	Insurance:Medicare
18	-1	I felt this doctor was suspicious and distrustful and not prepared to develop a strong rapport. She did not listen to me, though I expressed myself clearly, and she disregarded my complaints. On our first visit, she implied that I engaged in illegal behavior (I don't). In addition, her office is disorganized and unfriendly. I usually have an hour of busy signals before I can get through to a live person (even when returning a call), and I am often &quot;forgotten&quot; in the waiting room when I come in for labs. I would not recommend this doctor to anyone, I'm afraid.  	1	3	1	3 	Insurance:Aetna
18	1	I went to see Dr. Dechenes as an add on for the day, my other doctor was booked.  She was very pleasant and made me feel very comfortable, however she did state to me I should see my PCP for things...told her I was an add on because my doc was booked she didn't seem to like that answer.  I went to see her a 2nd time and was very please with the way she helped me out with a situation...I actually have switched to her as my PCP. 	4	5	4	5 	Insurance:Unknown
18	1	. I HAD HER ONCE AND THOUGHT SHE WAS ONE OF THE BEST DOCTORS I EVER HAD 	5	5	5	5 	Insurance:Medicare
18	-1	She is not my regular doctor, but I have had her on two occasions.  Once I had to call in on the weekend, and she was the on call doctor.  She wanted to know if she could call me back after her kid's soccer game!  Then when I saw her in the office, she had to look up every condition and medication on her palm pilot ... didn't make me feel very confident.  	4	3	1	1 	Insurance:Aetna
19	1	Great bedside manner.  Really lets you know he cares.  Kind to me and to my family.  Very knowledgable.  Explained my problem so I could understand it.  I would recommend him highly.  	4	4	5	5 	Insurance:Blue Cross / Blue Shield
20	-1	i went to have a lump removed from my thigh and i have a indention and brown colored skin left and the lump is still there. iam having another surgery to have removed .not by doctor durr. i will live with this bad scar the rest of my life.  	5	3	1	1 	Insurance:Blue Cross / Blue Shield
20	1	Dr. Michael Durr provided outstanding emergency surgical repair of my perforated stomach ulcer at 3am on March 27. I was at very high risk and his excellent surgical skills saved my life.  Prior to this, I had no knowledge of Dr.Durr, but now I can recommend him highly.  Thank you Dr. Durr.  DT 	5	5	5	5 	Insurance:Veterans Administration
21	1	 	5	5	5	5 	Insurance:Unknown
22	1	I met Dr. Driscoll today and i couldn't be more impressed.  she took the time to talk with my mother and really understand the issues.  I expected a 15-20 minute appt but she didn't watch the clock at all.  she was engaged and realistic in her recommendations.  i highly recommend her and her staff as they were very kind and accomodating to my mother as well. 	5	5	5	5 	Insurance:Unknown
