dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	Dr. Mosher was mom's primary. Granted, mom has lots of issues, Dr Mosher was not good enough in my book. Dr Mosher is moving so now is the perfect time to switch to someone better. 	2	3	2	2 	Insurance:Unknown
1	1	prescribed me some good meds for my bronchitis. very smart and knowledgeable.  	5	4	5	5 	Insurance:Harvard-Pilgim
1	1	Terrific Doctor kind,caring considerate 		4	4	4 	Insurance:Unknown
2	1	Dr. Mulcahy worked wonders with my gastrointestinal problems. I had been under treatment with a gastroenterologist, but the problems persisted until I was treated by Dr. Mulcahy.  	5	5	5	5 	Insurance:Harvard-Pilgim
2	-1	This doctor is not educated about Lyme disease.i found I knew more than he in the short time I was in his office.  Please be very wary as he and his wife run a side business out of his office selling tinctures made in Asia that are not inspected!..both Andrea and Patrick try to force them on you as you check-out...with no explanation! Just hand over $60.00 Thank You! I checked and this expensive &quot;Magic Water&quot;  is mostly tap water and glycerin. I did contact the DO and file a complaint in November of 2010. I also called the local police to ask who else to report a con to. And have filed a complaint with the State. Makes me mad to see them preying on the most vulnerable people...people who are desperate or scared and sick. This is something that should not ever a happen in a small town. People have very little money and every one of their medical dollars should go to help them heal not to sell them fake medicine. This is sickening and morally wrong. 	1	1	1	1 	Insurance:Unknown
2	1	I'm so happy to have found a Dr. who will listen and not judge. 	5	5	5	5 	Insurance:Unknown
3	1	Very pleasant and helpful.  Good sense of humor.  Shows caring and compassion.   Highly recommended 	5	5	5	5 	Insurance:Anthem
3	1	Dr McArdle of Chest Medicine handled a diagnosis and follow up with sleep apnea.  He is thorough and efficient with a very pleasant demeanor.  He is easy to talk to.   Highly recommended, 	5	5	5	5 	Insurance:Anthem
4	1	Dr. Medd is the best internal medicine doctor I've had in many years.  He knows his field and is willing to spend as much time with you as is necessary.  	5	5	5	5 	Insurance:Anthem
4	-1	This man is dangerous.  Way to many patients to manage safely.  way to free witht he drugs, no EMR, should retire.  	1	2	1	1 	Insurance:Medicare
5	-1	I have severe arthritis in my left knee. Xrays taken were while lying down.  He finally ordered standing Xrays which showed the extent of the arthritis.  An MRI showed severe arthritis and torn meniscus, but Dr. Macmichael says no tear.  I also told him about the swelling of my hamstring but he did nothing about it.  (I fell hard on my left knee--on ice--last spring and wrenched the same knee around the same time.  No one is listening to me about a possible injury behind my knee.  The doctor gave me 3 injections of Synvisc which helped a little, but the knee is still swollen and I still can't sleep through the night.  His PA was more helpful and listened to me more than the physician.  Dr. Macmichael seems to put more emphasis on my weight instead of looking further for other damage.  I'm going to look for another doctor in Portland, Maine.  	4	4	2	2 	Insurance:Medicare
6	1	Dr. Cait was really great. She really listened to the issues and got to the source of the problem and didn't just treat me until the symptoms were gone. She also researched additional techniques to treat me to the best of her abilities and make sure that I got the care I needed. She also does a lot of PT within each visit that helped me to learn how to stretch and stregthen my weak areas so that I could hold my adjustment longer and prevent further injury. She taught me a lot! 	5	5	5	5 	Insurance:Unknown
7	1	I've been seeing Dr. Mangone since I started going to the dentist. He is FANTASTIC! Always concerned about comfort during procedures and truly cares about his patients! He is a wonderful dentist and I would refer anyone to him without a second thought.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
7	1	Dr Mangone has done two root canals for me. Both times I thought he was great. Very concerned about my comfort during the procedure and very good about discharge instructions. He has a great sense of humor too and is very personable 	5	5	5	5 	Insurance:Unknown
8	1	. Nice Guy 	5	4	4	5 	Insurance:Harvard-Pilgim
9	1	i absolutely love Dr. Mosenfelder! delivered my first child via c section and  I'm due this month for the birth of my second child. he was also the same doctor who delivered myself 22 years ago. For our small hospital, we are very lucky to have a doctor as great as he, and i feel that he is very community supportive as well.  His entire staff is great also! 	5	5	5	5 	Insurance:Anthem
9	1	He delivered 2 of my babies and was very satisfied with his knowledge and experience. I would highly recomend him.  	5	5	5	5 	Insurance:Medicare
9	1	I loved this doctor and his staff. I have been with them for 8 years and wouldn't have any other Ob/Gyn.  They are all wonderful in this office 	5	5	5	5 	Insurance:Medicare
9	1	He has a very good bed side manner, very knowlegeable and approachable. 	4	3	5	5 	Insurance:Unknown
