dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
12	1	 Dr. Facemire is dedicated, warm, honest, and knowledgeable.  She doesn't beat around the bush when telling you how it is.  Her compassion and bedside manner are excellent.  	5	4	5	5	Insurance:Blue Cross / Blue Shield
16	1	 Dr. Faber is an amazing GYN. She is patient, caring, knowledgable and knows how to distract you while she does her GYN &quot;thing.&quot; She takes her time in answering my questions. She calls you directly if something is abnormal in your test results. She doesnt take Aetna, but I changed insurances, so she took me at an out of network rate. The office staff are friendly. The office and rooms are clean and hygenic with plenty of things to ready. Getting an appointment was fairly easy if you are new, and easy if you are a current patient. There is a group of women that operate out of this practice.  Highly recommend! 	5	4	5	5	Insurance:Aetna
27	1	commentsNever had a problem in 4 years. I find the doctor very helpful and is very big on prevention. 	4	4	5	5	Insurance:Unknown
27	-1	 Morally, I overheard this doctor speaking against his real daughter's mother.  I could not believe a man would care more for his step-child, than his own daughter.  I stop going to him after that.  I would never allow my second wife to stop me from caring & loving my natural born child. Character does not trump talent.  	1	3	1	2	Insurance:Blue Cross / Blue Shield
27	-1	 My initial meeting had me very excited that I'd found a doctor who cared and took time with me. Approximately one week after my 1st appointment, I was diagnosed with colon cancer. Surgery would need to be immediate. I called Dr. Fagan's office to get a pre-op exam, and was refused an appointment. My surgeon's office contacted this Fagan to express the urgency. He still refused to see me. I was forced into a frantic search for another doctor. Luck for me, my surgeon's team came through for me all the way. Fagan's office keeps sending reminders for my next office visit.  Why in the world would I go back&#63; 	1	3	1	3	Insurance:Blue Cross / Blue Shield
29	1	 Always takes time for you.  If he can't help you he will send you to someone who can.   Been our family doctor since he came to Hurlock, MD 	5	5	5	5	Insurance:Blue Cross / Blue Shield
29	1	commentsHe is one the most intelligent and most professional doctors out there. He is really concerned with how you are doing and goes to all ends to make sure you get better. 		5	5	5	Insurance:Unknown
35	1	commentsI have been a patient for years.  I find her to be extremely patient and a whiz at adjusting contact prescriptions. 	5	5	5	5	Insurance:Unknown
35	1	commentsDr. Fang is an independent optometrist with her office in the Gaithersburg Costco (you don't need to be a member to see her). She provided first-rate service during my appointment. With an engaging, warm personality, she puts you at ease immediately and makes the experience very enjoyable. Dr. Fang carefully provided a very thorough examination, all the while discussing any concerns or questions. Her recommended tweak for my contact lens prescription worked out wonderfully. A fantastic doctor all around. 	4	5	5	5	Insurance:Unknown
51	1	 Front desk staff is extremely rude. They are nicer in the back office...BUT i had a 2:30 apt and didn't see the doctor until 5:30! I'm not coming back here...  	1	1	3	4	Insurance:Aetna
51	-1	 In Jan 2012 Dr. F decided to change all patients from Oxycodone to Dilaudid w/o a wean, so most go through withdraw. Now the change didn't upset me, but the withdraw did when it was stated that it's comperable only to find out from the pharmacist that it isn't. His wait times are a minimum of 3 hours &amp; I've waited as long as 8 hours. Don't plan any other appointments following his, you'll have to cxl them. As for helpfulness, based on my opening statement, but as far a being polite &amp; friendly, he is that &amp; he will talk to you, if he isn't too rushed, which is rare. He doesn't seem to return calls either. He maybe knowledgable but it doesn't usually show. Despite what one wrote about the reasons people wait so long, some are under the constraints of their insurance which doesn't look favorably on changing doctors. Otherwise, I would have changed a long time ago, enough said!! Oh and how he gets a rating in the 10 ten pain management doctors in Delaware is beyond me with these ratings.  	3	1	1	2	Insurance:Workers Comp
51	-1	 Waited 5 hours and walked out without seeing him. I demanded my records back and he finally came out to nurses station telling me if I wanted to see &quot;The best doctor in Delaware&quot; I should be happy to wait for him! I was appalled. My response was that people come first, not his ego and that I have a husband with a severe neurological disorder waiting for me at home and that five hours was unacceptable. He was arrogant, uncaring and his staff spent more time on their cell phones and chit-chatting then expediting the process. When I left out of the waiting room there was easily 40 people waiting their turn to be seen. I'd rather continue being in pain that see this money hungry egomaniac who runs his clinic like a slow-motion production line.  	1	1	1	1	Insurance:Blue Cross / Blue Shield
51	-1	.   	1	1	1	1	Insurance:Medicare
51	-1	commentsWhen I walked in his office it reminded me of a methadone clinic. Wait was 5 hours then I left. There is no reason to make anyone wait 5 or more hours let alone 1 hour. While there it became obvious the reason people are willing to wait, DRUGS. I feel sorry for the people in pain but it looks to me that this guy gets you hooked on the meds and you'll do anything to get more for the pain. Not one person I talked to said his procedures made things better. If you want drugs, go see him but be prepared to wait a long time. If you want to get better, see a real doctor. 	2	1	1	1	Insurance:Unknown
51	-1	 my name jack titter.complaint is 6 hours wait everytime.wants me to go against 2 other doctors opinion.insist on lower back implant just after 9 months ago surgery,3 level fushion.could set up serious staff infection.cut my med all the way off.  	2	1	1	1	Insurance:Blue Cross / Blue Shield
51	1	 Ive been going to Dr.Falco for about 7yrs and there have been some recent changes some are for the better. Most of the other written opinions are pretty accurate but, the staff has much improved and are actually quiet pleasant! The wait is now about 2-3 hrs which is much better than the 5-6 hr wait from before. Another plus is that their are more Drs. and assistants now so its on a better one on one for listening and treatment. They have added an Open MRI machien and can do most test such as Ct Scan, Xrays, EMG,Nerve Conduction studies etc so you dont have to go out to have them done. Anyway this is a much better report than most but,it has improved and oh yeah they now drug test every visit and they must be very clean and cannot show any rx not prescribed by Dr. Falco. ps.  for any of the dr's patients reading this no Im not an employee! 	4	1	4	4	Insurance:Medicaid / Medi-Cal
51	1	 I read all that was writen and thought I'd update. The average time is now 4 to 6 hours and longer. Why do I keep going is that he seems to know his stuff, the PA,s and other Drs. are the same and in good spirits considering what they go through working there. Yes there have been some problems but, in general pain is hard to work with and control. Like myself and others pain is unbearable and hard to control I have had proceedures done that have made the pain worse and others that felt like a godsend. I honestly would not wish what I go thru on anyone, so yes the wait is way to long,the seats are uncomfortable and sometimes the staff is testy from being overworked but they have helped me and I would probably would not here if it was'nt for them.  	3	1	4	4	Insurance:Medicaid / Medi-Cal
51	-1	 Staff were great. Long wait (5 hours). Doctor was none attentive to what I was saying and just ordered lots of testing. This casued more waiting.  Would not return 	3	1	1	1	Insurance:Coventry
51	-1	 This is the WORST Doctor I've ever been to in my life.  I waited in the lounge for 2 1/2 hours then waited another hour in the treatment room.  Dr Falco sent an intern in to take my history then when he finally did come into the room he spoke as if I wasn't even present. He  asked the intern all the questions about how I was feeling.  I did not make an appointment 6 weeks in advance to sit while he spoke to the intern.  After they were finished talking, he proceeded to call his tech support guy (on speakerphone) to discuss the problems they were having with the office fax machine.  This went on for at least 15 minutes.  I swear the only thing that he said to me was that I needed to come back in a week for an MRI.  Yeah right, I will never go back to that office! They treat you like crap, not like a person.  Find a real doctor, who actually cares about your condition not just the money.   I wish I had read these comments before my appointment so I hadn't wasted my time! 	1	1	1	1	Insurance:CoventryPaid/Co-pay:$30
51	1	 This doctor made me wait 6.5 hours and was a little weird. However, the man knows his stuff. He helped my pain and explained things well.I imagine pain managment has many unhappy people. I was happy to see that there is a strict contract on drug screens and other policies. I think things can get crazy with pill hooked people. The staff was very friendly, esp the clinical staff and procedure nurse. I dealt more with his NP and have nothing bad to say... I have heard that the other doctors in his practice are wonderful too, without the wait! 	5	1	4	5	Insurance:Workers Comp
51	-1	 -This is the WORST pain doctor I've ever seen. I'm a very polite intelligent person but the staff and docs treat everyone as if they are there to get drugs. They even make you get a blood test after the 1st visit-marijuiana/etc even if there is no reason to suspect you are guilty until proven innocent and then say if you don't have the test done within 24 hrs they won't treat you,run as fast as you can from this very dirty office with rude, arrogant staff.  	1	1	1	1	Insurance:Medicare
