dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr. Tamma talk excellent care of my daughter. She was extremely patient and checked in on us regularly. I really wish she would open a private practice! 	5	5	5	5 	Insurance:Unknown
2	-1	I left the practice because although she may be knowledgeable, when I asked her about being concerned and wanting to prepare for being premenpausal, bone density, etc. at 45, she said I was too young and didn't offer any advice.  Now 3 years later, I'm going through menapause.  Maybe she just didn't care. I need someone that will take the time to talk to me about my concerns. 	5	5	2	2 	Insurance:Unknown
3	1	got the blood work ahead of time, took her time, made me feel at ease and I waited to feel better to write a review...... thank Dr. Tavakoli for truly helping me when other told me its in my head. 	5	5	5	5 	Insurance:Unknown
4	0	This is a great practice if you don't mind being there for 2 hrs. and being examined with outdated equipment. 	3	2	3	3 	Insurance:Unknown
4	1	Very friendly staff. Good selection of frames. I saw Dr. Taylor a little past my appointment time, but she conducted a very thorough exam and spent the appropriate time with me. I made an appointment in the morning for the same day. The glasses arrived within 7 days, and are the craftsmanship is well worth the wait of 7 days compared to places that ready your glasses in a few hours. The lenses are perfect for my prescription and the frames are of high quality. I purchased progressive lenses with the non-glare coating, so I had higher out-of-pocket expenses than most people. I would recommend Dr. Taylor to anyone. First rate service and care. 		4	5	5 	Insurance:Unknown
5	1	He is a very good dentist. He will go above n beyond. He is very kind hearted 	4	5	5	5 	Insurance:Unknown
5	1	This dentist solved my problem that other dentist did not properly take care of. 	5	4	5	5 	Insurance:Unknown
6	-1	 	2	2	1	1 	Insurance:Unknown
7	-1	We scheduled an appointment on Wednesday morning 9:30 AM. We never got a reminder call. On Wednesday morning at 8AM we got a call from her office that she wouldn't be available at 9:30 AM so we should come at 10 AM or 2 PM. Since I have already taken half day leave, we agreed to 10 AM appointment. When we reach the office at 9:55 AM we were told that she is not available. Either we should re-book an appointment or see another doctor. This is highly unprofessional of these guys. First they should have called us if the doctor was running late. They did not call us and moreover the staff was not apologetic at all. They were behaving as if this is normal. We have seen many doctors in this area and never found any of them to be this unprofessional. I don't know about the doctor since we have not met her, but would not recommend any one because of her staff. 	1	1	1	2 	Insurance:Unknown
7	0	Dr Manbir is knowledgeable and very interested in the well being of the patient.  She keeps up-to-date with the new research. 	3	3	3	3 	Insurance:Unknown
7	-1	Very poor service. Get charged double all the time. Do not return any calls. Follow up visits also charged copay and do not check on the progress. They just mention that they cannot do anything else after 2 visits and ask us to please visit emergency if need more help.  	1	1	2	2 	Insurance:Blue Cross / Blue Shield
7	1	Dr. Takhar works at a walk-in health center, though, if you want a physical, you should make an appointment in advance. I used her for my last physical and wish she was closer to home, as I'd like to use her as my regular doctor. She's easy to talk to and helpful. I like her staff. They do blood work at her office and don't charge a fee for sending it out. Expect a wait, but worth it. Her office is as good if not better than a regular doctor's office, I think.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
8	0	Dr Thomas, his partners &amp; ov manager Lisa Koppleman are just money hungery I don't care about patient care.I had shoulder surgery in January 2012 &amp; was told all my cost would be covered if I had surgery at Maple Lawn Center which he is part owner of.The night before my surgey I got a call from Maple Lawn telling me because I had not met my $800 deductible I needed to bring that money in order to have my surgery. I was floored. Two weeks after my surgery I got a bill from Dr Thomas' office for another $800. When I called the office to ask why I got this bill, the manager told me the first $800 I paid was for the facility &amp; this is for the Dr's service. When I tried to explain to her what I was told by Dr Thomas &amp; the center that my cost would be covered, she told me to take it up with my insurance &amp; that I was still responsible for the $800. Beware of this practice. They double billed me &amp; I am filing a compliant with the insurance board.  	1	1	2	3 	Insurance:Blue Cross / Blue Shield
8	0	Went to see Dr. Thomas for a pain in my left knee.  He said I needed surgery and agreed to have it at their Maple Lawn Surgery Center. I was told that once I paid my deductible to the surgery center that I would have no other out of pocket expense. So I paid my $875.69 &amp; to my surprise I received a bill from Dr. Thomas' office stating I owed another $465.00 as part of my deductible. After I contacted the office I was told that the money I paid was for the facility and not part of the Dr's fee. But if you are part owners of that facility doesn't that mean that you already received your payment&#63; The agreement was I would be billed as if I was in-network with the facility &amp; if I had known I would be billed for so much money I would have had my surgery in a hospital.  When my post-op care is done I will not be going back to see him.  Also he rushes you &amp; is bothered when you ask lots of questions as if you're taking up his time.  	2	1	1	4 	Insurance:Blue Cross / Blue Shield
