dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
13	1	commentsBecause of Dr. Van Echo's expertise, my two cancers, pancreatic and kidney, are in remission.  Dry sense of humor which I appreciate. 	5	4	5	5	Insurance:Unknown
13	-1	commentsPoor bedside manner. Does not like researched questions by patient and/or family member. Staff helpful. 	4	2	1	1	Insurance:Unknown
15	1	 She has been their for our two boys by phone day and night. Highly recommend! The staff is great and helped out with issues I was having breastfeeding.  Was also able to be fit in last minute! THANKS!!! 	5	4	5	5	Insurance:Blue Cross / Blue Shield
15	1	 Dr.Wendy is an excellent, caring pediatrician!  She is extremely knowlegeable and selfconfident and has an amazing ability to handle children of any type with little effort.  My son feels very comfortable with Dr. Wonderful! 	5	4	5	5	Insurance:CIGNA
18	1	 I finally figured out that Dr. V moved from Waldorf, MD to Olney, MD.  She is an excellent dentist.  She did two extractions in less than 15 minutes.  I couldn't feel a thing.  She is the best dentist I have ever been to.  I am glad I finally figured out that she is working in Dr. Assatourian's office in Olney, MD.  	5	5	5	5	Insurance:Delta Dental
18	1	commentsDr. V is extremely knowledgeable. She was very nice and I didn't feel any pain with any of my procedures. It's been a little less than 2 years now from my procedures and I have no complications. She graduated from Columbia Dental school so I know she knew what she was doing. 	5	5	5	5	Insurance:Unknown
18	1	commentsYumna is by far the best Dentist I have ever seen. 	5	5	5	5	Insurance:Unknown
19	1	commentsDr. Valencia is a wonderful clinician and a caring doctor 	5	5	5	5	Insurance:Unknown
19	1	comments 	5	5	5	5	Insurance:Unknown
21	-1	commentsThis DR did 2 things against his contract with my ins.co.& 1 I think was fraudulent.(1)he bypassed my ins co. and billed me $75 for a missed appt (2)then billed me directly again, $110.00, for an &quot;Office Consult&quot; because his staff called a refill to the pharmacy for me. I looked up the visit/diagnosis codes on his bills  and contacted my insurance co. immediately. He insisted on changing my Rx's when I was totally satisfied w/current meds so I decided to see what was documented in my chart. I called my request in to his staff. That night this DR called me at home to find out why I wanted my chart &amp; refused to provide it until we met to discuss it. He was unprepared for the meeting and the chart was completely illegible. There were no exam forms or reports, just pages of unlined paper w/completely illegible handwriting. Not long after that I got a letter discharging me as he was leaving the area.He's still in the same office. 	1	1	1	1	Insurance:Unknown
21	-1	 Is very standoffish, was told by Dr.Van Ravenswaay not to keep calling his staff when I needed to refill my meds and he would not return my calls to refill them.  	2	1	1	2	Insurance:Blue Cross / Blue Shield
21	1	 My son has an extreme depression with anxiety including suicide attempts.  This doctor is extremely thorough and concerned and will go to extra lengths to try to fix the problem.  My son is often uncooperative and does not follow doctors orders but this doctor still follows through and tries to help him.  It is trial and error with antideppressants and this doctor is willing to keep trying.  I would definitely recommend him.  	4	4	5	5	Insurance:Blue Cross / Blue Shield
21	1	 He is very thorough and gives you the pros and cons to different meds and is very careful when medicating children.  I am very pleased with his knowledge and experience with medication management.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
21	1	commentsover 9 or 10 years of therapy, always has listened to me carefully, remembered my history over the years in detail, as though I was his only patient, and has given helpful, knowledgeable, and at times specific suggestions and advice.  His correct diagnoses of my illness, and the proper treatment for it, (after many years with other therapists who were unable to give me relief), was a godsend.  He is a very dedicated therapist. 	5	5	5	5	Insurance:Unknown
21	-1	 The doctor had a black eye during my sons first appointment.... after meeting this cold, retentive man I thought to myself&quot; I bet one of his patients popped him&quot; 	3	1	1	1	Insurance:Blue Cross / Blue Shield
21	-1	commentsUnless you like showing up for appointments multiple times just to be told that you aren't in the schedule, I would not recommend this office. 	1	1	1	1	Insurance:Unknown
21	-1	commentsWhat an arrogant and uncaring man. He needs to review physical medicine as well as to take sensitivity lessons 		1	1	1	Insurance:Unknown
21	-1	commentsHe was very &quot;offstandish&quot; and &quot;impatient&quot; during visits. Whenever his method or treatment was questioned he became very defensive and wouldn't give any answers. Was asked to fill out some forms for my work and refused until later confronted by my spouse. Should see a professional himself. 		3	1	2	Insurance:Unknown
