dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	I had a Lifestyle Lift with him in Dec of 2007.  This Dr. was comforting and assuring prior to my surgery.  He called me when I wanted to cancel  with concerns that he was not Board Certified to do facelifts, and assured me that he had more experience in his ENT internship than plastic surgeons.    He  assured me that the “cocktail”  would make me sleep.  He saidhe would make “two small incisions in front of my ears”, when he cut my earlobes off and sewed them on.    Fact is, he didn’t seem concerned that I WAS AWAKE, sobbing and in pain throughout the first hour and 15 mins of my procedure.   I NEVER SAW HIM AT MY FOLLOW UP APPOINTMENT.  There was an inexperienced tech.   I filed a complaint against him with the medical board, and he answered  with excuses and lies.    I am tormented to know  he has his own COSMETIC SURGERY company. I  have heard from other women who have suffered. That was MY EXPERIENCE and this is MY OPINION ON HIM based on the facts as I experienced it!! 	2	2	1	1 	Insurance:Unknown
1	-1	Dr. Ishoo gave out my personal information to someone who is not in the medical community.  I received a call from Dr. Ishoo's lawyer asking if I am the one who wrote negative reviews about him online.  I was surprised to be getting a call in the middle of the day from a lawyer while I was with coworkers asking me about my liposuction procedure.  I thought my personal and medical information was all confidential. 	2	2	2	2 	Insurance:Unknown
1	1	I had a mini face lift and vaser lipo to the thighs, abs, and back. I am only 3 weeks out and the results are just amazing already. I never thought I would do any of this but they were so professional and knowledgable that I felt completely at ease and comfortable. Great experience and amazing results.! 	5	5	5	5 	Insurance:Unknown
1	1	Dr. Ishoo was my fourth consult for lipo surgery. His office is amazing and it was absolutely clear after the consult that he would be the best choice for me. Dr. Ishoo is an extremely skilled surgeon and a very caring physician. His staff handles everything from the intial consult through the post-op checkups with the utmost professionalism. Dr. Ishoo and his staff are willing to answer questions and address all concerns and problems completely--no matter how much time it takes. I had abdominal and neck lipo surgery at the Boston Cosmetic Surgery Center and I couldn't be more thrilled with the results. Dr. Ishoo's attention to detail is amazing. I am amazed with the results! I highly recommend both him and his staff. 	 9/28/10	5	5	5	Insurance:Unknown
1	-1	 	2	3	1	2 	Insurance:Unknown
1	1	excellent 	5	5	5	5 	Insurance:Unknown
2	-1	Never on time, waited 2hrs last checkup. Bedside manner sucks! Condescending and somewhat arrogant.  	2	1	2	2 	Insurance:Harvard-Pilgim
2	1	This Doctor is different from a lot of others I have known and been to.  He is really an old fashioned Doc who really has concern and compassion.  I really like him and I trust him 	3	3	5	5 	Insurance:Unknown
2	1	Dr. Iser has been my physician for 20 years.  Yes, sometimes you have to wait....this is, however, medical treatment and not fast food! Dr. Iser spends time with each patient.  I sometimes shake my head at the idiotic comments made by folks. If he rushed you you'd hate him with good reason.  There are more than enough physicians  and other professionals on the time clock treadmill.This guy cares and he the takes time to give you great treatment and advice.  It was during one of his extensive exams that he noticed something which, if left untreated (i'm a typical man who neglects and delays medical treatment) would have led to my early death.  Hence my reaction to whiny nit wits! The guy is a very, very good doctor.  I, for one,  will always be grateful to him for his terrific care. 	5	4	5	5 	Insurance:Unknown
2	1	I have bee going to Dr Iser for 3 years now. THE BEST DR IVE SEEN. Not onlydid he squeeze me in that day - but no questions asked ordered me an xray - and a few days later STILL in pain - no questions - wrote a small prescription to help me sleep. Overall, he is knowledgeable, compassionate and caring. His knowledge allows him to see through WHO is looking for meds and who is TRULY in pain - a WONDERFUL Dr and human being. I wouldnt go anywhere else.  his staff is wonderful given the small nature of the office - Nurse is amazing - and sectretary is prompt, efficient and pleasant - GREAT DR!!! 	5	3	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Terrible punctuality relative to appointments. He does seem knowledgeable, is very personable and friendly and has a good Dr's. &quot;manner&quot;. Like him as my Dr. but hate to wait for him...  	3	1	3	4 	Insurance:Tufts
2	-1	While Dr. Iser was nice when I saw him, his office is very unorganized and unprofessional. I came in to get a referral for tennis elbow. He told me to wait a month, then said I could have a referral. But then his office turned off their answering machine for several days so that the PT group could not contact them to verify the referral. Then his staff only authorized 4 of the standard 8 visits. When I called to find out what was going on, and how to fix it, the secretary yelled at me for not knowing how the referral system works, and for not got a paper referal that they'd never told me I was supposed to drive all the way to the office an hour away just to get. She then told me that they didn't work for PTs and the PT needed to fix her office's mistakes.  They've also, in the past, cancelled two of my three scheduled routine appointments on a few days notice, and rescheduled them weeks further out. Obviously, I am shopping for a new primary physician right now.  	2	3	2	2 	Insurance:Blue Cross / Blue Shield
2	-1	This guy sucks...his staff sucks...never answer the phone, months to get an office appointment. screwed up insurance I had to pay thousands because insurance would not pay for a test he ordered. save yourself...I was warned about this guy and went with him anyway...It was a mistake.  	1	1	1	1 	Insurance:AARP
