dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
6	-1	commentsNot very helpful. Lacks compassion. 	1	1	1	2	Insurance:Unknown
7	1	 If you want to get well and not treat symtoms this is the doc for you.  Dr.LaCava has persisted in  getting my health back. If you want whole health instead of a myriad of diagnoses then go to him.  	4	4	4	5	Insurance:Blue Cross / Blue Shield
7	0	commentsDr. Lacava has the personality of a 2&quot;x4&quot;...he doesn't talk and treated me as if I was in a courtroom.  He didn't have any normal conversation as any doctor/patient does.  He comes across as being an ice cold individual and is a perfectionist. He is extremely smart at diagnosing, but has ice in his veins when it comes to being a freindly human being.  I will NEVER go back. 	2	4	1	4	Insurance:Unknown
7	1	 I think the Dr. LaCava is a excellent doc. I travel quite a ways to see him and would recommend him easily. I have had chronic dibilatating illness for 4 yrs and he has brought me more relief than any other doctor I have been to for the condition. Getting well is not cheap or easy and he does expect you to do your part. He is difficult to communicate with but diagnosis was quick, accurate and thorough. Many tests have revealed a lot of information but finally I am heading in a good direction and feel that I will be well again someday.  	5	4	4	5	Insurance:Tufts
7	1	 I suffered from one of the most common and easily diagnosable female ailments for years. I saw Ob/GYN, PCP, Endo; I nearly gave up. He spent 2.5 hrs w/ me our 1st apt. Diagnosed me instantly, as every symptom was classic. Although he ordered a multitude of blood tests, he treated me immediately. I found relief within weeks, for 5+ yrs of 'mystery' ailments. I've never seen anyone else since. He saved my quality of life, and I recommend him to everyone I know. He runs late sometimes, because he spends quality time with his patients; and he's worth it. I'm so grateful. He's a great listener, and I trust his judgement. He explains everything, and will continue to break it down further if necessary. He combines good-old-fashioned hands-on listening and compassion with his very current medical knowledge, and NEVER discounts an alternative/natural method. His respect for his patients' treatment desires results in great respect and relief. All patients should consider him.  	5	4	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$25
7	1	commentsI echo the sentiments brought forth in the first rating..in fact we also moved a great distance from Dr. Lacava as well and we remain patients(baby, son and myself). Both of my children have had health issues that began at birth and I myself have struggled with chronic issues as well that only Dr. L was able to help us with despite years of visiting other so called experts. I appreciate that Dr. L expects you to to be responsible and do your part in regards to your wellness...his manner could be described as abrupt, but we have never found him off putting. He is no nonsense with adults and straight forward, but highly supportive. with my children he has always been terrific..they love him and everyone on the staff. The ND Erin Morrissey is also fabulous..you can not go wrong with anyone at the clinic. I will be forever grateful to Dr. Lacava for giving my children a healthy start in life and for supporting our wellness choices. 	5	5	5	5	Insurance:Unknown
7	1	 Dr. LaCava is an excellent physician who uses a wide range of lab tests to determine the person's individual problem and treatment plan rather than attempting to apply out-of-the-box treatments based on a few clinical symptoms. Dr. LaCava is one of those rare doctors who actually tries to solve people's medical problems rather than just put band-aids on it.  While he can be occasionally abrupt to adults, he is always patient and engaging with his pediatric population. I really think he is a great doctor and our family continues to visit him even after moving a bit of a distance away from his office.  	3	4	4	5	Insurance:Blue Cross / Blue Shield
7	-1	commentsOne of the nurses seems to be affected by patient body language and is upset very easily. Doctor has tendency to overwhelm patient with high priced tests and testing before delivering any treatment, if any. 	2	2	2	2	Insurance:Unknown
12	1	commentsCynthia was extremely knowledgeable and compassionate.  I would highly recommend her to anyone. 	5	5	5	5	Insurance:Unknown
15	1	 She is extremely thorough &amp; knowledgable. In order to maintain any ongoing prescription you are required to return to the office every 3 months for a checkup which if you have a job can be difficult to accommodate since the office doesn't run on time. She is very proactive &amp; addresses health issues promptly. I do feel very confident in her care. She does try and ensure reimbursement as another reviewer mentioned, but I can't fault her for trying to get paid for her work. Too many good dr's won't stay in primary care due to it. She spends plenty of time with her patient's which is a rarity these days.  	3	3	5	5	Insurance:Tufts
