dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	 The staff is very friendly and educational - it was always a personal experience &amp; we never felt like &quot;a number. &quot; Very happy with results!! 	5	5	4	5	Insurance:Delta Dental
1	-1	commentsDr. Yanni took 3 years to do my one year diagnosis. The process was arduous for me and I feel unsatisfied with my smile still after all the pain. She took out four of my teeth, because this was her recommendation. I sincerely regret making this decision, because it has left my smile small and silly looking. My teeth look odd because of the changes and I wish I never went through the pain at all. Do not believe any doctor what they say. If she tells you that you need teeth pulled, then do not do it for you or your children. We have the amount of teeth we have for a reason. Besides this, the staff is nice and the environment is kid friendly, even though the entire practice is barbaric. Paid/Co-pay:$5000	4	2	1	3	Insurance:Unknown
1	1	 Love this place, very kid friendly- tvs at each chair, basketball in the lobby...  	5	4	4	5	Insurance:TricarePaid/Co-pay:$1000
8	0	 He is nice person. Any time you can walk in. waiting time is about 30 min.  	2	2	3	3	Insurance:TuftsPaid/Co-pay:$20
10	1	comments 	5	4	5	5	Insurance:Unknown
11	-1	 Stay away from Dr. Yadav.  I only saw her once but that was enough.  Bad bedside manner - conducted the whole history/consultation part of visit with me in a paper skirt sitting on table.  I felt like a slab of meat, and her manner didn't help it.  Questioned diagnosis I had been given by my prior GYN of 6 years (top in his field, only left b/c I moved) &amp; did it in a way that was caustic and accusing.  Insists that recovery time from a hysterectomy is 2 weeks, which runs counter to everything I've ever heard, including what other doctors have said (the most generous is usually as little as 3 weeks but it varies person to person).  She did take a long time at my visit, but it was a long, arduous appointment with her history feeling like an interrogation - my full record supporting everything I said was in her lap the whole time and she never once looked at it.  Find someone else unless you like being treated like dirt.  	1	2	1	2	Insurance:Harvard-Pilgim
13	-1	commentsI got the wrong diagnosis from this doctor and was taken the wrong medication. Just wasted my time and money. 	4	4	1	3	Insurance:Unknown
13	1	 Dr. Yagudin is a great, old-style, common-sense MD -- by which I mean he will tell you to take two aspirin (when that's all you need), will listen as long as is needed (when you need to be listened to), and will refer you to a specialist (without being asked), when that's appropriate.  His joi-de-vivre is itself medicinal. He has mixed home remedies, prescriptions, referrals, and even a little acupunture (for the adventurous), to treat the routine medical events of our basically healthy family, over the past 15 years.  Convenient appointments are easy to get. He has been tolerant of copay delays.  In short, he has been a great &quot;family doctor&quot; for us.  Fortunately for my family, I cannot speak to his competency in the handling of serious medical issues, though my instinct is that if you have a complex &quot;hi-tech&quot; disease to manage, you may want a more geeky, specialist-doctor -- but I also trust him to know when you need such counsel.  	5	4	4	4	Insurance:Blue Cross / Blue Shield
18	1	 Easily the best OBGYN I have ever had. Dr. Yadav is warm, knowledgeable, gay-friendly/non-judgmental, and does practically painless PAPS. Through my numerous reproductive issues and surgeries she has only ever displayed the utmost professionalism and care. Highly recommended.  	5	5	5	5	Insurance:Harvard-Pilgim
18	1	 Dr. Y is so caring and puts you at ease. She has a great sense of balance and humor, and I never experienced the delays that others complain of, partially because her nurse &quot;triages&quot; in the office so well.  	5	4	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$100
