dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	He is very thorough in explaining what needs to be done, makes sure the patient understands what care is needed, and is considerate and personable. 	5	5	5	5 	Insurance:Unknown
2	1	I like Dr.Alka Aggawal but have many issues recently. When I  try to get my scrips filled the reception sends them over when she feels the need to not when shes asked to. I can go day or so without my daily needed meds cause of this. No matter how many times you call gets you no where. I was in the hospital and instead of Dr.Aggwal coming in. She sent a lady who I never have meet before, it wasn't the best time to send someone that your patient had never meet. The worst part was this lady was no help. I like my family doctor but im thinking its time to get a new doctor.  	2	4	3	5 	Insurance:Blue Cross / Blue Shield
2	1	Nice office staff. Nurse Mary is a wonderful nurse and caring health care worker. I can't say enough about how wonderful Mary is. She is sent from heaven. Dr. Aggarwal takes her time with her patients. She has been my Dr. for over 20 years and I will keep her.  	4	4	5	5 	Insurance:Blue Cross / Blue Shield
2	-1	I have gone to her for a few years for my annual PAP's and was always very pleased with the overall service and friendliness of her and the staff. But the last time I went, the results came back abnormal. She had her staff call me and tell me I had to see a specialist, but no one would tell me anything else, and she wouldn't talk to me. I was obviously scared, and had to wait 2 weeks to see a specialist, just for them to read me my results and tell me they found precancerous cells. When scheduling for a follow-up, even the specialist said to schedule with them since Agarwal pawned me off to them with the first sign of trouble. For this reason, I will not go back to this Dr. When the results are abnormal, instead of talking to you or giving you any information at all, she'd rather just brush you off to a specialist. I will not come back to this Dr, and I will not recommend her for this reason alone. 	5	1	2	2 	Insurance:Unknown
2	1	Always seems really busy.  Have not had any problems with her service.  Friendly staff and very helpful.  	4	5	5	4 	Insurance:Blue Cross / Blue Shield
2	1	very knowledgeable and helpful, stays on top of  your preventive health care for cancer screenings, shots check-up etc. good sense of humor too.  	5	5	5	5 	Insurance:Aetna
2	-1	worst family practice in michigan. treats you like you are waisting her time and loves to prescribe medicines and works the medical companies to the limit, like making sure that you get pnumonia shots,when you do not need them.acts like patients are a pain in the but to her. half of the time some flunky guy,doctor does the exam,because she is not there-a joke.  	3	5	1	1 	Insurance:Blue Cross / Blue Shield
2	1	. Excellent doctor very caring and helpful 		5	5	5 	Insurance:Blue Cross / Blue Shield
3	-1	My husband and I both saw &quot;Dr. John&quot; and both had awful experiences!  We had to pay another dentist to fix the terrible job he did on my husband's crown.   DO NOT go to this dentist! 	1	3	1	1 	Insurance:Blue Cross / Blue Shield
3	-1	When I went to this dentists' office, my son saw him and I saw a female dentist that went by &quot;Dr. Amy&quot;.  I do know that was her first name, I'm not sure of her last name though.  I have had A LOT of dental work done in my life; braces, spacers, jaw too small etc.  NEVER have I experienced the PAIN that I did with that girl TRYING to numb me up for a simple filling.  I'm only slightly exaggerating when I say my whole head was numb, but I still was in horrible pain when she started to drill. She gave me so many shots, my face was puffed up from the fluid, I could not feel my tongue.  I felt like I had a stroke.  When I jerked from the pain of the drill, she asked if I wanted another shot... I said &quot;NO&quot;!  Then I asked my son how his visit went and his reply was &quot;you mean with Dr. pain&#63;&quot;  My son has always had a pretty high tolerance to pain if that tells you anything.  Long story short...DO NOT GO TO THIS DENTIST! Unless you like pain.  	2	5	2	2 	Insurance:Medicaid / Medi-Cal
4	1	Amazing manual manipulation, can't wait to go back! 	5	5	5	5 	Insurance:Unknown
5	0	No staff were present.... Note on window said something to the effect of... Receptionist is out of the office....Have a seat and the doctor will be with you shortly. Appointment time was punctual.  Appeared to be kind, intelligent and interested to hear details. He was comfortable to talk to and did not make you feel too uncomfortable. No doctor/patient relationship was established. 	1	5	1	5 	Insurance:Unknown
5	-1	This man did not give a true report.  His report did not reflect the actual conversation that he and I had!!!! 	1	1	1	1 	Insurance:Unknown
