dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
4	1	 best doctor around town..i have had this doctor for 10 yeas and im always satisfied with his services.  Nurse are great too! 	5	5	5	5	Insurance:CIGNA
4	1	 THis office is the greatest.  You never have to wait longer than 15 minutes 	5	5	5	5	Insurance:Blue Cross / Blue Shield
4	1	commentsDr. Gadbois and his entire staff are organized and professional.  The atmosphere is warm and caring. Dr Gadbois takes time to discuss, explain, and recommend solutions to health problems. His results have been great! 	5	5	5	5	Insurance:Unknown
4	1	 Genuinely concerned about his patients.  The staff is always friendly and prompt.  Greg is a great listener and offers &quot;real-life&quot; advice from a medical background. I always leave the office with a smile.  	4	5	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$10
8	1	 Very professional, knowledgable and helpful. Good listener. I would go back to him anytime.  	5	5	5	5	Insurance:Humana
8	1	comments 	5	5	5	5	Insurance:Unknown
12	1	 Dr. Gaggino is the best pediatrician I have ever had for my kids. She shows great compassion, is smart, thorough and just love her bedside manner. My kids love her and never get scared going to her office. I am grateful to Dr. Gaggino.  	5	4	5	5	Insurance:Blue Cross / Blue Shield
12	1	commentsDr. Gaggino has cared for my 3 children for their entire lives (my oldest child is 20).  Every encounter I have ever had with Dr. Gaggino she has been helpful, listens to my concerns carefully, honors my opinions, and been thorough in her assessment.  I have never had any reason for concern when entrusting my childrens care to her.  I am not certain what happened with the other womens encounter but that has NOT been my experience with Dr. Gaggino or any of her partners. 	5	3	5	5	Insurance:Unknown
12	-1	 This doctor was my daughter's doctor when she was born. First of all, she ORDERED my daughter be given formula in the hospital, despite her excelent weight gain on breast milk, I refused to do that. This doctor OVERLOOKED a SEROUS heart defect, even after seeing her 3 times after we left the hospital. I took my 6 week old daughter in to her office for a stuffed up nose (I was a first time mom, with no family near, so I had NO idea how to deal with a baby that wouldn't nurse because of her nose). The nurse said to me &quot;You don't have to run your child in to the doctor everytime she has a stuffy nose you know...&quot; This is why I changed doctors. I am VERY glad that I did. In my fist visit to Trestlewood Peds, the doctor asked me if I had been told about my daughter's heart murmur. I said no, and he told me to get right over to the peds cardiologist, and they found a defect that would have KILLED her, had it been left untreated.  BEWARE OF THIS DOCTOR, SHE &quot;OVERLOOKS&quot; AN AWFUL LOT! 	1	1	1	1	Insurance:Blue Cross / Blue Shield
12	1	commentsDr. Gaggino is a great doctor who really cares about her patients, and is extremely knowledgeable. 		5	5	5	Insurance:Unknown
14	1	 My son saw her for about a year until she switched offices. We liked her allot. She was friendly and answered all our questions.  	3	4	5	5	Insurance:Blue Cross / Blue Shield
14	1	 Answered all my questions. Patient, Polite, and Friendly. My son saw her for about 8 months until she switched offices.  	3	4	5	5	Insurance:Blue Cross / Blue Shield
14	1	 doctor Gagin very professional Doctor,She has been my son's Doctor since he was 3days old.She has excellent knowledge in Pediatric medicine.I have been very happy and satisfied with the service given by Dr.Gagin.Thank You so much Dr.gagin for all the attention you give to the little patients.  	5	5	5	5	Insurance:Molina
14	0	commentsMissed my sons ear infection.  Brought him to an ear specialist who said his ear was &quot;inflamed and about ready to burst.&quot; 	4	5	4	1	Insurance:Unknown
15	1	 My husband and I LOVE Dr. Galal. He is our family doctor and in the 2 years we've been with him he has been nothing but helpful, attentive, and knowledgeable. He always returns our phone calls, HIMSELF--even after-hours--within a reasonable amount of time (I think the longest we waited was still less than an hour). He answers all of our questions (we ask a lot) and has been great with ordering tests and sending us to a specialist when necessary. He's great with our 2-year-old son and knows how to ease our fears, whether with more information or diagnostic testing, when something doesn't seem right. His staff, specifically Gaitha and Tangela, have always treated us kindly and been very friendly and helpful, even when we had to switch insurances twice in the same year! I would recommend Dr.  Galal to anyone! 	5	5	5	5	Insurance:Medicaid / Medi-Cal
15	1	 Always helpful especially when u have a major health problem. Office staff very kind after you get to know them. Staff could be more timely with referrals.  	4	5	5	5	Insurance:Blue Cross / Blue Shield
15	-1	.   	1	3	1	2	Insurance:Blue Cross / Blue Shield
15	1	 Dr Galal has been our daughter's PCP for past 4 years. She is 22yrs old, with multiple disabilities, mental impairments.  He is very attentive, thoughtful, thorough and caring and his nurse Tangela is also very professional, personable. Dr. Galal is very accessible &amp; prompt with few on call/after hour calls, its easy to get appointments.  Gaitha at front desk has always been friendly and helpful too.  Only complaint:  Office entrance is not wheelchair or handicap accessible.  	3	4	5	4	Insurance:Tricare
15	1	 Dr. Galal has been my primary care Dr. for several years. He is very kind, knowledgeable and attentive. I am able to get appts right away and am promptly seen.  He will even return a call evenings or weekends! BUT... !!! You have to put up with a very rude, snobby staff who give short responses and behave as if you are a bother and putting them out!!! And it never changes, it's always the same. This is hard and I have considered several times finding a different doctor. I have even almost just walked out because of this.  I don't really know how aware he is of this and I am sure he has lost patients due to this, which is really ashame as he truly a good doctor and person.  Overall, I keep going because I like him, it is very easy to get in to see him (often even the same day) and he is knowledgeable and attentive.  	1	5	5	5	Insurance:HealthPartners
15	-1	commentsTerrible experience. Dr. Galal didn't feel comfortable with my ADHD diagnosis and made and felt that the medications I take for it, which are prescribed by a top ADHD specialist were a cause for concern. He insulted me and handed me a sheet of information regarding ECT treatment for something called psuedodemensia. Terrible bedside manner. 	1	1	1	1	Insurance:Unknown
15	1	 Dr Galal was assigned to my Mom in the Hospital following surgery (her Dr. does not have hospital privleges there).He was very attentive to her needs, spending lots of time with her, and answering all her concerns.  He was very cautious about releasing her from the hospital, worried she might be alone and could fall.  Overall, he was terrific, and I wish my mother would make him her doctor now.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
15	1	 Dr. Galal listens to me and respects when I have a health issues. He follows up well and takes time to answer all my questions.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
15	1	 very good doctor. listens to the patient, is respectful and no long waits.  	5	5	5	5	Insurance:Aetna
15	1	comments 	5	5	5	5	Insurance:Unknown
18	1	 Dr.  Gale Butto is the best doctor Ive ever had the privilege to work with! 	5	5	5	5	Insurance:Medicaid / Medi-Cal
19	1	commentsHad braces for 5 years and when he finished my teeth were worse that when he started.  Wasn't very helpful and seemed that I was wasting his time.  NOT satisfied at all.  I found another dentist to fix the problems he created. 	5	4	4	4	Insurance:Unknown
19	1	commentsHe has been our Dentist for years and always done an excellent job. 	5	5	5	5	Insurance:Unknown
19	1	 Made me feel at ease even though I am very afraid of the dentist. I recommended him to my friends and family.  	5	5	5	5	Insurance:Delta Dental
28	-1	 This woman is rude, quick to respond to a question she didn't fully hear and very fast to farm a patient out to some other doctor.  If poor rapport is fine with you, then you'll be pleased to knowt that scheduling appointments with her are easy...if you can get passed the ignorant staff answering phones.  	2	3	1	1	Insurance:Blue Cross / Blue Shield
29	1	 Dr Testai is very caring and knowledgeable.  She keeps ups with current trends and happenings.  Both my husband and I have gone to her for several years and would recommend her to everyone.  	5	5	5	5	Insurance:Medicare
29	-1	 Dr. Gabriel is friendly and personable, but she always runs at least an hour late. Also, the office billed me for items that were supposed to be covered by my insurance. (When I complained, they were removed, but it happened more than once.) And, she prescribed a medicine for me that I reacted badly to. I reported my symptons, and she took me off it, and prescribed another medicine. She obviously was uninformed about the restrictions on the second medicine, because it had a warning that anyone who reacted poorly to the first medicine should never take the second one. I once again had a very bad reaction. After that, I changed doctors.  		1	3	1	Insurance:Aetna
30	-1	commentsSaw this doctor approximately 8 times.  First appt he was all smiles, spent time with me and seemed genuinely concerned.  As time went on, each appt after the first showed a totally different character. I felt like I was bothering him, never really asked how I was doing, you fill out a form before you see him.  Just wrote the same scripts over and over.  My last appt he basically said he was tired of people whining, that everyone was unhappy in their lives.  I think he needs to retire. 	2	5	1	1	Insurance:Unknown
36	-1	 This doctor and his secretary do nothing but order huge amounts of expensive tests and make you come back to their office for the results of each test.  See someone else.  Laurie is rude and not a medical doctor, although she makes you think that she and the doctor are in practice together.  	1	2	1	1	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$100
38	1	commentsOne of the best Doctors I have ever had the pleasure of seeing.  I actually enjoyed going to the Dentist after meeting Dr. Gadioli.  He is extremely knowledgeable and takes the time to answer any questions or concerns I had about my treatment.  He also had the courtesy to call me the following day to check on how I ws feeling after a long procedure.  I will be a patient of Dr. Gadioli for LIFE. 	5	5	5	5	Insurance:Unknown
38	1	 Dr. Peter Gadioli is a very knowledgeable and helpful dentist. He takes the time to answer all your questions and explains everything in ways that are easy to understand. You can tell he enjoys his profession by his enthusiasm. Dr. Gadioli is also very familiar with all of the latest technologies and procedures. I highly recommend Dr. Gadioli.  	4	5	5	5	Insurance:Delta Dental
42	1	comments 	5	5	5	5	Insurance:Unknown
43	1	 I had my second baby with Mary at the Alternative Birth Center and was truly cared for. All aspects of my birth were exactly what every woman should experience -- respectful, empowering, honest, caring. Mary and the ABC unit staff made me, my baby, my husband and my entire family feel like we were a part of their family.  	4	2	5	5	Insurance:Blue Cross / Blue Shield
43	1	 Mary and all the midwives in her practice are wonderful for women who want natural, supported pregnancies and births.  It was not until after having my second child at the Alternative birth center in Providence hospital, that I realized how awful my hospital birth was with my first.  It is just like having your baby in the comfort of home, but with the reassurance that medical care is there should it become necessary.   I wish all women would demand this kind of respect and sensitivity from their obs! 	1	2	5	4	Insurance:Blue Cross / Blue Shield
48	1	 Dr. Gadzinski has treated my husband and I for over 20 years.  He is always on top of any situation we've had and is likeable, kind, compassionate, interested in one's overall health and for sure, stays on top of all medical changes.  The greatest doctor in Ludington or anywhere, for that fact.  Highly recommend even for consultation by other doctors.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
48	1	 Dr Gadzinski is always right with his diagnosis and skill at prescribing the right medicine, care, and overall complete service to his patients.   Great doctor 	5	5	5	5	Insurance:Blue Cross / Blue Shield
