dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	DR.  SALAMA SAVED MY LIFE BY REMOVING A CANCEROUS TUMOR FROM MY VOCAL CHORD EVEN THOUGH I LOST THE ABILITY TO SPEAK I CAN STILL TALK THROUGH AN DEVICE MY SURGERY WAS ALMOST 13 YEARS AGO INDEED A MOST COMPASSIONATE MAN AND WONDERFULL HUMAN BEING 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	-1	Doctor will wait till kids needs to be hospitalized to prescribe a medicine.  	1	4	1	1 	Insurance:Medicaid / Medi-Cal
2	1	. He is the best Doctor ever he is very thorough and honest, and his staff is great as well 	5	5	5	5 	Insurance:Medicaid / Medi-Cal
2	1	. HE IS HONESTY THE BEST FOR MY CHILDREN HE EVEN MADE A HOUSE CALL I NEVER KNEW A DOCTOR WOULD CARE SO MUCH WE WERE PROBLY SOME OF HIS FIRST PATIENTS BUT WE HAVE TOLD EVERYONE ABOUT HIM HE IS TRULY THE MOST DEDICATED DOCTOR I KNOW 	5	5	5	5 	Insurance:Medicaid / Medi-Cal
3	1	 	5	5	5	5 	Insurance:Unknown
4	1	We absolutely LOVE Dr. Christie. She takes time to listen to our concerns, and is very thorough. Searched a long time to find a Dr. I could understand.  She is SUPER!!! 	2	4	3	4 	Insurance:Blue Cross / Blue Shield
4	0	Dr. Samuels is a good doctor when you finally get to see her but her staff and trying to make an appointment with her is HORRIBLE! I've yet to have one good encounter with any of her staff.  I came down with bad cold/ bronchitis here lately I tried calling to get an appointment to see her and who ever was on the phone just told me dr. wasn't taking appointments today because their computers were down; took my name and said shed call back when they were back running. Whoever she was was very rude and acted like I was a comPlete inconvenience and bother for her.  As if why am I bugging her about being sick.  My suggestion you'd have better luck and be treated a whole lot nicer as if you were an actual person instead of a bother by just going to your local rite aid before making an appointment! 	1	2	2	3 	Insurance:Unknown
4	-1	I having nothing good to say about this office. I should have listened to the comments made by others about her staff. They are very rude and dismissive. I have a disease that is very unpredictable and can progress quickly when its agitated. I am only 31 years old and right now I can’t walk or stand without assistance. When I lost muscle function it happened fast I even ended up in the hospital for 2 weeks. Everyone was scrambling and I needed referrals to see various specialists. Her office told me they didn’t have time to complete my referral requests or they simply would not do them even after they promised to complete them. I wrote her a letter complaining about the poor service from her staff and she sent me a letter that was 3 sentences long saying she was dropping me! No apologies no explanation. What a way to treat a scared patient.  	1	1	1	1 	Insurance:Henry Ford / HAP
4	1	Dr. Samuels is wonderful. She has been my primary physician for 15 years even though I've moved all over the greater Flint area, driving from Flushing or Grand Blanc just to see her. She takes her time and listens to your concerns. This is wonderful, but it is also likely the reason why she is always running so far behind. The wait is very frustrating but worth it.  Her assistant, Karen, is amazing but her nurse, Linda, is not very friendly. Overall, I recommend her to my friends and family and caution them about Linda's demeanor. 	 9/14/11	3	1	5	Insurance:Unknown
4	1	Love her.. her staff is getting better everytime. She is great and when you are realy sick she will stay very late just to fit you in..  Love her 	5	5	5	5 	Insurance:Henry Ford / HAP
4	1	Dr. Samuels is the best doctor in the area.  She is very kind and helpful.  We feel very fortunate to have her for our family doctor.  	3	3	5	5 	Insurance:Blue Cross / Blue Shield
