dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
2	1	commentsAmazing man! He made my pregnancy and delivery as amazing as they could have been!! So sweet and caring. Will be delivering all my children!!! 	5	5	5	5	Insurance:Unknown
2	1	 Best OB/GYN ever.  Been seeing Dr. Uckele since 1998.  He helped me through 2 miscarriages, fratility counciling and recommended fratility dr., 2 live births and pre-cancerous cells.   i drove 75 miles round trip to see him with my last pregnancy (I was high risk and had a lot of visits)that's how good he is!! 	4	4	5	5	Insurance:Blue Cross / Blue Shield
2	1	 Dr. Uckele is amazing.  He not only delivered my twins with skill and grace, but he has always been such a wonderful, compassionate physician and has helped me in countless ways. He is always reassuring, patient, kind, and gives real, pragmatic advice.  He also always takes a ton of time with me - never rushes me out; answers all my questions carefully and thoughtfully, and has mastered the art of patient distraction to help ease nerves (he's superb with the small talk).  Also, he has an amazing tissue box reflex where he never takes his eyes off you but offers you a tissue if you are tearing up or crying at all.   What a great guy! 	5	5	5	5	Insurance:Aetna
2	1	 Dr. Uckele is very nice. Unfortunately I was looking to have a vaginal birth after cesarean, and their office was not accommodating to that need. He is a very compassionate man though, and would recommended him to anyone needing a surgeon to give birth.  		5	4	4	Insurance:Aetna
2	-1	commentsMissed a large ovarian mass on physical exam. Ordered a pelvic ultrasound prior to doing a uterine ablation for abnormal bleeding but told the patient it was not needed because the surgery needed to be done quickly due to severe anemia. Should have at least ordered a CA125 and could have had a quick scan done of the ovaries even if it was done on the day of the ablation. Patient ended up 3months post-op with severe abdominal pain and was found to have a huge ovarian mass and abnormally large uterus. Patient ultimately required complicated hysterectomy and oophrectomy with removal of part to the fatty bowel. 		5	2	2	Insurance:Unknown
2	1	commentsGreat doctor, very calm, good for nervous first time pregnant moms! 		5	5	5	Insurance:Unknown
2	1	commentsGreat doctor all around - has Beaumont privaleges which is a huge plus. 		5	5	5	Insurance:Unknown
2	1	 Dr. Uckele is very professional. He took me as a new patient Nov 2005. He even sent me copies of my medical records and reports. I think Dr. Uckele Is a winner in my book. He has compassion and truly has a gift to help women in the gyno. field.  		5	5	5	Insurance:Blue Cross / Blue Shield
2	1	 Dr. Uckele is a great doctor, very understanding and helpful.  I strongly recommend him! 		5	5	5	Insurance:Blue Cross / Blue Shield
8	1	commentsDr Udehn was very prompt in getting me scheduled for surgery and showed me my MRI explaining what it showed and what needed to be done. He took great care in explaining all aspects of the surgery and recovery process. I was back to work in less then 2 weeks after surgery and without neck pain for the first time in 4 years! 	5	5	4	5	Insurance:Unknown
8	-1	comments 	5	1	1	1	Insurance:Unknown
12	1	commentsI am very happy with Dr.Updegraff. He goes above and beyond all the time. 	5	5	5	5	Insurance:Unknown
13	-1	commentsTerrible service this doctors office should be closed down he is not knowledgeable and you will do better just going to a hospital. Paid/Co-pay:$35	1	1	1	1	Insurance:Unknown
13	1	.  he is ok 	5	4	4	4	Insurance:Molina
18	0	 Spends more time with his nose in his laptop instead of listening to this patient. Eye to eye contact would be helpful. Punctuality leaves alot to be desired.  Looking for a new doctor.  	3	2	2	4	Insurance:Blue Cross / Blue Shield
18	-1	commentsUlmer requires patient to make appointments for unnecessary matters probably for the $. Cancelled one physical appointment w/ a day notice made 1 month prior, then forgot the next one. Thinks patient knows nothing. 		1	1	1	Insurance:Unknown
