dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	very smart doctor. My family and myself thinks she is the best ever. She always has time to spend ,explaining everything and is quite detailed. As an extra she is beautiful. 		5	5	5 	Insurance:Unknown
2	1	Dr. Yadam is a very professional but also a very caring individual. He is honest and up front with you, and will answer all your questions. He is not afraid to try different treatments if he feels it will help you. If you are hospitalized, he will keep you there until he feels you are ready to go home. He is very intelligent and continues to keep up on all the new things happening in his speciality. 		5	5	5 	Insurance:Unknown
3	-1	A horrible experience for a family member who needed radiation treatment. He id not provide our family with all we needed to know. COLD, STOIC AND VERY ODD.  	1	3	1	2 	Insurance:Medicare
3	-1	This doctor is very strange.  He will go off on an entirely different topic when all that is on your mind is whether you are going to beat this cancer.  He does not seem to truly care for his patients.  He never made me feel good after seeing him.  I eventually changed doctors and went to a doctor who is a lot more caring and willing to listen.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
3	-1	I am not sure if this doctor is still affiliated with DMC, but he is by far the most stoic doctor I have ever met. Not only does he hardly show any emotion, when he does it comes off very fake. Doctors treating cancer patients should have better bed-side manner. He also made my mother wait for over 2 hours for his appointments. And he always talked to her like a child. His treatment did not help her and she succombed to cancer. He made her last months worse with his attitude. 		1	1	1 	Insurance:Unknown
4	1	Great doctor, very friendly and knowledgable. Felt at ease discussing my problem with her.  	5	5	5	5 	Insurance:Aetna
4	-1	Dr Yurko always seemed rushed, I never had time to ask her questions. She would disappear and leave me with assistants who couldn't answer questions. Had issues with acne for years and she kept giving me the same things that never worked. I finally switched to another Dermatologist, whom I love. They actually listen to my questions and concerns. My skin has been clear for over a year thanks to them. I would never recommend Dr Yurko to anyone. 	3	2	1	2 	Insurance:Unknown
4	-1	I will not have a doctor that will not look me in the eye when speaking to me. Really dismissed my teenaged daughters concerns about her acne.I wanted to look at the skin care items they carry, but no one knew anything about them. Too bad. I am willing to spend a lot of money on my skin.  Staff can't handle the phones and I get disconnected 	2	2	1	2 	Insurance:United Healthcare
4	1	These other comments are very accurate. Wait time was long. Not the most friendlist of people. Felt like she just wrote out the standard precription at me and out the door. 	3	3	3	4 	Insurance:Unknown
4	-1	Dr. Yurko was rude and unfeeling - eyes closed when she talks to you - could care less about cutting your face to remove something you ask her about - acts like you are stupid if you are concerned about scarring - which it did - considerably - nurses were rude and made you feel like you shouldn't worry about scars - unhelpful and unkind.  Made me feel stupid for asking questions! 	1	1	1	2 	Insurance:Blue Cross / Blue Shield
4	1	You have to get used to Dr. Yurko's demeaner, even doctors can have issues of shyness or whatever, her eyes seem to cast downward or close almost involuntarily when she talks to you. Also I have had to wait a long for appointmnet, not sure if it's the doctor or the office.  On the plus side, I thought she was knowledgeable, and when I had to have extended treatment (for skin cancer) she was pleasant and downright chatty. I feel comfortable that the medical care and knowledge is good. 	4	3	4	5 	Insurance:Unknown
4	0	This doctor does not have very good interpersonal communication skills.  She never makes eye contact and spends what little time she does spend with you, looking away or down.  Despite my concerns over a hard dark spot on my skin, she never once touched it or got close enough to even consider it.  I prefer someone who listens and responds to my questions and addresses what my concerns are.  I simply don't feel as if she did this.  I have been to numerous dermatologists (young, old, male, and female) in more than three different states, and I have to say, that she ranks at the very bottom.  I don't doubt that perhaps she is very knowledgeable in her field, but her way of interacting with patients and having them benefit from her expertise leaves much to be desired.  I thought that since she is female, and I am, that I would be comfortable with her as a doctor and that she would understand what my concerns were.  And no, she wasn't just having a &quot;bad day&quot;; I saw her more than once.  	4	3	1	4 	Insurance:Blue Cross / Blue Shield
4	-1	Worst interpersonal skills imaginable.  Dislikes questions and getting answers is very difficult.  Even then, nothing in depth.  Gave me a prescription that burned my face, for a condition it turns out I did not have.  You couldn't pay me enough to back to her.  	4	2	1	1 	Insurance:Blue Cross / Blue Shield
4	-1	very unpersonal and slapped a perscription at me. I didn't care for that type of service. 	5	3	1	1 	Insurance:Unknown
4	1	Dr. Yurko has a horrible bed side manner and does not make eye contact.  In fact, most of the time she talks to you she has her eyes shut!  I don't feel comfortable asking a lot of questions with her.  Once I wound up seeing the nurse practioner in that same office who was extraordinary.  She answered all my questions and made me feel like I was an old friend.  	5	1	3	5 	Insurance:Aetna
4	1	I previously submitted a poor rating for this doctor; after subsequent visits I feel compelled to change this rating.  I guess everybody is entitled to a bad day! 	4	4	4	4 	Insurance:Unknown
4	1	My daughter had a mole on her arm removed by Dr. Yurko. I thought she was patient, kind, and gentle. She was considerate enough to say that the mole was not likely cancerous so we didn;t have to worry until the biopsy (benign) came back.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	-1	Very poor interpersonal/communication skills; would not make eye contact and seemed generally uniterested in discussion. 	3	5	1	3 	Insurance:Unknown
4	-1	She had HORRIBLE bedside manner. I was in and out of her office in 4 minutes! I was frightened to ask any questions about my treatment she was giving me. I left unclear about why she gave me the treatment she did and what it was going to do to help me. I was on the phone with my pharmacy for an hour and they were more helpful than Dr. Mary Yurko. Two days after my appointment I ended up being allergic to the medication she prescribed, and when I called the office the receptionist transferred me to voicemail. I have had nothing but trouble with this doctor and this was my first time seeing a dermatologist.  		2	1	1 	Insurance:Aetna
