dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Brilliant problem solver, appropriately humble in the face of uncertainty, compassionate and empathetic person. He is an excellent physician, as good as anyone in his field, and we're lucky he's here among us. Yes, appointments may start a few minutes later that planned, but it's likely because these doctors have to do so much darned paperwork because of our convoluted insurance system. You can travel to MD Anderson or Mass General or wherever, but you will not find a better oncologist.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
1	1	abrubt wiht patient lacks - lacks empathy 	5	3	4	5 	Insurance:Unknown
2	1	Dr. Anderson has been my doctor for over 20 years.  I have complete trust in him.  I appreciate his straight forward, common sense approach.  He is very knowladgable.  He has provided exceptional care to me and my family for as long as we've been with him.  	4	4	5	5 	Insurance:Blue Cross / Blue Shield
2	1	I have been going to Dr. Anderson for about 5 years and I have never had a problem.  He is very helpful, thorough and understanding.  The one drawback would be you often have to come in to see the doctor for referrals or prescriptions.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
2	1	An excellent Doctor. Kind and caring and knows his stuff.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Dr. Anderson has been my doctor since I was little and I am 28 now. I feel like he really knows and cares about me. He is very thorough and helpful in guiding me to be as healthy as possible. 	5	4	5	5 	Insurance:Unknown
2	1	Great doctor. I have had him since I was a little girl. I am now 28 and still think he is the best Doctor. Very helpful. Harder to get appointments with becuase so many people request him.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Great GP. Very good at explaining things in a simple way. Helpful in letting me know how to change lifestyle to help with health issues. Made me feel like he cared genuinely about how I am doing.  		5	5	5 	Insurance:HealthPartners
2	1	Excellent GP - gives options and helps patient to pick the option best suited.  		5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	I waited almost 40 minutes my first visit, than my second visit was rushed as if he had scheduled too many appointments at thee same time as mine. I liked my first adjustment, but I donnot plan on going back to wait.  	3	2	3	4 	Insurance:Blue Cross / Blue Shield
3	1	Great chiropractic office. I work In Edina and live in Eagan so having the availability in both place is great. The new Edina office is amazing.  The staff makes the visits very easy.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Great!  Best adjustment i ever had.  he is my regular doctor now.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	-1	Dr. Adefris is very nice and personable but she is very busy and you hardly get to see her. She tells you to do everything through her assistant but unfortunately her assistant screws everything up. I scheduled my surgery through her assistant- a DC and and an exploratory laproscopy. The day of the surgery her assistant didnt tell me that my surgery got pushed back and she had forgotten to schedule the laproscopy. As I was on the surgery table Adefris was blaming me for her staff's screw up- RIGHT BEFORE I WENT INTO SURGERY!!!! Extremely unprofessional. She sticks up for her staff that repeatly made mistakes with scheduling appointments and Adefris told me to talk with her staff and then yelled at me because I didnt call her directly- she is forgettful. I am going to a new doctor for my post-op...I dont trust her at all.  	2	2	2	2 	Insurance:United Healthcare
4	1	The fastest pap i've ever had and she wasn't in a hurry and stuck around and listened to my concerns. 	4	5	5	5 	Insurance:Unknown
4	1	She is wonderful! I have seen her for years and she has always been friendly and easy to talk to. She didn't pass judgement on my decision for not wanting children unlike other OB/GYN's I have been to before her. She always remembers me even though she has 100's of patients.  	5	4	5	5 	Insurance:United Healthcare
4	1	She is fantastic! Very friendly and caring. Easy to talk to and I would recommend her (and have) to any woman looking for a good Doctor. 	5	5	5	5 	Insurance:Unknown
4	1	She's very friendly and helpful. Pleasant and I miss her now that I'm not pregnant!!! 		5	5	5 	Insurance:Unknown
5	1	I think he needs to re study the hippocratic oath and perhaps comprehend what it states and apply that to his patients.  	3	5	2	5 	Insurance:Blue Cross / Blue Shield
5	1	Was very professional and kind. Was interested in what I said. Was able to crack a smile. Very Accurate in diagnosis. Nice office with pictures of family. 	5	5	5	5 	Insurance:Unknown
5	1	Wonderful bedside manner and a very knowledgable doctor.  Always listens to the patient and follows up on any concerns.  Gives top notch care. 	4	4	5	5 	Insurance:Unknown
