dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	I have Hashimoto's and felt that I was still very hypothyroid inspite of having tried different medications.  Actually I was on Armour at this point after years of trying Synthroid and while it was the best I had done I still had a great deal of edema on my legs and abdomen.  He walked in, no eye contact, looked at my chart and said loose weight.  He initially did not examine me, did no testing, and did not ask me about my level of exercise or habits of eating (they were excellent). He disagreed with how my current endocrinologist was treating me, and gave new advice for the med.  I ended up with my TSH going back to 19, and in far worse shape.  My hearing specialist at the Mayo had set this appointment up since my sudden hearing loss in both ears came at the same time as my TSH being very high.  If he had any knowledge to help with my severe edema and other hypthyroid symptoms he certainly didn't present this during my appointment.  He walked out within 5 minutes of walking in.  	4	4	1	1 	Insurance:Blue Cross / Blue Shield
2	1	Dr. Forrester is extremely patient and helpful.  She takes the time to listen to her patients and to explain the various tests/procedures.  She is very good and I'd recommend her to others.  	4	4	5	5 	Insurance:HealthPartners
3	1	I have been seeing Dr. Fitch for over 5 years and she is incredible. She is so very caring and understanding. I don't know what I would do if she left Park Nicollet..I've never had such a wonderful doctor.  	4	4	5	5 	Insurance:HealthPartners
3	1	She is very caring and treats each patient with the respect they deserve.  She doesn't just label you and then treat you like that label.  She treats you like an individual.  	5	5	5	5 	Insurance:Medicare
3	1	I've been seeing her for several years and I adore her.  My old psychiatrist didn't have a nurse, or emergency appointments.  It didn't matter how poorly I was doing, I only saw her every six to eight weeks.  With Dr. Fitch, I think the longest period of time I have gone between appointments was eight weeks.  	4	4	5	5 	Insurance:Medicaid / Medi-Cal
3	1	 	4	4	4	5 	Insurance:Unknown
3	0	She's young and not very open to new ideas. 		4	3	3 	Insurance:Unknown
4	1	A kind and courteous physician. He also explained things clearly and answered all of our questions.  He took his time and made us feel very comfortable and cared for. 	4	5	5	5 	Insurance:Unknown
5	-1	He insisted that four years of back pain was only &quot;sore muscles&quot; and I should exercise more. I finally switched doctors and got an x-ray - it's severe scoliosis. If Dr. Fink had listened to me four years ago it would not have gotten this bad. His priority seems to be to write the maximum number of prescriptions.  	3	3	1	2 	Insurance:HealthPartners
6	1	Dr. Fischer is great- very approachable, knowledgable, and direct. 	5	5	5	5 	Insurance:Unknown
6	1	Knowledgable and helpful, friendly and very practical in her approach to treating the problem.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
6	1	Went there after a persistent yeast infection. She wanted to hear the story from the very beginning, took her time to listen and was friendly and very helpful. Will definitely see her again.  	4	5	5	5 	Insurance:Aetna
