dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Knowledgeable,highly skilled,trustworthy,caring, patient and supportive. Dr. Kamath has been inspiring and an enormous help to us, as we deal with a challenging liver/bile duct disease known as PBC.  	5	5	5	5 	Insurance:Aetna
2	1	This gentleman is very knowledgeable, however his people skills are lacking. I always felt he knew his work very well, but seems to take it personally when you ask him questions or offer other ideas. If people skills are not important to you, he will be a very good doctor for you. 	5	5	2	5 	Insurance:Unknown
3	-1	Dr Kilgore delivered my son. When I approached her prior to delivery, she brushed off my concerns. The next day I went into labor,only to find out that the cord was wrapped around his neck. I tore muscles in my neck/shoulder area because she told me he was too far along the canal to do a c section. I had to push hard and fast to get him out, resulting in tears. He then spent the night in the nursery on oxygen and had to have a scope in his throat. The ENT said his vocal cords were crushed. I went back for my 6 week check, and her suggestion for my pain&#63;&#63;&#63;chiropractor.... It has been 7 years now, and I still deal with the pain from that. I have gone to 5 different doctors, and just have to live with the pain from that. Thank god my son recovered and has a normal life!!!  I will never set foot in her office again! 	3	2	1	1 	Insurance:Unknown
3	1	She really help with my son and my twin pregnancy. I think she is a great doctor 	5	3	5	5 	Insurance:Medicare
3	-1	Absolutely HORRIBLE doctor!!! She has caused multiple baby's infections as well as she has broke the collar bones in many babies due to her carelessness!!! It is a wonder on how she still has her license! She has more than one malpractice suit against her....NEVER RECCOMENDED!! She also will tie your tubes during a c-section without your request if she believes you should be done having children just because she isn't able to have children. HORRIBLE DOCTOR! Stay far away from her. I reccomend Armstrong 150%! 	1	1	1	1 	Insurance:Unknown
3	1	Dr. Kilgore was excellent throughout the recent tests and procedures I had.  She was professional yet compassionate, answered all my questions, and made a stressful situation much less upsetting. She continued testing and searching for the answers to the issues I was dealing with. Her staff nurse was also wonderful and I would highly recommend Dr. Kilgore and her team for anyone needing gynecological services. 	5	5	5	5 	Insurance:Unknown
3	1	I recently had a test done by Jane Kilgore, and I was VERY happy with her. She was very informational and nice. She didnt waste anytime, very quick in and out of the clinic!!.  I would  recommend her in the future for any testing! She is willing to make things as easy as possible for you!! =) 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	-1	I was in on a delivery as a student nurse she did about 5 or 6 yrs ago. First off, she caused MAJOR infection in a new baby, which was then flown to Fargo. Next she almost dropped the baby on the floor stating, &quot;Slippery lil' bugger&quot;. And finally, she all around has TERRIBLE bedside manor! Sorry Jane, but I would not recommend.  		1	2	2 	Insurance:Blue Cross / Blue Shield
3	-1	This doctor did a tubiligation on me without my concent when i had my son by c-section. NOT RECOMENDED. Now i cant try for my third child enless i get a reversal which they should do for free but they want me to pay.  This doctor should have lost her licence but she still practices at the meritcare clinic in bemidji,mn 		1	1	1 	Insurance:Blue Cross / Blue Shield
4	1	My son loves him. I would tell everyone with an Autisic child to see him.  A+ 	5	4	5	5 	Insurance:Anthem
5	-1	On my initial consult, he spent about 30 seconds reviewing my issue. He said surgery was required. I had the surgery, but I had to go back for the same surgery a week later to complete what should have been done the first time. I tried multiple times to call him about the issue but he elected to never call me back. I was in so much pain from the surgery that I finally gave up and went to a different doctor at his practice, who did the second surgery for the same issue. He was fantastic. 	5	5	1	1 	Insurance:Unknown
6	1	Doctor Kath does a great job and is one of the few dentists I have returned to. I have never had any problems with any of the work he has done to my teeth. And, there has been plenty. That is more than I can say for every other dentist I used in the TC area. He is now our family dentist, and I trust him.  		5	5	5 	Insurance:Delta Dental
6	1	Dr Kath is a great dentist, my family has been going to him for over 20 years, I recommend him to everyone. Very patient, caring, the office does their best to accomodate both your schedule and your ability to pay out of pocket expenses. He has had the same office staff forever... and that says a lot about how he treat everyone! 		5	5	4 	Insurance:Delta Dental
6	-1	Some patients may enjoy chatting with Dr. Kath, but he seems to lack updated knowledge in his field. His office seeks out children patients, but they were not able to handle my child, who is doing beautifully now with a pediatric dentist. I would urge you to seek a younger doctor who is more familiar with the latest techniques.  		5	2	2 	Insurance:HealthPartners
6	1	Very helpful dentist. We've been with him for over 20 years and in addition to being an excellent dentist, he is a very sociable person who truly cares about his patients.  HIGHLY RECOMMENDED! 		4	5	5 	Insurance:Blue Cross / Blue Shield
7	0	Very mixed reviews about this doc.  I travelled to the Mayo in '07 b/c I have a pelvic pain condition that most doctors don't know how to treat.  Dr. Kastner was much nicer than the jerks I had dealt with prior to seeing him- a refreshing change.  However, he diagnosed me before examining me, and gave me a generic treatment plan (which did not help).  Had he bothered to do additional lab tests, he may have learned that I was suffering from a *rare yeast infection (something I didn't even know existed two years ago).  If he's bothered to culture for non-Albicans yeast, then I may not have had my pelvic nerves fried by constant infections.  I am now in a situation where I can't get rid of my fungal problem- probably b/c it went untreated for so long.  Thanks a lot, doc. 	4	4	2	3 	Insurance:Unknown
7	1	I had read the previous reviews on here of Dr. Kastner before my appt with him. Because of those, I prepared myself for the possibility of an unpleasant experience. I have to say that absolutely nothing the two others here have written resembled my experience whatsoever. Kastner was excellent. Informative, thorough, knowledgable, and gave me the least painful exam of its type i've ever had. He went above and beyond to explain things to me and ensure i was doing alright at every point of the exam & tests. I will request to see him again in the future. I recommend him.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
7	-1	I wish I found this site before my medical exam. Dr. Kastner should not practice medicine and needs professional help.  He made inappropriate comments, his exam was overly aggressive, inappropriate conduct, no nurse in the room, and clearly is unstable. I was violated.  I cannot believe the MAYO Clinic allows this man to practice medicine.  He is a major liability.  It is most unfortunate that a fine organization like the Mayo Clinic condones this type of behavior.  Please, choose another doctor/provider and insist on having a nurse in the room.  Turning a blind eye to this type of illegal, unethical and unsafe behavior warrants further investigation. Please, if you or someone you love has had an experience with this man, it is not your fault, and I pray you will have the courage to report Dr. Kastner, to both his superiors and if necessary, law enforcement. You are not alone.  It is my hope to shed light on & stop such abhorrent behavior. I pray the Mayo will do the right thing here.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
7	-1	Physician made inappropriate comments during exam.  Complaints made to administration were dismissed. 	4	4	1	1 	Insurance:Unknown
8	1	I am throughly impressed with Dr. Kazim.  Very thorough!  Saw her for the first time last week and will definately keep her as my primary physician.  	4	4	5	5 	Insurance:Aetna
8	1	I have been seeing Dr. Kazim since 1993. She is a very good doctor and does remember things about you, like your family and your history. She can run late but only because she takes time with her patients, which most doctors don't do anymore. About 4 years ago I had numbess in my hands, feet and face. I thought I had MS and was freaking out. Went in and she ran tests and was very good at calming me down. Found out thru a blood test that I had a vitamin B-12 deficiency. She ordered B-12 shots and it totally took care of the problem. I completely trust her advice.  	5	2	5	5 	Insurance:HealthPartners
8	1	Knowledgeable with questions and remembers from before. I feel like a person and not a number.  	5	4	5	5 	Insurance:Medicare
9	1	Dr Kellogg was not only patient with all of my questions, his bedside manner and demeanor were unsurassed. He takes the time to listen and address your concerns, and refuses to give a pat answer.  		5	5	5 	Insurance:HealthPartners
10	1	Dr. Kas was wonderful and has a cute sense of humor--very dry. He takes time to listen to you and asks questions.  He was extremely nice and soothing! 	5	5	5	5 	Insurance:CIGNA
11	1	An excellent MD.  One of the best in his field.  Did my husbands surgery protatectomy .  Excellent results and sprecializes in robotic surgery . Has done over 600 and teaches other MDS to do. 	5	5	5	5 	Insurance:Unknown
