dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr. Maguire did my LASIK/PRK surgery. He answered all my questions in the pre-examination. I was also given a piece of paper at the beginning of the pre-op meeting (day before surgery) specifically to write down my questions that he answered when he came in.  Surgery was super fast the next day and he was very nice. I knew what to expect and it was all correct. Admin asst was a bit curt with me several times, but cordial. 	4	5	5	5 	Insurance:Unknown
1	-1	He couldn't explain the surgery to me and just said that it was all in the pamphlet I received through the mail. However, I read the pamphlet three times and the questions I was asking were not in there. In addition, the pamphlet encouraged patients to ask their surgeons questions and even listed some that they should ask. He was short with me and very unhelpful. I would not feel comfortable getting any surgery from him. I'm sure he is a great surgeon, but I think he could have had better people skills. Maybe he is better with other patients but I was disappointed. 		4	1	2 	Insurance:Unknown
2	-1	Dr. Manahan told me he didnt care if I lived or died because life hereafter is better than on earth. Ok-everyone has their own opinion. But its like the bottom falls out of your world when you have cancer and your Dr. tells you somthing like this. I would never recomend him to anyone. I have told every Dr. since what he told me.  If you want to be depressed--hes the one to see! 	5	3	1	1 	Insurance:Blue Cross / Blue Shield
3	-1	OMG, while he may know a lot about his specialty (I have no reason to question his skill), he has no manners with individuals.  After my dad's surgery, I tried to ask what kind of pain he might have (since he is not the kind of person to admit to pain), and he said, &quot;Why don't you ask him&#63;&quot; - not once but twice!  As if I wouldn't ask my dad how he felt&#63;!!  All I wanted to know is what type of pain is normal vs. what type of pain indicates a problem worth reporting.  A good neurosurgeon with experience should be able to identify what types of pain come with a particular surgery.  	5	3	1	1 	Insurance:Medicare
3	-1	elusive,very poor post-op care.post-op care in the hospital the worst care i have ever received.left in severe pain in hospital while he was away on confrence by his incompetent support staff.8 hours post-op no pain control,pain pump was not working and support staff too incompetent to care or fix the problem.i would not reccomend.  	 5/12/11	2	3	2	Insurance:Medicare
4	1	Dr. Mcalpine was wonderful; his nurse has been extremely rude everytime I've been in.  	1	5	5	5 	Insurance:United Healthcare
4	1	Dr. McAlpine takes the time to get to the bottom of whatever a patient is having trouble with. He's the best 	5	5	5	5 	Insurance:Unknown
4	1	Dr. McAlpine has been my doctor for years and is just totally awesome.  He seems to genuinely care and is generous with his time! 	5	4	5	5 	Insurance:Blue Cross / Blue Shield
4	1	Great doctor, kind and generous with his time.  The staff at his clinic all seem top-notch.  Highly recommended.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
4	1	Dr. McAlpine is the first doctor I feel I can trust.  He is so knowledgeable, as well as truly caring about my health care.  	5	5	5	5 	Insurance:HealthPartners
4	1	Dr. McAlpine is extremely knowledgeable and his references have been top-notch.  He's a great family doctor! 	4	4	5	5 	Insurance:Unknown
5	1	Friendly, knowledgable and willing to work with me to get things figured out. 		4	5	5 	Insurance:Unknown
6	1	Takes time necessary to answer all concerns.  		5	5	5 	Insurance:HealthPartners
6	1	PATIENT, KIND, NEVER MADE THE PATIENT FEEL RUSHED, ANSWERED ALL YOUR QUESTIONS, NOT ARROGANT 		5	5	5 	Insurance:Unknown
7	1	Dr. Marquis is an old-school doctor. The kind you want. He knows his stuff and won't waste your time or money with nonsense. He's as down to earth as it gets. I've been going to him off and on for years -- when I need a tune-up. 	5	4	5	5 	Insurance:Unknown
7	1	Very thoughtful, very friendly. Listened to everthing I had to say. Did an excellent job. I will go back to him again. 	5	5	5	5 	Insurance:Unknown
8	1	Talented surgeon and caring individual. Dr. Matson is a wonderful doctor and I would recommend him to anyone. He doesn't waste time and gets the job done.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
8	-1	Sat for over an hour in the waiting room only to be seen by him for literally 90 seconds and told to &quot;take some Motrin&quot; -- then shooed out of the office in a hurry. Didn't look at my records or ask me any questions about my symptoms.  Completely unhelpful 	2	1	1	3 	Insurance:Medicaid / Medi-Cal
8	1	Very skilled surgeon - not a big talker! Not afraid to refer if he feels a colleague might have more experience in a particular area.  Has done 4 knee procedures for me and I'd see him again if necessary! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
8	1	Dr. Matson is a great doc--really knows his stuff & explains what he's doing very well. 		4	5	5 	Insurance:Unknown
9	1	Dr Malyon is a fine physician. Good listener. Concerned and helpful. 	5	5	5	5 	Insurance:Unknown
9	-1	This doctor does not have compassion for those who are suffering. He doesnt take clear concise notes and mis-diagnosis because of it.  	2	1	1	1 	Insurance:Blue Cross / Blue Shield
9	1	Dr. Malyon takes time to listen and is very thorough. He performed a full exam before drawing conclusions for an injury, then printed out several pages of information gave great advice for care. 	4	4	5	5 	Insurance:Unknown
10	1	very kind, helpful and knowledgable. I have been a patient for many years and have always been treated well.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
10	1	Very kind and thorough doctor. Spends time listening to me and answers my questions.I have been going to her for years. A very good teacher.  	5	4	5	5 	Insurance:CIGNA
11	1	Wonderful pediatrician!  Very knowledgeable and accessible.  Natural/&quot;crunchy.&quot;  One of the few doctors we have trusted.  	5	5	5	5 	Insurance:HealthPartners
12	1	I am a transplant to this great state of Minnesota, so I didnt know what to expect the first time I visited Dr. Marzella. I must say the staff and Dr. Marzella is so professional, they seemed concerned about me, they seemed to care and they showed great hospitality. My first dentist here was from the same office, but he relocated. He was a wonderful dentist as well, so I didnt know what to expect when I was transfered to Dr. Marzella but I can honestly say that I am not disappointed at all. I would recommend this doctor to family, friends, church members, co-workers and even to my enemies(if I have any). I am always treated well and I can not believe how every appointment they are on time or no later than 5 minutes late and that has happened only once in nearly 5 years. Dr. Marzella you are a blessing. 		5	5	5 	Insurance:Unknown
13	0	Dr. Maley is very nice. However, he did so much over excessive work on my teeth they will forever be ruined.  	2	3	3	2 	Insurance:Blue Cross / Blue Shield
13	1	This man messed up my teeth so badly my new dentist has had to refill much of his work. My teeth will be forever super sensitive.  	2	4	4	4 	Insurance:Blue Cross / Blue Shield
13	-1	he caused me to end up in the hospital for 3 days with celuitius of the face . he pulled my tooth and snaped of the one next to it with his tool . and after all that . all of the work he did fell out . i have to have all the teeth he worked on pulled out .  worst dentest ever 	1	2	1	1 	Insurance:Medicaid / Medi-Cal
13	1	Have been a patient of his for most of my life. I've had numerous dental issues and several root canals. Never understood all the horror stories about root canals as I've never had a painful one with him. Very knowledgeable and understanding. Excellent dentist. 		5	5	5 	Insurance:Unknown
14	0	Too heavy handed.  Felt like he almost broke my back.  Was in terrible pain the next day with neuropathy pain shooting in my feet. Dr Mauzy doesn't keep medical records for each visit and never remembers my name even tho I've been to see him several time.  He always has to ask me if I'm a new patient. Very unprofessional. 	2	5	2	3 	Insurance:Unknown
15	1	I have been seeing him for over 9 yrs now. He is my Dr. I see after I had gastric bypass surgery, which I have problems with anemia. Always great to talk to, saw my daughter also, and took the time to answer many questions evey visit. His nurses are great. So is the staff there. He also does oncology, but I see him for the blood disorders. If he didn't know something, he looked it up, and we discussed it further. Sometimes I would see him a few times a year. Now its just once a year for checkup. Great hemotoligist. Would not want to change Drs.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
15	1	 	5	5	5	5 	Insurance:Unknown
16	1	Dr. Mague is the best doctor I've been to. I've been going to her for 4 years and she is wonderful. I rave about her to all my friends and family.  	5	5	5	5 	Insurance:Anthem
16	-1	My exchange with this doctor was quite negative. She seemed to desperately want to diagnose me with all kinds of health problems that were completely outside the scope of what I went in for, and with no diagnostic evidence to support those claims. She also blatantly refused to treat one of the issues I sought help for. Frankly, it was bizarre. I will avoid this doctor in the future. 	5	5	2	2 	Insurance:Unknown
16	1	Very personable with excellent bedside manner. Highly recommended. 	5	5	5	5 	Insurance:Unknown
16	1	She is thoughtful, caring, and she listens. She admits when she needs to look into something and will follow up. She is very intelligent without the Dr. ego.  	5	4	5	4 	Insurance:HealthPartners
16	1	Dr. Mague is just an *outstanding* primary care physician.  She talks to you like a caring human being.  I've found her to be someone who outlines clearly your options and works with you as you make your choices.  Also she and her partners share information regularly in group meetings, which gives you the benefit of other perspectives. 	5	5	5	5 	Insurance:Unknown
16	1	One of the best doctors I have ever had!  Very personable, bed-side manners beyond belief!  Makes you feel comfortable in any situation.  Very knowledgeable with your case and new treatment options.  Very compassionate about her profession.  She comes HIGHLY recommended! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
16	1	I've been looking for a new doctor since my longtime GP retired, and what a find Dr. Mague has been. She has the best bedside manner, a great listener and good demeanor. She doesn't have the god/doctor complex, so you feel that your thoughts, feelings and ideas are being considered. Very compassionate and will not force medication that could be considered overkill or unneccessary. The Isles clinic has a gem in Dr. Mague. 		4	5	5 	Insurance:Unknown
16	1	An outstanding primary care physician. She has been my doctor for several visits, ranging from a concussion I suffered in a fall, to a chronic cough that required an MRI. In every case she has been thoughtful, careful and upbeat. How thoughtful&#63; When I went in for an MRI trying to diagnose a chronic cough, she stayed until 7pm on a the Friday of the 4th of July holiday, waiting for test results so she could call me and let me know my results were negative, so I didn't have to worry across the entire weekend. I've recommended her to three other friends for whom she is now their primary care physician. Great addition to the Allina Clinic - Isles staff. 	 2/26/07		5	5	Insurance:Unknown
16	1	Dr. Mague was very pleasant and compassionate. I look forward to having her as my physician for a long time. 		5	5	4 	Insurance:Unknown
16	-1	I have found Dr. Mague to be relatively inexperienced and yet arrogant and unhelpful to the point that I finally needed to seek out another PCP to get access to basic medical services which she was unwilling to provide.  		2	1	2 	Insurance:Blue Cross / Blue Shield
