dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	IME for auto, she is paid to side with the auto insurance company! Good luck 	2	2	1	1 	Insurance:Unknown
2	1	Helped me find the right treatment and I am feeling much better. Will definitely be seeing again. 	5	5	5	5 	Insurance:Unknown
3	-1	She was EXTREMLY RUDE and is very ignorant! I have worked with a lot of doctors and have never been treated so rudely. I did not even let her treat me due to her incompetence! 	4	1	1	1 	Insurance:Unknown
3	-1	I had a good experience with her as my surgeon, not as good in-office experiences. Her personality and office manner were often abrupt and blunt and I don't understand why it was standard practice for her to put my ear tubes in with no anesthesia, just with me lying on the table. It felt dangerous and definitely hurt. I endured a lot of pain in her office. I have since moved. I would rate her high for the surgery she did for me and low for office visits. 	3	2	2	2 	Insurance:Unknown
3	-1	My major complaint with dr. payne was her lack of bedside manner.  I don't know how she keeps staff as I witnessed many occasions of rude behavior.  	4	2	1	3 	Insurance:United Healthcare
3	-1	I wouldn't recommend Dr. Payne. She is an awful shot admin. often drawing blood. She is often moody and unpleasant. She keeps the client waiting an unacceptable amount of time.  She has alienated many staff members. But worst of all,  she calls and harasses clients if they choose to reschedule an allergy shot, but worst of all, she calls and harasses you if  you choose to change doctors.  	3	1	1	2 	Insurance:HealthPartners
4	1	He is a fabulous doctor and I would recommend him to anyone. I can come to him with anything and he will always help. 		5	5	5 	Insurance:Unknown
4	1	Have had Dr. Pastorius as our family physician for 22 years. I am a nurse and actually researched doctors prior to choosing him. I have never regretted my choice and highly recommend him to anyone looking for a family physician who will be aware of NEW advances, give REALISTIC advice, and REMEMBER your family members from visit to visit.  		5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	Dr. Pastorius is a great physician with outstanding leadership sklls and knowledge. The servies he performs at Lynwood Healthcare Center are outstanding. Thank you. 		5	5	5 	Insurance:Unknown
5	1	Very knoledgable and helpful. Always listens to his patients.  	5	5	5	5 	Insurance:HealthPartners
6	1	Dr. Carl Passal was my doctor for more than 27 years.  I did have to have c-sections because of complications, but he always used sutures, not staples.  He was very kind, dedicated,and concerned, and I was sorry to see him retire.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
6	-1	I would not recommend this DR to anyone, he does not listen to his patients.  He thinks because he is the DR he knows best, well because he did not listen I miscarried.  Also this Dr is to quick to perform C-sections, it's all about money!  Would never see this Dr again. 	1	1	1	1 	Insurance:Unknown
