dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	I loved Dr. Hierlmeier! He's the best!!!! 	5	5	5	5 	Insurance:Unknown
2	1	greatest doctor ever, and I went to many of them.  Thank you for helping me! 	5	5	5	5 	Insurance:HealthFirst
3	1	Have used him for years and have worked with him at Gilmore Hospital(i am a RN). He is incredibly smart and thorough. Very good doctor. 	4	4	4	5 	Insurance:Unknown
3	1	Saw Dr Hathcock a few times and results are generally the same. Good all around attitude and tries to actually help people in need. Other doctors could use him for an example to be like but then healthcare would have to change. We all know that is not going to happen. 	5	4	4	4 	Insurance:Unknown
3	1	One of the few Doctors in area who really seem to care about their patients. 	4	2	5	4 	Insurance:Unknown
4	0	 		3	2	3 	Insurance:Unknown
5	1	He has been very helpful since we located to this state with myself and both my daughters...Big thumbs up to himself and Shelly.  	5	3	5	5 	Insurance:Blue Cross / Blue Shield
5	1	I have been a patient of Dr. Hamiltons for 11 years now.He has seen me through 3 pregnancies and actually delivered 2 of them.He actually listens and will even research to give you the most up to date info.He really cares about his patients.I have laughed with him and at him and even cried on his shoulder.He answers any and all questions both myself and my husband have ever had.When I was went into labor 4 weeks early,he knew I was afraid to go home for fear of having the baby at home so he let me stay on until I felt comfortable going home.He then allowed me to be induced 2 weeks early so I would have my little one in the hospital.He also allowed me to have my epidural early as he knew how terrified I was of the idea of having to give birth naturally again.His nurses are also great.They talk to me like a person or a friend and not just a patient. I always feel very comfortable at my appointment which is not an easy thing to be when you are at the female doctor :) 		4	5	5 	Insurance:Unknown
6	-1	I had an automobile accident and was in the hospital 10 days.  My legs and neck  were in severe pain and had no feeling in the lower part of my body.  This Dr. stood at the foot of my bed and said two different times, &quot;I don't know where the pain is coming from.&quot;  I was released and went to a neighboring city and the Dr. that saw me there (It took me 2 months to get this new appointment) immediately did test and came into my hospital room at 10:00 p.m.  and told me that I had a crushed spinal cord and compression.  I was then sent to a neurosurgeon and had surgery but the compression and crushed spinal cord had been going on for too long and I have permanent nerve damage to my legs.  I have been told that I cannot be released to return to work and have no income or insurance as my employment has been terminated.  No I would never recommend this Dr. Hashmat from Meridian, Mississippi.  The two Drs that saw me in Jackson, Ms are baffled why this condition wasn't found when the acc happ.  	3	1	1	1 	Insurance:Blue Cross / Blue Shield
6	1	. Was helpful In treatment and diagnosis as well would recommend him 	4	4	5	5 	Insurance:Blue Cross / Blue Shield
6	-1	Rude, impatient; does not answer questions, uncaring. He does speak perfect English, however. But he answers all my questions with an emphatic &quot;no&quot;, no matter how detailed the information requested.  	1	4	1	1 	Insurance:Blue Cross / Blue Shield
7	1	Dr Head is a great doctor. Her staff is wonderful and very knowledgable. The office is clean and beatifully decorated. There is a huge fish tank in the waiting room for the childern to look at.  I will never go any where else with my childern! 	5	5	5	5 	Insurance:Delta Dental
8	1	Specialist in MS, though he also does general neurology. 		3	5	5 	Insurance:Unknown
9	1	Dr. Heath is very well educated, graduating head of her surgery class.  She is very patient, understanding and caring with her patients.  Her patients love her and she is highly recommended in the community.  One mark of a good doctor is how that doctor is regarded by other doctors, nurses and hospital employees.  Dr. Heath is highly respected by others in the medical field.  	5	5	5	5 	Insurance:Tricare
9	1	dr. health was perfect!!she diagonosed me and healed me and i thank her so much. on top of this she did every think she could to help me get threw this horrible issue and was never rude to me or anyone in my family.  she is a wonderful person and also a wonder docter!!!! 	5	5	5	5 	Insurance:United Healthcare
9	1	In my opinion, Dr. Gina Heath was honest, caring, and made me feel like it was very important that I get the best care possible, which I believe I received. I would recommend her to anyone. She has a wonderful bedside manner, listened to my problems and questions, was very reasonably priced, and made me feel that giving me the best care possible was her goal. I would give her and A+ rating... 		5	5	5 	Insurance:Unknown
10	1	. wonderful doctor! very knowledgeable - won't do unnecessary surgeries! 	5	4	5	5 	Insurance:Blue Cross / Blue Shield
10	0	 	4	4	5	1 	Insurance:Unknown
11	1	. knowledgeable,instrucions easy to understand, 	5	5	5	5 	Insurance:Oxford
11	-1	I agree, he cared more about his patients when he first started.  Now he can care less.  You can't get this guy on the phone.  You probably have a better chance of contacting the president of the U.S.  Your just a number in his book.  You call his office and can't get a straight answer from anyone.   He needs to make more time for his patients and call them back when they call. 	2	2	1	1 	Insurance:Unknown
11	1	. HE IS ALWAYS THERE FOR ME AND SAVED MY LIFE MORE THAN ONCE WHEN OTHERS REFUSED 	5	5	5	5 	Insurance:Medicare
