dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
2	1	commentsBest doctor I have seen so far. Excellent and compassionate 	5	5	5	5	Insurance:Unknown
2	-1	commentsAt the unprofessional treatment and attitude toward my family member. 	4	4	2	1	Insurance:Unknown
8	-1	commentsDr terry is not a people person. He doesnt care about how you feel. He just hops in and out of the room unconcerned. Not nice at all. He needs togo back to school to learn how to treat people. 	2	2	2	2	Insurance:Unknown
8	-1	 I was treated very bad at his office, from the rep. to him. Im guessing it was because i was oon workers comp. they underhanded and went behind my attorney's back and communicated with workers comp. I'm going to sue the pants and take the Dr. from Dr. terry.. When you swim with the sharks you will get eaten ha.Im taking this all the way to cnn and msnbc. For some reason these businesses in Mississippi think they can get away with a lot of things sorry the bus stops here...  	1	1	1	1	Insurance:Workers Comp
8	1	 Dr. Terry's staff was professional and helpful.  The doctor was also professional and did a good job managing my wound from an animal bite.  	4	3	4	4	Insurance:Blue Cross / Blue Shield
8	-1	 This person is rude, uninterested in his patients' problems &amp; pain, snobbish, and downright mean to the point that I do not trust him.  	2	3	1	2	Insurance:Blue Cross / Blue Shield
19	1	 my husband had vascular surgery, no complications, great care, explains well what to expect.  	5	4	5	5	Insurance:Medicare
19	1	 Office staff not knowledgeable about forms to be signed, one was a little unfriendly.  But Dr. Tartt was outstanding. We have utmost confidence in his knowledge and ability. Extremely professional and surgery was flawless.  	4	5	5	5	Insurance:Medicare
19	1	commentsany of the doctors in medical arts surgical group are excellent  they are all men with the point of view that it is about the patient and not the paper. 	5	2	5	5	Insurance:Unknown
33	1	 Great personality and more important she cares and provides excellent care.  	5	3	5	5	Insurance:Blue Cross / Blue Shield
33	1	 A Dr that had knowledge and actually listened and also gave informative information.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
38	1	comments 	1	1	4	4	Insurance:Unknown
42	-1	commentsNot very good. I feel he practices out of his scope 	1	2	1	1	Insurance:Unknown
46	1	commentsNo Dr. is perfect, they are human &amp; make mistakes too. However Dr. Taylor is the most thorough Dr. that I have ever been to &amp; I highly recommend her. 	5	4	5	5	Insurance:Unknown
46	-1	commentsThis doctor calls herself a lung specialist but almost killed my grandfather when she was trying to get a piece of tissue from his lung. We promptly had him sent to Birmingham where the specialist there promptly got the necessary tissue---it was cancer----he had surgery 2 days later and is doing great. I would not recommend this doctor to anyone I know as i and the rest of my family think she is NOT COMPETENT !!!! 	3	3	2	1	Insurance:Unknown
46	1	commentsSHE WAS VERY FRIENDLY AND ACTED LIKE SHE REALLY CONCERNED ABOUT YOUR CONDITION. WOULD RECOMMEND OVER THE OTHERS IN TOWN 	5	5	5	5	Insurance:Unknown
47	-1	commentsI had a TT and breat reduction.  My scare is terrible for the TT.  It is eneven, wide, and looks like it was done with a serated knife.  You can tell were my original belly button was.  HE IS TERRIBLE. 	5	3	1	1	Insurance:Unknown
47	-1	commentsContracture 10 weeks out. not enough stool softeners GI problems since. Year later colonoscopy and other procedures. I had to tell him to take them out and he spent little time examining me post op!! 	2	1	1	1	Insurance:Unknown
47	1	comments 	4	4	4	4	Insurance:Unknown
50	1	 This is a doctor who really cares about his patients, which is very rare today. He will also give you his full attention, so that you do not feel as though you have to spit everything out in five minutes...He will go out of his way to help you. A rare gem.  	4	4	5	5	Insurance:CIGNA
62	-1	comments:( 	1	1	1	1	Insurance:Unknown
63	1	 Very pleasant and polite. Will spend the time required with you. Wish all MD's were like her.  		4	5	5	Insurance:CIGNA
