dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
2	-1	commentsI completely agree ...Dr. Shannon Calvert is extremely rude and does not at all seem to care about her patients even though they are just children!!!  I have quit taking my children to her and have found a wonderful doctor that actually does care about their patients!  Please do not waste your time with this doctor!!! 	1	1	1	1	Insurance:Unknown
2	1	commentsI took my daughter to see Dr. Calvert for the first time last week.  My daughter is 7 and has a history of asthma.  Dr. Calvert seemed very interested in getting a detailed medical history of my child.  I didn't feel like the visit was at all rushed and she asked me to give her a follow up call to see how the medication she prescribed was working out.  She is a younger doctor with a bubbly personality.  My girls loved her. 	5	5	5	3	Insurance:Unknown
2	-1	 Dr. Calvert was very rude.  She didn't like it when I asked her questions and just recently she yelled at me because I told her I was uncomfortable grouping my sons shots togheter so closely.  She became very defensive and began to scream at me that I didn't know what I was talking about and she asked me at least five time if  I had gone to medical school so how should I know.  Shannon Calvert is very rude and she doesn't care about the patient she cares about the paycheck. She also messed up my sons circumcision and would take no responseibility for it she tryed to blame on me being a bad parent.  	1	1	1	1	Insurance:Medicaid / Medi-Cal
6	1	commentsTremendous fund of knowledge, compassionate and caring.  Good family doctor.  Excellent diagnostician. He helped me tremendously and listened carefully to my 87-year-old mother.  Diagnosed her cancer when others missed it.  Good doctor. 	5	5	5	5	Insurance:Unknown
6	1	commentsHe's such an amazing doctor!  He really cares about his patients. 	5	3	5	5	Insurance:Unknown
13	-1	commentsDid not like me asking questions, very condescending, he didn't even show up for my surgery sent his partner,never again 	1	2	1	2	Insurance:Unknown
18	1	 This office has the nicest staff I've encountered in a very long time!  They explained all the work I needed and broke it down along with my insurance so I knew exactly what I was looking at before I started.  Very professional and very honest people are what most offices lack.  Way to go Dr. Steve.  	5	5	5	5	Insurance:Humana
19	1	 A very good doctor, just very busy, witch is with all good doctors. Takes time to explain things not in long tech terms. Good bedside manners. I dont know how she keeps up with the hrs though, (being on call at the hospital). But even when her staff could not show up in a blisserd she still showed up and ran the whole show by herself. now that is dedication.  	3	5	5	5	Insurance:Blue Cross / Blue Shield
19	1	 Very willing to listen.  Quite knowledgeable.  Will send to another doctor if not something she can handle.  	5	5	5	5	Insurance:Medicare
45	1	commentsA great doctor and a truly great man. 	5	5	5	5	Insurance:Unknown
49	1	commentsDr. Call explained the procedure to me immediately upon entering the office and competently anesthetized me before extracting a tooth.  He followed up with a call to see how I was doing that evening and letme know I could call for any additional help needed.  The staff was very friendly and supportive.  The days of doctors spending unlimited amount of time with patient are gone since the days of managed health care.  As long as the dr. is competent and lets you know she/he is available for questions and help with post-procedure complications, I feel unhampered by unrealistic expectations. 	5	4	4	5	Insurance:Unknown
49	-1	commentsZero chair-side manner; over-booked; rushed; insensitive, and inept. 	3	1	1	1	Insurance:Unknown
49	1	commentsDr. Call is polite and explaines everything he is doing during the procedure. He also does a follow-up call to see how you are doing and to answer any questions you may have about your procedure. 	4	2	5	5	Insurance:Unknown
