dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
6	1	 Wow!!! Dr. Dale is wonderful!!!!  I have been lucky enough to be seen at this practice for the past year, and I will definitely continue. He set a detailed plan to follow, even works with the billing to ensure correct billing. His staff rocks, too!!  I will definitely continue to see him as my dentist. Nice, personable, and always worried that you are ok during whatever procedure is being performed.  Love them!! 	5	5	5	5	Insurance:Aetna
13	1	commentsRealy good Docter.He delivered 2 of my children and was my family Dr. for meny years. I highly recommend Dr. Dailey 	4	4	5	5	Insurance:Unknown
16	1	commentsDr. Damba is very thorough. I really appreciated the time she took to explain things. I did have to wait, but she did take time with my appointment. 	5	4	5	5	Insurance:Unknown
16	0	 Not all, but many of the staff are rude and inconsiderate. The doc is also rude. She thinks everything wrong is due to being over weight. I went in the last time with 3 injuries..she didn't even LOOK, just wrote scripts! Also she left on vacation without folowing through with my service. I had to wait 5 extra days to find out if I had cancer or not.  	1	1	2	3	Insurance:Anthem
17	-1	 Root canal in wrong tooth in December 2007 - then refused to see me to do the correct one without full payment in advance, after leaving me in pain thru January 08.                  Asked for a full copy of my dental records because he started insisting on full payment in advance.  I figured out by reading those dental records that he'd made at least one of my crowns for my teeth wrong (cost $750 each )because he wrote that in my chart which he thought I'd never see.                                     He NEVER re-made the crown correctly, I've been wearing the bad one for many months now.  Brought to his attenion he said, we all make mistakes, I just overlooked it. (How do you OVERLOOK re-measuring & ordering a crown you did wrong&#63;&#63;&#63;)                                  Billed my insurance wrong - then tried to collect from me. Did finally write that off due to his staff's error. (I paid my part in full) I'm going to Dr.  Messer now !!! USE GREAT CAUTION 	2	1	2	2	Insurance:Aetna
19	1	 It was a pleasure meeting you.   My husband was very pleased with the service received.  Good valueable information we both received was impressive.   THANKS 	5	5	5	5	Insurance:Blue Cross / Blue Shield
19	1	 5+ years of experience with this doctor. He is competent, engaged, and professional. I feel safe with him and almost always take his advice. I always bring a list of issues with me -- he listens all the way through and makes sure that everything on the list gets discussed. He does patient education as well as or better than any doctor that I've ever had. Although he works in a large clinic, his office staff is excellent. They follow up superbly on insurance issues, referrals, and prescriptions. I am glad to have him my medical team.  		4	5	5	Insurance:Coventry
31	1	 All my family comes here. I highly recommend Dr.  D 	5	5	5	5	Insurance:Delta Dental
31	-1	.  POOR KNOLEGE, UNPROFFESIONAL 	1	3	3	1	Insurance:Delta Dental
37	-1	 Has a very unprofessional approach towards his patient. Makes very inappropriate comments and doesn't seem to know how to treat effectively.  Would NOT recommend him to anyone! 	3	3	1	1	Insurance:Medicaid / Medi-CalPaid/Co-pay:$2
