dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Absolutely LOVE Dr. Forseter! We switched to him when I was 35 weeks pregnant because we weren't sure my other OB was going to support unmedicated birth. He is definitely quirky, but both my husband and I felt so comfortable with him. He was so supportive right from the start in helping me know that the decisions were mine to make. He would suggest options after I passed my due date (stripping the membrane) but never did I feel pressured to do anything. He was supportive during our birth experience and helped me acheive the natural, unmedicated birth that I wanted. But do make sure you know your stuff and prepare. He really respected the knowledge that we had and helped a lot! And he was very supportive after the birth as well.  I can't wait for number 2 so that we can go back to him again! 	5	5	5	5 	Insurance:Anthem
1	-1	 	1	4	1	1 	Insurance:Unknown
1	1	Dr. Forseter is AMAZING!! I cannot say enough wonderful things about him. He is compassionate, funny,  knowledgeable and really includes you in making decisions. When I was having a very slow and painful start to my labor he called me to discuss what I wanted to do. He supported my and my husbands decision and followed our lead. I have referred many friends to him and look forward to having him be a part of all my future pregnancies and women's health needs.  	5	4	5	5 	Insurance:United Healthcare
1	-1	I would not normally write but i searched a very long time for a good OB someone who would respect my want for a completely no meds birth. Forseter wasnt the most professional doctor but i was ok with that. We went through my birth plan many times and he confirmed he would follow it unless there was a medical reason to move from it. If that was the case he would speak with us and we could make a informed decision. When i went into labor he didnt follow my plan, we had to contact him after hours and he didnt seem to remember what my plan was nor did he care to listen. I finally ended up with a c section. My baby could have been delivered naturally but because i was not progressing they wanted her out. This is not a doctor to use if you want to have a natural no med birth. During our appointment after the birth he confirmed to me that the meds i ended up taking were not necessary. Plus he isnt very gentle when doing exams. Would never use him again or recommend him. Terrible Doctor. 	1	1	2	1 	Insurance:Unknown
1	0	*WARNING* We set up Dr. Forseter as a back up doctor as we were having a home birth. Upon his reviews he seemed very natural birth friendly.  Dr. Forseter told us to call him when we started labor. When we called he told us that he did not recognize who we were and that he was not going to be our back up. This was after 2 office visits and him telling us that we didn't need to see him any more unless we had concerns. He basically ditched us, alluded to us lying to him, and this occured at a very crucial moment during our labor. Horribly unprofessional and very erratic behavior. This is unacceptable. We don't doubt his knowledge or practice but those in this situation should be forewarned. We will not consider him as an option in the future.  	5	5	1	5 	Insurance:Aetna
1	1	Dr. Forseter is AMAZING! I can not express in enough words how helpful, attentive, respectful, encourage, honest, and caring he is. He has very good communication skills and people skills. He is very knowledgeable and goes above and beyond to be there for you. Thank you Dr. Forseter for caring for your patients and doing everything in your power to help them.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	1	I really did not want to see a male Dr but decided to give him a try because of all the good comments.  I am very glad I did because he was wonderful!  He was very informative on what was going on with my body &amp; ways he will be able to help with things.  It was only my first visit but so far so good.  The staff was very friendly also.  	 5/19/11	5	5	5	Insurance:Blue Cross / Blue Shield
1	1	As a doula, I recently attended an all natural birth that Dr Forseter attended. He was outstanding, supported their birth pan 100% and let this amazing woman do exactly what her body was designed to do. He is a doctor who puts his patients first and trusts the birthing process.  I only wished I could have used him to deliver my babies!! AMAZING!!!! 	5	5	5	5 	Insurance:Unknown
1	1	I can't say enough GREAT things about Dr. Forseter. I started seeing him when I became pregnant with my 6th child because I wanted some alternative birth options (water birth). We found that he was very supportive and flexible. When I ended up losing our baby due to Parvovirus B19, he was absolutely amazing - so compassionate, and gave us options that we didnt know we had, making us feel like we at least had a little control in an awful situation, and making it more bearable. When I had  complications and then infertility, he was very thorough and understanding. And when we finally conceived our beautiful Sophia, he was very understanding of all my fears and concerns (both real and imagined, lol), and was sooo patient and reassuring. When we had a few minor complications with Sophia's birth, I knew I was in the best possible hands and didn't worry (for once). With Dr. F I always feel that I am important - I'm so confident in him that I even take my teenage daughter to him! 	5	5	5	5 	Insurance:Unknown
1	1	Dr. Forseter and his staff are young, friendly and prompt.  His medical assitant is extremely sweet and compassionate.  She makes me feel like my issue is important every time I call.  The doctor is easy to get ahold of and is wonderful at sharing his knowledge and advice.  I reccommend this office to everyone. 	5	4	5	5 	Insurance:Unknown
