dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	a doctor that listens to you and actually cares. she will do the best she can for you. she has a wonderful bunch of ladies that work with her that are just as wonderful 	5	5	5	5 	Insurance:Unknown
2	1	my son has been a patient of Dr. Gottman for 8 years. The first three years of my son's life was spent at Dr. Gottman's office once a week. He had three surgeries, two bouts of phneumonia, 15 ear infections all before he was three! Dr. Gottman is compasionate, understanding and works very hard to ensure your understanding of the issue and lets you lead the way to the 'cure' for over all decision making and is open to hear your opion and concerns. I highly recommend Dr. Gottman AND his staff! The entire crew at their office is fantastic! 	4	5	4	4 	Insurance:Unknown
2	-1	Dr. Gottman was the on-call pediatrician when my wife was in labor. All of the staff attending to us knew that my wife had had Hepatitus B years ago and had completely cleared the disease. Two separate tests, years apart, established that she was not a chronic carrier of the Hepatitus B virus. But Dr. Gottman came in, just minutes before my wife was going to be wheeled in for an unplanned C-section, and told us that there was a 15% chance that the tests were wrong and that she actually did carry the virus. It scared us to death. I questioned him about it because we had done a LOT of research about this. He dismissed us--he was certain he was right. Well, he was flat-out WRONG. We visited the infectious disease expert and he assured us that there was zero chance of my wife passing Hep B to our child. Dr. Gottman's arrogance caused us a tremendous amount of grief--all of which was unnecessary if he had simply asked the expert (who was in the next building!) before assuming he was one. 	3	3	1	1 	Insurance:Unknown
3	1	Was able to diagnose the problem specifically based on a stress test! Caring and helpful..got my father-in-law the immediate care he needed. Highly recommend!! 	5	4	5	5 	Insurance:Unknown
3	1	Haven't had appointment yet.  Going 1/8/09 	4	4	5	5 	Insurance:AARP
4	1	Very helpful and friendly, much like the old school doctors who really care about their patients!  would Highly recommend 	5	5	5	5 	Insurance:Unknown
4	1	Wonderful doctor, takes the time to go over any and all questions and concerns, is one of the only ones that truly cares about the whole patient. 	5	5	5	5 	Insurance:Unknown
4	1	This Doctor made me feel comfortable as a patient. She was very professional, and concerned about my well being. 		5	5	5 	Insurance:Unknown
5	1	Dr. Gerbasi was wonderfull with our prenatal care and pediatric care of our kids.  He was well informed and a joy to visit.  Our entire family benefitted from his care of us! 	5	5	5	5 	Insurance:Unknown
5	1	I love This doctor he is the best! 	5	5	5	5 	Insurance:Unknown
6	1	Dr Griemann was so sympathic and empathic to our needs. Whatever she makes pay her more.. 	5	5	5	5 	Insurance:Unknown
7	1	 	5	5	5	5 	Insurance:Unknown
