dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	comments1-Dr. hankins was my boyfriend and my doctor for quite awhile.My boyfriend has serious issues and we both liked him alot I believe he is a great doctor and a great man.He spent time taking to you and made sure everything was understood..I miss him alot' Sherry Everett 507-514-3501 	5	5	5	5	Insurance:Unknown
1	-1	commentsdoctor is rude, ignored a written message from me entirely. 	4	2	2	2	Insurance:Unknown
1	1	 After being very sick for 9 years &amp; seeing many doctors, Dr. Hankins was the only one who found out what was wrong with me.  He was very kind and knowledgeable and NEVER made me feel like he didn't care.  He never humiliated me (like other doctor's have).  I owe him so much!  I did have to wait to see him but that is because he does take the time necessary to take a patient's history and listen to what needs to be said.  	5	2	5	5	Insurance:Blue Cross / Blue Shield
1	-1	 Very vague about results on scoping procedures.  After you go home, he has not made you feel that he has given you a full, complete picture.   Not satisfied with scope procedure, VERY painful! 	2	3	1	2	Insurance:HealthPartners
5	1	 Dr. Harris & his nursing staff are fantastic.  He doggedly pursued causes of and solutions to my infertility & pregnancy losses.  I have one wonderful son because of Dr. Harris' help.  He was always so supportive, understanding, knowledgeable, open to new ideas, and my cheerleader through two full term pregnancies.  I know I received world class care, monitoring and uncomparable compassion.  When we lost our daughter at full term, he was as devastated as we were yet he was there as our rock - so helpful, caring and concerned.  If there was any way he could have prevented her death, he would have.  I wholeheartedly and without reservation recommend Dr. Harris to anyone.  He's also a really funny guy, and a terrific general ob/gyn!  Before Dr. Harris, I used to dread gyn appointments, but somehow he makes them easy.  	5	1	5	4	Insurance:Blue Cross / Blue Shield
7	1	commentsDr. Harrer is an outstanding oncologist who treats his patients with caring and respect.  I highly recommend him. 	5	4	5	5	Insurance:Unknown
7	1	 Had Dr. Grant W. Harrer since l993 as my doctor in Great Falls, Montana. He is very efficient and knowledgeable.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
12	-1	 hand surgery in powell, wyoming.  carpal tunnel and metacarpal boss reduction.  Not warned of the instability and constant pain resulting from the boss.  It is not a commenly recommended surgery, I had no idea.  Seeing neurologist tomorrow and a different surgeon tues to see if we can fix it.  Does not want to hear about problems.   What is this about him getting kicked out of his office for drugs&#63; 	3	3	1	1	Insurance:Blue Cross / Blue Shield
12	-1	commentsTHE WORST...I ACCIDENTLY GAVE HIM THE WRONG RATING BEFORE. 	1	2	1	1	Insurance:Unknown
12	0	commentsTHIS DR. MESSED MY BACK UP TERRIBLY. NOW I LIVE WITH THE PAIN DAILY. HE PUT IN METAL FIXTURES THAT WERE DESIGNATED FOR ELBOWS AND KNEES, NOT BACKS. HE WAS RUDE AND INSULTING. TOOK AWAY MY PAIN PILLS AND YET WAS KICKED OUT OF HIS OFFICE FOR TAKING THEM HIMSELF! HE PUT ME IN THERAPY THAT WAS WAY BEYOND MY ABILITIES AT THE TIME. I WAS CRIPPLED UP FROM THAT AND HAD TO QUIT THE THERAPY. AFTER REALIZING THE CARE I WAS GETTING FROM HIM WAS NOT BENEFICIAL TO MY HEALTH, I CHANGED DR.'S. HE DOES NOT CARE. I WOULD NOT RECOMMEND HIM TO ANYONE WHO NEEDS SURGERY OF ANY KIND. 	1	2	5	1	Insurance:Unknown
25	1	 The best place I have ever been to.   Dr Hager is amazing and Tammy his Secretary is wonderful! 	5	5	5	5	Insurance:Blue Cross / Blue Shield
25	1	commentsAbsolutely the most honest and healing chiropractor I have ever visited.  THE BEST! Paid/Co-pay:$30	5	5	5	5	Insurance:Unknown
36	1	 He is very busy and therefore can only spend so much time on each patient, but he is very sweet and listens well.  	4	5	4	4	Insurance:Medicaid / Medi-Cal
43	1	commentsDr. Haller performed a modified neck dissection for removal of cancer in my left tonsil, roof of my mouth and tongue 8 years ago.  He did a beautiful, and effective, job.  He is one of the best, if not the best, head and neck surgeons.  Excellent bed side manner.  Takes the time you need. 	5	5	5	5	Insurance:Unknown
43	1	 Wonderful Dr., Wonderful Surgeon, very helpful, very knowledgeable. Talks to you, not down to you. would recommend him to anyone needing an ENT.  Calls me to check on me, helps me manage my condition, and is extrememly caring!  2 thumbs up, cant say enough good things about him! 	5	5	5	5	Insurance:Blue Cross / Blue Shield
