dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	A wonderful doctor. Dr Rutherford  helped my mother avoid an unnecessary foot surgery with shoe modifications and a specialized rehabilitation plan. My mother is now out of the wheelchair and able to walk with a cane.  Her cardiologist also noted that her cardiovascular health has improved since then. Dr Rutherford is the only foot doctor for our family.  	5	5	5	5 	Insurance:Medicare
1	1	Took away my pain and made my diabetic ulcers go away. He also made my nightime foot buring/ tigling go away without the use of drugs. Thank god, I'm no longer on neurontin! Dr Rutherford has been a godsend for me.  	5	5	5	5 	Insurance:Medicare
1	1	An intelligent and caring doctor. Dr Rutherford found ways to cure my foot pain that did not require the surgeries and medications that the other doctors insisted on as my only options. Now that I can now walk and exercise, I have lost 97 pounds and no longer need my Diabetes Medication. Thank god for Dr Rutherford.  Mrs.  M 	5	5	5	5 	Insurance:Medicare
2	-1	I saw Dr. Rodriguez for severe lower back pain.  He talked to me with eyes closed entire time.  Said it was probably temporary, maybe pulled muscle--didn't think MRI was necessary.  Prescribed pain pills and physical therapy.  After continued excruciating pain and continued visits with his P.A., I saw a neurologist who ordered MRI within 24 hours, diagnosed severe herniated L-4, L-5 disks and I had surgery within 5 days.  Dr. Rodriguez is the worst doctor I have ever seen and didn't seem to care--talked at me, not with me.  I never went back to him and won't in future. Also...I need my doctor to make eye contact. 	5	5	1	1 	Insurance:Unknown
2	-1	This doctor closes his eyes while speaking to you. I find this very odd behavior and would prefer being looked in the eyes. He was running late on my first appt and I wasn't even put in a regular room. He said he would absolutely &quot;cure&quot; my migraines. He didn't. In fact, my following appts were always with his asst and I felt like they really didn't care about me as a patient. They NEVER returned my phone calls to their office. I would NOT recommend him to anyone who has migraines.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
2	-1	I went to him for neck and lower back pain. He completely dismissed my complaints and told me to get a counselor.  Thanks to my internist who sent me to a pain specialist who gave me an X-ray & MRI. After being referred to a neurosurgeon, I was in surgery within 2 weeks due to a severely unstable neck. If I would have been in a minor car accident during the year gap without treatment, I could have been paralyzed. I believe he was extremely judgmental guessing it had to do with complaints about both my neck and lower back. Both areas were so bad that I ended up having surgery on both. Prior to seeing him, I didn't think that I had to justify and explain that the reason that both areas could be diseased  was that I was a national athlete during my youth. 	4	4	1	1 	Insurance:Unknown
3	0	I ended up switching Dr's because of the poor staff service!  The front desk area is RUDE and IMPATIENT.  Dr. Randall was OK..I was handed a lot of papers and they way he spoke to me was like I was an idiot. I'm glad I switched to someone different.  	1	3	3	2 	Insurance:Aetna
3	-1	This practice is unwilling to do anything other than their own vaccine schedule. If you don't want to follow it then find a different practice. There is no discussion or education on their practices just fliers that they hand out that contradict themselves and what the nurses tell you.  	2	4	1	1 	Insurance:United Healthcare
3	1	This doctor was the answer to our dreams, when our insurance was cut off, our daughters pediatrican no longer wanted to know her. This doctor stepped in, and made such a diference in the life of my baby. He sought out expert opinions of things he wasn't sure on, he sent my daughter to a urologist and correctly diagnosed my daughters problem. I will forever be greatful for his kind manor and his understanding when we weren't able to pay, he DOES care about his kids:) 		3	5	5 	Insurance:Unknown
4	-1	She is cold, unfeeling,doesn't listen,will throw you under a train to protect other doctors, even if they behave unethically or make mistakes, does unnecessary procedures. I had an accident in which I hurt my back, had bursitis in both hips, could barely walk or stand for months.  After being referred to her from the hospital, she refused to even look at my legs or back, I really needed x-rays, but she offers a colonoscopy and anti depressants for what felt like a broken back.  Very unapproachable 	5	5	1	2 	Insurance:Unknown
5	-1	I saw Dr. Rhoades for a second opinion to possibly change physicians. She was extremely harsh and judgmental. Her report contained incorrect conclusions, which were based on what seemed to be an uncaring and vindictive heart. Since she did not know me, I don’t understand her harsh and critical attitude unless it has to do with her nature. 	1	1	1	3 	Insurance:Unknown
6	1	. Listens well, speaks to your level, works with you for resolution 	5	5	5	5 	Insurance:United Healthcare
7	1	This is a brilliant doctor. Took the time to explain why he gave the treatment and what to expect from it.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
8	1	The best... 		4	5	5 	Insurance:Unknown
9	-1	Dr. Raiser operated on my mother.  At her post-op she complained of back pains and that she couldn't eat.  He released her.  Two weeks later she ended up in the E.R with blood clots and an infection.  She also complained repeatedly about problems with food getting stuck, he did not run any tests and dismissed her.  Thank heavens her primay physician took her seriously, ran the appropriate test and found a tumor.   YOU BE THE JUDGE.  	3	3	2	1 	Insurance:Aetna
9	-1	Don't let this man operate on you or a loved one ever.  	3	3	1	3 	Insurance:Medicare
10	1	I have been going to Kathy for about 4 years now and have never had any issues. She is very good at what she does, and is always willing to answer my qestions. I recently had heart problems, and she some how found what was wrong with me and after careful consultation, got me on a medicine regimen that has worked great. I am not sure if I would be okay today if it wasnt for her.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
10	-1	This practitioner does not listen, she takes great offense if you speak up and she refuses to seek other doctors advice.when I went to her she did not listen to my problem, but tried to send me off with antibiotics with out helping me get a better diagnose, or send me to another doctor. In fact she took great offense when I asked for a second opinion.I believe she needs to be watched closer at the community health center, I am worried patients are not getting the care they need or deserve because she refuses to listen to the patient. 	1	3	1	1 	Insurance:Unknown
11	1	She is truly amazing. After struggling with continues bleeding for four years countless docs to figure out what was wrong one appointment and she had it pinned as pcos. We did surgery then fertility treatments and I am now happy healthy and 5.4 months pregnant with a beautiful baby girl. I can't thank her enough for how kind and caring she has been. 	4	4	5	5 	Insurance:Unknown
11	1	Dr. Ross is the best doctor in the country.  She is caring and professional.  She has a great bedside manner and wants to do what's best for the patient.  She won't do surgery unless it's absolutely necessary (unlike some doctors who do surgery just to make more money).  The best thing about Dr. Ross---she listens!!! 	5	5	5	5 	Insurance:Unknown
12	1	I am so grateful to have been referred to Dr. Rosen. After 16 docs, I was finally able to get an accurate diagnosis and am on my way to recovery. Dr. Rosen is a very kind, compassionate and knowledgeable doc.  	5	4	5	5 	Insurance:Workers Comp
12	-1	Dr. Rosen shows little empathy.  During his divorce he aimed his anger at me. the entire time he was oogling at the nurse that accompanied me to my appointments. He lied about what treatments he would deliver.  Rosen is definetly a workers compensation doctor. I'm sure if you look at statistics for workers compensation he had lied and shown the employee as not as severe as actual  circumstances.  	1	1	1	1 	Insurance:Workers Comp
12	1	 	4	5	5	5 	Insurance:Unknown
13	1	This physician is one of the finest plastic surgeons on the West Coast!!! I am a dermatologist who has watched him work for many years and endorse him without reservation!!! 	5	5	5	5 	Insurance:Unknown
14	-1	I've been to this doctor twice in two years and I will not see him again, ever!  He is very rude and &quot;snobby&quot;.  I felt like I wasn't welcome to ask questions or comment on anything without being put down.  I mentioned that I still had a dark spot where he had removed a mole 1 year earlier &amp; he scoffed at me and said it's just pigment, you can't do anything about it.  Then while he was removing some moles on my back, he made degrading remarks about the tatoos on my back.  Aside from being treated like crap, he left large scars from my mole removal.  He cut out a lot of skin around each mole and left me with gaping holes in my skin, even a year later I have large divots.  I bleed through my bandaids and shirt later that day.  The scarring looks worse than the moles did, I shouldn't have let this guy touch me!  Not to mention, he charges about $300/mole to test them for cancer.  ANYTHING he takes off, even a simple red angioma, he sends to a lab &amp; charges you.  Good luck, hope this helps.  	3	3	1	3 	Insurance:Blue Cross / Blue Shield
14	1	Very pleased based on ten years service. 	5	5	5	5 	Insurance:Unknown
15	-1	I cannot speak to this doctor's ability to treat his patients, but I can speak to the manner in which he treats teachers, students, and principals in our local school district.  Dr. Reeves was recently donating his time to a local school recently for vision screening.  I think it's admirable that he was donating his time.  But in the process, he acted very unprofessional towards students, teachers, and principals.  If you don't want to be there, Dr. Reeves, then please don't make the process more painful for other professionals, and especially children.  I'm disgusted with they way they were treated. 	3	3	1	3 	Insurance:Unknown
15	1	What a great experience. He was wonderful with my children too (and they are pretty shy). He made helpfull suggestions and fit me in very comfortable contacts and some great glasses! And he had a very helpfull, nice staff. I would recommend him to everyone!! 		5	5	5 	Insurance:Unknown
16	1	highly recommended.  He listens to his patients and that is so important to getting great care 	5	4	5	5 	Insurance:Unknown
17	1	Excellent doctor.  Good personality as well, very caring.  Educates his patients well and always has time for you.   Could not ask for a better dermatologist! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
18	1	I have a phobia of needles, and so this procedure was a huge step for me. There staff was AWESOME! So helpful and made me feel like everything would be okay. The doctor was nice, and was informative. The ladies in the room held my hand and was talking to me the whole time while they did the gas and the iv. I have attempted to get this surgery done before, and it was an awful experience..DO NOT go to bernedett wilson in whitefish! Impersonal, and hateful! She is absolutely awful! She made me feel horrible about myself for not being able to control my phobia, Dr. Ronald and staff i recommend 100%!!! Thank you so much for a comforting experience! 	5	5	5	5 	Insurance:Unknown
18	1	Excellent! Seemed to really know what he was doing. I had six teeth surgically removed including two deeply impacted wisdom teeth. Recovery went very well, very little pain, no complications whatsoever! 		5	5	5 	Insurance:Unknown
19	-1	All root cannals had to be redone. Enough said. Terrible. 	2	1	1	1 	Insurance:Unknown
