dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	First appointment with him and he tells me, in front of my husband, that I was a &quot;trash can&quot; case and until something appeared, we don't know.  I had a few symptoms at this time.  He could not remember the one main illness that I did have and made up something else.  He does not perform any tests or blood work unless you specifically ask for something and even then you have to have a good reason.  Would not recommend, as I stayed with him for 2+ years.  	3	1	1	1 	Insurance:Blue Cross / Blue Shield
2	1	Dr. Andrews worked with my daughter from the time she was about 14 months old...without his help we would have been lost....and his staff was always there for us.  Thank you all so much...22 yrs ago I found you and all the answers i needed. 	5	3	5	5 	Insurance:Unknown
2	-1	Bad experiece, little care, no follow-up. No longer under the &quot;lack of care&quot; of this facility.... 	1	1	1	1 	Insurance:Unknown
2	-1	Unprofessional comments. Won't return calls. Very unhelpful.  	1	1	1	1 	Insurance:United Healthcare
3	1	I love Dr. Kathryn! Everyone in her office was so nice from the minute I walked in the door. I had been going to the same dentist for 22 years before I moved to Lincoln, so I had very high standards for SouthPointe Dental. I can confidently say that they met every single one. I was so pleased with the way I was treated.  	5	5	5	5 	Insurance:Aetna
3	1	Awesome Doctor! She is by far the best in Lincoln! If your thinking about becoming a patient, do it. I had a root canal done and I was so nervous.  She was so nice and made me feel very comfortable and before I knew it she said &quot;Okay, we are done!&quot; I was shocked! I did not feel a thing! I would recommend her to everyone! 	 10/10/11	5	5	5	Insurance:Blue Cross / Blue Shield
3	1	I was recommended to Dr. Kathryn by a friend and she is one of the best dentists that I've ever seen. She was so empathetic to me, a person who is scared to see the dentist. She carefully listens to you and takes the time to fully answer all questions. She has an excellent bedside manner and is always cheerful. The staff was also very helpful and friendly. It is a little scary to go to an appointment in a new office, but I felt very comfortable the minute I walked in. I would highly recommend Dr. Alderman to anyone.  	5	5	5	5 	Insurance:Aetna
3	-1	Would not schedule me with the dr. I requested. Dr Alderman carried on a personal conversation with assistant while working on me. When I complained they told me not to come back.  	1	1	1	1 	Insurance:United Healthcare
4	0	I do NOT recommend him.I have spoke to several other patients of his and they all say the same. They ended up getting infections from his procedures. I was sick for 8 months. He continued to lie to me over and over.  	3	3	3	3 	Insurance:HealthFirst
4	1	Nice guy, caring.  However, my neck lift was not very successful.  Starting saggin within one year. 	5	5	3	4 	Insurance:Unknown
4	1	I can't imagine having this procedure done with any other Dr. or nursing staff... I waited so long for this surgery and I am so happy with my results. Dr Atchison  and his staff are very professional and  very kind.  Best thing I have ever done for myself!!! I would recomend this Dr. to anyone who is seeking any type of plastic or reconstructive surgery.. Probably the best in the local area...  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	He does a fabulous job and his bedside manner is great! 	5	5	5	5 	Insurance:Unknown
5	1	 	5	4	5	5 	Insurance:Unknown
6	1	simply the best, fun office, friendly staff , good work on teeth , whats the problem here&#63; smile looks great! Dr aadams spent loads of time answering questions and helping me, he went out of his way, spent more time than most docs. 	5	5	5	5 	Insurance:Unknown
6	-1	 	1	1	1	1 	Insurance:Unknown
6	-1	Very Abusive to patients.  No ethics what so ever!! 	1	1	1	1 	Insurance:Unknown
7	1	Had this DR since 1998 and his PA Becky is awesome too. Very family friendly office and they always remember who you are. 	 12/1/11	5	5	5	Insurance:Unknown
