dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	0	Very arrogant doctor with poor bedside manor. Although we entered the ER we did not have what most would consider an emergency, but to new patents, anything that may hurt our son is an emergency to us. Dr. Christensen literally laughed in our faces after making a rude remark about why we were there.  Unbelievable! 	5	4	3	3 	Insurance:Blue Cross / Blue Shield
2	1	Excellent staff and nice office.  He reviewed my old records and explained the tests that he wanted to order.  Very satisfied.  	5	5	5	5 	Insurance:Coventry
2	-1	Very arrogant and unwilling to listen to patient.  Suffers from a God-complex and I feel he is trying to compensate for his small stature.  Only after being set straight by referring Dr. did he come back in the exam room and reiterate to us the exact same thing we had told him upon first consult.  His staff at the surgery center was late and unapologetic.  Avoid this 3rd class Doctor with a 3rd class education at all costs.  	1	5	2	2 	Insurance:Blue Cross / Blue Shield
3	1	Dr. Chaudhuri is an extemely fine doctor; knowledgeable, warm and friendly, and always willing to take time with you and carefully explain your condition, and what can or cannot be done.  He is the finest cardiologist I have ever met, and I have met quite a few during my heart disease history. 	5	5	5	5 	Insurance:Unknown
3	1	I love Dr Chaudiri.  He is so caring.  He and his staff always seem to keep me and my family first.  They answer all questions without making us feel like they are stupid question, and they answer in a way we can understand.  He, and his staff, seem to really care about you and your family.  Everyone in that office seem to know all about you and why your are there.  They are all so educated and yet they don't show the superiority of some people with that knowledge.  	5	5	5	5 	Insurance:Medicare
3	1	Dr. Chaudiri is one of the busiest doctors in Hastings.  He is part of Nebraska Heart Institute based in Lincoln.  Dr. Chaudiri is the best doctor we have ever had.  He is totally knowledgeable about cardiology, is kind, compassionate, and truly cares about his patients.  He always remembers our particular personal histories, inquires about our families, etc.  But most of all, he is extremely skilled in cardiology.  I am sure he could practice in any city he wished, and we are so grateful he has chosen to remain in Hastings.  He has so many patients in this area, and I have never heard one negative word about him.  Bravo for Dr. Chaudiri! 	5	4	5	5 	Insurance:Unknown
4	1	I have been to this Dr. many many times over a 6 yr. period. She has helped me a lot with injections for pain in neck and lower back.  However, she is very expensive.  She charged $447 for an office call and did nothing more than talk to me and check my reflexes.  Another Dr. of mine stated that she operates just above the ethical line.  I would not recommend her.  	5	3	5	5 	Insurance:Blue Cross / Blue Shield
4	1	Seemed very hurried. Was very compassionate at first, but then inpatient when I tried to extrapolate on my condition. Ultimately, however, cured my problem. 		4	4	5 	Insurance:Unknown
4	1	Excellent doctor. Her skill relieved me from months of neck pain and disability. If she had failed, I would have been forced to have spine surgery. She met with my husband and me in advance and was very kind and informative.  		3	5	5 	Insurance:Blue Cross / Blue Shield
4	-1	Rudest doctor in Omaha. Don't bother making an appointment. 		3	1	1 	Insurance:Unknown
5	-1	Cheloha is an OK doctor if you're healthy.  Once something goes wrong, he's completely ineffective.  Doesn't listen, poor standard of practice--our vet follows up more than this guy does. If you need anything more than a routine check-up, find a doctor who cares more about patient care and less about keeping his &quot;wife&quot; supplied with polo horses. 	1	1	1	1 	Insurance:Unknown
5	1	Dr. Cheloha is very well respected with a lot of knowledge and great attitude about life.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	A knowledgeable, and un-hurried physician.  He takes the time to listen to your opinion and respects your knowledge as a patient.  	5	5	5	4 	Insurance:CIGNA
5	1	 	5	5	5	5 	Insurance:Unknown
6	1	He took his time with my son and addressed all of my questions and concerns. Has wonderful patient skills and interacted well with the pediatric population. Office staff was also very helpful and outgoing. 	5	5	5	5 	Insurance:Unknown
6	1	Dr. Columbo did my sons surgery back in 06 and made sure we understood everything that was going on.  My son was just released from the hospital again and will be having another surgery in 4 to 6 weeks, I am thankful that he will have the same Dr..   Very caring man! 	5	4	5	5 	Insurance:Medicaid / Medi-Cal
6	1	Dr. John Colombo is a Pediatric Pulmonologist, and has given excellent, compassionate care to my grandchild.  He is a caring, dedicated professional who is ethical, honest, and trustworthy.  When you have a really sick child, this is exactly the kind of person you want on your side.  Forever thankful to Dr.  Colombo 	5	5	5	5 	Insurance:Medicare
7	1	Wonderful doctor.  Really listens and takes his time with you.  Never acts like he's in a hurry.  Usually behind schedule, but agree that its because he takes his time with each patient, never rushing you out the door.  My little girls also really like him and look forward to their visits with the doctor.  	4	4	5	5 	Insurance:Coventry
7	1	They are very kind and friendly. Usually behind schedule due to taking extra time with siblings or answering additional questions.  Has late office hours and will call back regardless of the time of night.   Excellent nursing staff as well!!!!! 	5	3	5	5 	Insurance:Coventry
8	1	Excellent Surgeon. Actually cares about his patients.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
9	1	Excellent physician 	5	5	5	5 	Insurance:Unknown
10	-1	May be his nurse should put ice on more than his knee. He thinks he is a big time doctor. He needs to quit treating things he knows nothing about. He was treating me for Crohn's and I didn't even have it. He tried treating for c-diff and made it worse.  	2	2	1	1 	Insurance:Blue Cross / Blue Shield
11	-1	 	1	1	1	1 	Insurance:Unknown
12	-1	This Chiropractor treated me for over a year without knowing I had 2 cracked vertabre due to the fact his x-ray equipment produced such bad images he couldn't see the damage. I found out about the breaks after pain in my back became so bad I had to seek medical attention. 	3	3	1	1 	Insurance:Unknown
13	-1	Had her extract a tooth at vinton st. dental. Hurt like hell cause she didn't use enough anisthesia. Post op she gave me extra strength tylenol. No script. Got home and found pieces of my tooth still hanging on the gum. Finally couldn't take the pain anymore and called for a script, which they called in 15 Tylenol 3s. If she understood what kind of pain she causes,  she might be better post op with patients. This is the first time I let her work on my teeth. But not my first trip to Vinton st. Dental. 	4	3	1	2 	Insurance:Unknown
14	1	He has been very caring and follows up on my progress. 	4	5	5	5 	Insurance:Unknown
15	1	Caring and Dedicated 	5	4	5	5 	Insurance:Unknown
16	-1	This guy is more like a cartoon character than a Dr. I had orthodics made beecause he &quot;swore&quot; this would make my aching feet 100% better. I'm thinking a little pocket money for the Doc. My feet are no better. Very unprofessional staff, act like Jr high kids 	2	3	3	1 	Insurance:United Healthcare
16	-1	I had a pinch in between my toes. His recommendation is to quit playing sports. He also gave me an injection or as he calls it &quot;juice&quot; that just made the problem worse an billed my insurance company $471.00 for the injection! I went to another podiatrist that recommended less invasive methods and actually listened to me. Your time and money is better spent somewhere else.  	3	3	1	1 	Insurance:United Healthcare
17	-1	One of the worst MDs out there - Knowledge base is poor at best.  He has not kept up with the changing medical profession since he was board certified in the middle 70s.  DO NOT GO TO THIS NEUROLOGIST.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
17	1	 	5	5	5	5 	Insurance:Unknown
18	-1	Tend to get unclear answers and more questions after follow ups. Still a bit early after only 2 follow ups but as of now this is where I'm at.  	2	2	1	1 	Insurance:Workers Comp
18	-1	Rhis doctor, has no empathy, doesn't listen, and doesn't offer and help 	1	1	1	1 	Insurance:Unknown
18	-1	This doctor has no empathy and a terrible bed side manner.   Very dismissive and does not remember his patients 	3	1	1	2 	Insurance:Blue Cross / Blue Shield
