dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	I absolutely would not recommend to anyone! For those that do go please ask questions, ask to go over all your test results with explanation from doctors and demand on the spot answers. Always leave with your test results at each visit, and occassionally examine your records for accuracy. Very painful experience I lived through.  	1	1	1	1 	Insurance:Blue Cross / Blue Shield
1	1	 	2	2	4	4 	Insurance:Unknown
2	1	He was very helpful with my pain. I felt like he really cared about my problem.  	4	4	5	5 	Insurance:Medicare
2	-1	Not very interested in why I was there.  I had broken bones in my foot and was in severe pain.  He told me I needed inserts, which caused EXTREME pain. I had to BEG for pain killer meds.  He never did find broken bones in my foot but FINALLY, his Physician Assistant found them.  I was so grateful to her for actually trying to get to the reason for all my pain.  However, I never went back to this office because I didn't want to see him again.  	5	3	1	1 	Insurance:United Healthcare
2	0	Just didn't seem to care about the client. Felt like just a number not a person.  	3	2	2	3 	Insurance:United Healthcare
3	1	After trying several other Rheumatologists, I found Dr. Doud very knowledgeable and willing to subscribe new drugs that may not be typical for my type of arthritis when the mainstream rx do not help.  She has been successful in reducing my inflamation and pain.  She spends a great deal of time during the visit and listens more than any other doctor.  	5	5	5	5 	Insurance:Medicare
3	-1	she absolutely awful. DOES NOT LISTEN TO what you are telling you. Its like you tell her something hurts.. and she just blows it off with..&quot;well thats not a side effect so keep taking it&quot; RA is so painful and she needs to update her knowledge so much. All she does is cover up pain with more and more medicine that doesnt even actually work. 3 years with RA and i still am looking for something that works with her.. what a joke.  	1	1	1	2 	Insurance:Aetna
3	1	 	5	5	5	5 	Insurance:Unknown
4	1	Very helpful staff. The Doctor was also really good! I would give 5 out 5 in everything.  	5	5	5	5 	Insurance:United Healthcare
5	1	This dr was very professional and was able to help me when other couldn't.  	5	5	5	5 	Insurance:Medicare
5	1	Dr. DeBates is an excellent doctor and I would recommend to anyone looking for a dermatologist.  He was very kind, concerning and thorough.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
6	0	 	5	5	3	2 	Insurance:Unknown
7	1	Just really cares.  Really gets it.  Feels your pain. 	5	4	5	5 	Insurance:Unknown
8	1	Dr. DeRoin is totally a awesome doctor!  He is a very knowledgeable and caring doctor and if he doesn't no what is wrong with his patient, he doens't hesitate to call in a specialist immediately! He is a truely people person doctor and can talk to his patients about anything that is going on in their lives and he is a very good listener, also!  I highly recommend him to anyone! Dr.  DeRoin, our family thinks your the best doctor in NE, please doen't thing about retirering in the near future, you totally ROCK! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
8	1	Excellent Physician with very good knowledge. Dr DeRoin is a people person who treats the patient as he would like to be treated. 	5	4	5	5 	Insurance:Unknown
8	1	Helpful, friendly & knowledgable doctor & staff.  Takes time to talk through symptoms & possible diagnosis with patients. Willing to try different treatments if usual prescriptions fail to work. Willing to research questions/medical situations instead of dismissing questions or just sending you off to a specialist immediately. All around great family doc for young, middle aged & elderly.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
9	1	Dr. Desai is very polite, very professional and very good.  We have taken all three of our children to her and we have always been impressed with her knowledge and helpfulness.  I would absolutely recommend Dr. Desai.  We love her staff, they are very friendly and kind.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
9	0	payments are more for regular visits.she is good at work.  	4	4	3	2 	Insurance:Blue Cross / Blue Shield
9	1	She is a great Dr. Unfortunately her staff is terrible.  They're nice, but they have misread test results, given us wrong medication dosing instructions, forgot to call in prescriptions, making errors calling in prescriptions etc.  There could have been serious consequences if we weren't constantly second guessing the nurses and thank god have a good pharmacist.  Seems like there is little to no communication within the office.  To the point that I don't feel safe sending my child there, sorry to say.  	1	5	4	4 	Insurance:United Healthcare
