dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Very helpful and listens. 		5	5	5 	Insurance:Unknown
1	1	takes all the time you need at every visit.very personable and i wish we could spread him across the country for all to have a physician like this one !He is very knowledgeable and likeable (a rare find) 		4	5	5 	Insurance:Unknown
2	1	. Friendly, caring and professional 	4	4	5	5 	Insurance:Blue Cross / Blue Shield
3	1	I was given metaformin but3years later I'm still not able 2get pregnant.I think god is good and he will help me later on though. 	5	5	5	5 	Insurance:Unknown
3	-1	He diagnosed me wrong, TWICE.  He also neglected to use gloves!  He uses old technology and methods and seems very opposed to change.  During a painful proceedure he told me if I scream he was leaving...Clenching my teeth with tears running down my face...I said that would be fine with me!  He also has a tendancey to keep high risk patients too long...and more than one ambulance ride has been caused by this!  Do NOT go to him.  	1	5	1	1 	Insurance:Blue Cross / Blue Shield
3	-1	Very crass, uncaring doctor.  He did an outpatient surgery on me, which ended up with me in the hospital for two days.  I had the same surgery done in Omaha, and was back to work the next day.  Do NOT go to him! 	3	3	1	1 	Insurance:Unknown
3	1	Dr. Johnson IS the best in this area. Concern for your baby is his top priority throughout your pregnancy and during delivery. He was always on time for office visits. I trust his decisions 100%. 		5	5	5 	Insurance:Unknown
3	1	Dr. Johnson is the best in the area. I would (and have) trust him with my life. I try to tell people that what matters is a healthy baby not how personable your doctor is. He tells it like it is. Other area providers have had horrific outcomes with their deliveries but Dr. Johnson will do whatever needs to be done to ensure a healthy mom and baby.  		5	5	5 	Insurance:Blue Cross / Blue Shield
3	-1	Punctuality ok.He is very old-school-performing routine episiotomy,enema,shave. Most patients have inductions for his convienience and alot end up c-sections b/c of 'failed inductions'. I had a miserable birth experience with my first child and switched to a different dr 4 months into my second pregnancy b/c of dr.Johnson's refusal to discuss the risks involved with the medication he used to induce my previous delivery. I was not wild about him but he is very good at his job. Since he has been the only OB in this area for some years, he does things his way and you'd better not question him. If you are having a scheduled c-section anyway, he's great but not ideal for a good vaginal delivery if you want to go natural and have an easy time. Thanks for reading! Hope it helps you make your choice.  		3	2	2 	Insurance:Medicaid / Medi-Cal
3	1	PLEASE don't let people scare you away from Dr. Johnson--he can be harsh and a bit grumpy at times, but only when he is concerned for the wellbeing of you and your baby--he is the BEST in the area, and you don't want ANYONE else delivering your baby if you're in Columbus--and if there are problems during delivery at CCH, he's who they call anyway. His bedside manner is less than ideal some times, which I hope he works to improve, but medically, there is no comparison in the area for delivering babies. He is Columbus's expert on delivering babies, and he knows exactly what to do in every situation and will do what's best for you and baby. He delivered my first daughter and had we not moved away, he'd be delivering my second for sure! 		4	5	5 	Insurance:Unknown
4	1	This is a great dentist. He is amazing with kids always very helpful. He is  kind and everything you'd want a children's dentist to be. He is just a great dentist and a great person all around. 	5	5	5	5 	Insurance:Unknown
5	-1	His surgical skills seemed less than adequate.  I would not recommend him.  	4	3	1	2 	Insurance:Blue Cross / Blue Shield
