dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	This is a wonderful place, and the people are amazing. I'm 20 years old, and they found the solution to health problems I had been struggling with for years...they found my problem and solved it in tow months flat! Dr. Keefe and the Pope Paul VI Institute saved my fertility! ...though certain insurance companies refuse to consider them more than a fertility center, and refuse to cover certain things, I still highly recommend this pace... there no other one like it! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	1	Do not go to Pope Paul if you have male factor infertility or unexplained.  They will run a gamut of tests that aren't necessary and will perform lap surgery when not needed.  Unless you have endometriosis, ovulation disfunction or miscarriages, this clinic can not help. 	4	3	3	5 	Insurance:Unknown
2	1	He is willing to go above and beyond to help get to the bottom of your health problems.  I am SO lucky I found Dr.  Kanar! 	4	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	Dr.  Kanar is like a long-last friend from the first time you meet him and make your life better from his extremely great bedside manner 		5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	She alieved numbness I had  for years that I was told I would have to live with by doctors. She adjusted my sinuses, I did not have to take anything for my allergies July-Dec when I got a cold.  She talks to you as  person not a number.  I would recomend her whole heartedly.   Sandy N 	4	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	Dr. Kinney treated me and my opinions (I am childfree) with respect.  Gave me several treatment options.  Would recommend her and go back to see her.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	Very good. Supposedly he is one of the leaders in the field. I would go to him even if I lived in Russia (some people in Russia do make the trip to see him.) Extremely knowledgeable, friendly, and experienced.  	5	5	5	5 	Insurance:Coventry
5	-1	this doctor is very poor if he has a patient that is a little overweight he will tell them that that they are fat and that they need to lose a ton of weight this man is unethical in his practices and he is untruthful to his patients.  he will tell them what he thinks in his mind with no thought to the patient.  	1	1	1	1 	Insurance:Medicaid / Medi-Cal
5	1	I would never change him as a Doctor. I have even moved away but I will make the drive to come back when needed.  I am not rich and he has never been disrespectful to me or my family. Waiting takes a little time but it is worth his experience and expertise.  He does not mutter he is a little hard to understand because of his accent. 	5	1	5	5 	Insurance:Unknown
5	1	I know this doctor personally. He is fully dedicated, highly experienced and a very sincere, friendly person. Go see him and you will be in awe of his service to you. 		5	5	5 	Insurance:Unknown
5	1	I am VERY happy with Dr. Khan. I don't feel a patient's income has any bearing on the level of care he gives. He is very knowledgeable and caring. Explained details of my surgery very well.  I would most highly recommend him!! 		3	5	5 	Insurance:Blue Cross / Blue Shield
5	-1	Dr. Khan is an absolute jerk. I went to see him and I realized all the comments are convincing. Yep, plays favorites. And keeps muttering. The people at the reception desk are very insensitive. I went to another doctor and was quiet pleased with the service. Avoid this doctor at all cost. You will come out feeling very low unless you are a rich client. 		1	1	1 	Insurance:Unknown
5	-1	I agree with the previous comment. At first, he will seem like a nice person but once you are his patient, he will treat you indifferently. If you are rich, you will get the respect. Everyone else are nothing. There are lots of otehr doctors, a lot better than him. 		2	1	1 	Insurance:Unknown
5	1	Dr. Khan has an outstanding knowledge and regard for his patients. 		4	4	5 	Insurance:Unknown
6	-1	Good doctor terrible staff. Over a two week timeframe I've made 3 specific requests for paperwork, still have not received what I need and now after the 3rd request the doctor is not in the office. If my request had been handled correctly the first time, or heck even the second time, I would not be delayed another day with Dr. Keim out of the office. I like the doctor but her staff can not or will not process your requests accuratly or timely. The MOST frustrating service I have gotten from anyone you can't even call it service because they do not help. Again I reccomend the doctor, too bad you have to deal primarily with the staff. 	1	1	1	3 	Insurance:Unknown
6	1	Dr. Keim is very helpful, patient and listens well. I have not found this to be true of the staff or some of the nurses in her office. But she's worth the hassle. 	2	4	5	5 	Insurance:Unknown
7	1	If it weren't for Dr.Kettlehut I would still be going every month to the Cancer Center to get monthly IVIG and suffering with the horrible side effects. Because of Dr. KETTLEHUT I now infuse IGG subqutaniously every week in the comfort of my home with much less severe side effects! Dr. Kettlehut has made my life with chronc illness so much more barable.  Thanks a million for all you do! 	3	4	5	5 	Insurance:Blue Cross / Blue Shield
7	-1	maid what i thought was to many apoitments that cost to much. I would have to pay for a number of visits just to have him send me somewhere else to have a test done and pay for that visit. Not happy with my results ended up seeking help somewhere else. 	5	4	1	2 	Insurance:Unknown
7	-1	Unprofessional comments to patient not related to reason for visit. 	2	2	1	1 	Insurance:Unknown
7	1	 	5	5	5	5 	Insurance:Unknown
8	1	I've been going to Dr. Kirke since he opened his origial office.  He's always been great.  I did go to another dentist once that was highly recommneded to me, but went back to Dr. Kirke after one visit.  He &amp; his staff are very nice and easy going.  He has a life long customer with me.  	5	5	5	5 	Insurance:Delta Dental
8	1	I've been seeing Dr. Kirke now for a couple of years. He has a first rate facility and the latest in equipment.  The staff is always friendly, competent, and efficient.  Dr. Kirke listens and answers any questions without being rushed.  I've had several crowns done or re-done by he and his staff.  Great job on the crowns.  Teri always does my cleanings and she doesn't cause any pain, is always upbeat, and likes to chat.  The front desk is friendly and efficient.  Cinda is always helpful.  My appointments are always right on time.  No waiting.  	5	5	5	5 	Insurance:United Healthcare
8	1	The doctor was amazing!!!! Everyone at the office, particularly the girls up front, were a tremendous help and very knowlegable. The patients seemed to be of all ages and were handled in the appropriate manner. Office was very timely... 	5	5	5	5 	Insurance:Unknown
8	1	I don't think hes arrogant Confident maybe Made me a real nice set of dentures and had good service.  love hes staff also Real nice girls 	5	5	5	5 	Insurance:Coventry
8	0	He is very arrogant. I thought he treated his staff terribly. He hardly take any time to talk to you. If I have something wrong - he definitely didn't look long enough to notice. 		3	3	2 	Insurance:Unknown
8	1	My kids even love going to the dentist. He is very friendly, professional and gets the job done right the first time. His staff is awesome! 		5	5	5 	Insurance:Unknown
9	1	One of the friendliest doctors I've ever visited.  He really spent time getting to know me and my needs.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
10	-1	He rolled his eyes at me too, and told me my problems were psychological. When I got to Mayo Clinic I was correctly diagnosed.  I wasted three years and a lot of money trying to get correctly diagnosed in Nebraska. The only reason I'm back to work now is because of the neurologist at Mayo.  My experience with Kniss was the most humiliating of my life. 	3	2	1	1 	Insurance:Unknown
10	-1	Dr was very rude. Rolled his eyes at me several times. Acted offended when i spoke. Offered me little to to no hope and blamed my diagnosis on genetics. Put me on a medication i've already tried. Needless too say, i wouldnt recommend him due to his unproffesional demeanor to me. I am not paying someone big bucks who rolls his eyes at me and only gives me a 20 minute initial visit. 	4	5	1	2 	Insurance:Unknown
