dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
23	1	 My family and I have been seeinf Dr. Odorisio since we moved to Omaha 23 years ago! He is the best. he is great with kids and the nurses are great and personable.  	5	5	5	5	Insurance:Medicaid / Medi-CalPaid/Co-pay:N/A
29	1	commentsDr. Oakes is WONDERFUL!!! I love absolutely everything about her! 	5	5	5	5	Insurance:Unknown
29	1	 We have worked with Dr. Oakes for the majority of the year and we did finally get pregnant. So we did have a chance to get to know her and her staff. Dr. Oakes is the best thing about the office. She is kind and may not be forthright with info. But if you ask het specific questions she is. Her staff was a completely different story. They were unbelievably rude and treated any questions or concerns we had as stupid and a bother. The secretary is even rude! If it wasn't for Dr. Oakes we definitely would have not lasted there as long as we did. The nurses and ultrasound tech do not tell you anything and seem irritated when you ask. Considering we spent tens of thousands of dollars there and were respectful to them, we thought we deserved to be treated in a kind manner. Besides Dr. Oakes, I think the staff takes their cue on how to act from Dr. Maud Doughtery.  She is as rude as they come! 	1	4	4	4	Insurance:United HealthcarePaid/Co-pay:N/A
29	1	 We are currently working with Dr. Oakes and hopefully will conceive soon. She and her staff have been very helpful and understanding of the emotional roller coaster we have been on during the fertility treatments.  	5	5	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
29	1	 We met with Dr. Oakes after suffering two miscarriages, being told by our OB to consider adoption, and two specialists that we needed to move straight to IVF.  Dr. Oakes spent so much time with me in my initial appointment - I really felt like she wanted to help us start our family.  She listened to all of our concerns and immediately took action to help us.  I cannot say enough good things about Dr. Oakes, Maud, or the staff - the nurses are amazing!  When you are going through fertility treatments, you spend A LOT of time getting poked and prodded.  The nurses are so great at keeping you positive.  One of the best things about the office is how responsive they are to questions and how quickly they call with results - always same day and usually within 2-3 hours, if not sooner.  I always felt like they truly cared about us as a couple, and not just patients.  And, thanks to Dr. Oakes and her staff, we are now in our second trimester - without IVF.   Cannot recommend enough! 	5	5	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$2000
45	1	 Probably an excellant physician but over the last couple of years seems to have less and less time.  Difficult to see on short notice when service is needed.  Staff can be slow in returning calls to unresponsive.  Except during  office visits, all contact is strictly through his staff.  	2	2	4	4	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
45	1	 Attentive and caring; seems to try to listen to ALL of my concerns, even when I can tell he's very busy.  	4	4	5	5	Insurance:N/APaid/Co-pay:$55
45	-1	commentsdidnot ansewer questions put to him 		2	1	1	Insurance:Unknown
51	1	 Dr.  Osborn is respectful and is the only Dr that has ever been able to relieve my back pain 	5	5	5	5	Insurance:Medicaid / Medi-CalPaid/Co-pay:N/A
51	1	commentsHe is very knowledgeable and practical.  He does not pretend that he can fix everything with chiropractic care.  He has a lot of energy and cares about his patients well being.  If I have a wait, it is usually only a few minutes. 	5	4	5	5	Insurance:Unknown
