dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	Very arrogant.  He does not take responsibility for errors made under his care. 	3	3	1	1 	Insurance:Unknown
2	1	Dr Walsh is always very friendly & knowledgable.  She takes the extra time to make sure our children are okay.  The staff there is great as well.  We have never had any trouble getting an appointment.  	4	4	5	5 	Insurance:Aetna
3	-1	 	1	1	1	1 	Insurance:Unknown
4	1	Dr. Weitzmann is the best dr i have ever had.  he's very kind and compassionate.  he has gone beyond his call of duty to find out what's wrong with me. i have never had a dr so determined before, it's refreshing.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
5	1	Dr. Whitcomb is very knowledgeable, she is always great with my baby girl. Allowed us all the time we need for questions was not rushed and genuinely cares for children. I could not ask for more in a Physician.  	5	5	5	5 	Insurance:Coventry
5	1	Dr. Whitcomb is not only a great doctor, but a mother as well & really knew what I felt as a new mother. She made me feel at ease and confident with what I was doing for my daughter. She never made me feel rushed, I could ask her all the questions I liked. Dr. Whitcomb treated my baby wonderfully. She is a fantastic pediatrician and I would recommend her to anyone & everyone. We had to move to another state and leaving Dr. Whitcomb was one of the saddest things for me.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	Dr. Whitcomb is so awesome.  I have 4 kids; she has 5 -- so she COMPLETELY understands me as a mom.  She always takes time to really get to whatever the issue is.  She's also more than willing to take a look at another family member; other than the one with the appointment.   She is GREAT!!! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
6	1	Dr. White is an excellent surgeon.  I left the hospital after four days not even on tylenol.  He is very busy because he is very good.  If you ask a question you will get an answer.  The staff is great!  I am sorry some on here have not rated him very highly, but if they have an issue they need to address it with him or his staff.  I would recommend him to family or friends he is that good.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
6	1	Dr.White is a skilled surgeon. He has been doing Bariatric surgery for over 10 years.  He is one of the best laproscopic surgeons in the Midwest. He has a wonderful bariatric staff that is always available to help and guide. Dr.White's knowledge is outstanding, anyone who has him do their surgery is in good ha 	4	4	5	5 	Insurance:Unknown
6	1	Dr wHITE IS KNOWLEDGABLE BUT IN WAY TO MUCH OF A HURRY. Before surgury there was supposed to be all this follow up-but there was none. Also when I have a question-if he does address it he does it real fast and pushes you out the door. I realize hes busy making money-but I cashed in my only retirement fund to pay for this and now my port flipped. I asked Dr White today why my lower stomach felt full but my upper body was hungury. No real answer. He needs to slow down and answer our questions and at least act like he cares-not just running after the next big paycheck. We are important to us and it would be nice to get our questions answered and our concerns taken care of with out feeling like were on some adrenilane rushed roller coaster. 	3	3	3	5 	Insurance:Unknown
6	0	. They only give attention before surgery after that everybody forgets about you!!!!!!!!! 	1	2	2	4 	Insurance:Blue Cross / Blue Shield
6	1	Dr. White is very caring when it comes to his patients.  Dr.White has performed hundreds of surgeries, he is an expert when it comes to laproscopic surgery.  I think if anyone had an issue with the staff needs to tell Dr.White, he would want to know. Dr.White comes highly recommended by his peers and from former patients. 	4	4	5	5 	Insurance:Unknown
6	1	I have seen bad things said about the staff.  I guess I haven't had that problem.  Dr. White is awesome, smart, personable and precise.  Someone was complaining about getting nutrition advise&#63;  That is what Roxy does not the staff at Dr. Whites office.  I have never had a problem with any of them.  Now, when you go for a fill, make sure you have an hour to spare because there is usually quite a few people with you and you all have to wait your turn.  I have been dealing with Dr. White, Roxy and all staff for 4 years now and love the experience I have had!!!  My surgery went great, recovery was quick.  Now, I have lost 104 lbs and no, it wasn't easy....changing my diet and lifestyle habits.  I am still working on some of this, but I have not regrets what-so-ever!  I picked Dr. White after attending sessions with 3 other doctors.  He made me feel comfortable, and enthusiastic about going through my very first surgery!!  Thanks Dr.  White, Roxy and Staff!! 	5	5	5	5 	Insurance:United Healthcare
6	-1	oFFICE STAFF RUDE AND NOT HELPFUL AT ALL, NO FOLLOW UP WITH PATIENT, CALLED OFFICE NUMEROUS TIMES FOR HELP WITH DIET, ETC.  AFTER SURGERY--PERFORMED SURGERY ON PATIENT AND THEN FORGOT THE PATIENT, SAID FAMILY DOCTOR SHOULD TAKE OVER, NO BEDSIDE MANNOR 	1	1	1	1 	Insurance:Blue Cross / Blue Shield
6	0	Very helpful prior to surgery, but after you can not get messages to Dr or get anyone to call you back.  Seems like Dr and Staff could care less on follow ups.  	1	2	1	4 	Insurance:Workers Comp
7	1	He was my pediatrician when I was young and now that I have a family of my own and he takes my insurance company I go back to him.  Best Doctor I have been to.  He takes great care of my daughter and has gotten my wife off of depression meds that had nasty side effects.  He is not afraid to tell he he doesn't know the answer and he is very quick to find if for you.  Like other reviews take a book, magazine or game. He is very worth the wait.  His patients are even friendly towards each other one gentleman offered to trade us time slots so my daughter could get seen quicker.  	5	3	5	5 	Insurance:CIGNA
7	1	i was very impressed with Dr. Williams.. when my pediatric doctor was too busy to see my daughter i took her to see Dr. Williams. he saved her life..she had a rare infection and he hospitalized her immediately... his nurses were great and made me laugh and smile and i was very comfortable in the office... the wait was well worth it( bring a book)This DOC... knows his medicine...had some billing questions but got cleared up... honest mistakes... they work long hours. I wouldn't trade them...  	 8/31/09	5	4	5	Insurance:Coventry
7	1	Been seeing Dr.Steve for 13 yrs. Is a great Dr. bends over backwards for his patients.His nurse are great also, very friendly very helpful. His reciptionist is very good and helpful. His billing clerk is awful, you have to really watch your bills,she doesn't deal with patients well. I would recomend Dr.Steve, and I have, to anyone. He is there for his patients 24/7 Hard to find a doctor like this.  	5	4	5	5 	Insurance:Coventry
7	1	Dr. Steve, is polite and knows what he is doing in regards to health care for someone. He take the time to explain your condition. However, his office manager Linda,isn't worth my time. She is arrogant and a liar. All I have to say is check your bills for accuracy. 	1	1	5	5 	Insurance:Unknown
7	1	This guy is good!  I've seen him many times.  He's quick (but not hurried), thorough, wise and very kind.  I find I can always trust what he says.  I like him.   He's one of the best! 	5	5	5	5 	Insurance:Medicare
7	1	Dr. Williams is an excellent physician. The only complaint is that (as with most doctors) there is usually a decently long wait-time. However, he's worth the wait. He is thorough and has a good sense of humor. The thing I like about him most is tht he is not over-eager to medicate. He'll definitely prescribe you what you need, but if you can get better without drugs, that is his preference. I was basically addicted to nasal spray I had used for allergies/colds... he was upfront and honest about the fact that I would be uncomfortably stuffed up while getting off of it, but gave me things to help. I'm now totally off the stuff. Very professional. I never take time to write these things about doctors and services... but when I moved to a new state and used this service to locate a new doctor, I thought I would leave this note. If I ever move back to Omaha, Dr. Williams will again be my physician - no doubt.  		2	5	5 	Insurance:Coventry
7	1	Dr. Williams has cared for my mother since I don't know when. A few years back, Dr. Steve had a specialist come from out of town to help diagnose an infection that literally saved my mother's life! He's a good listener, very caring, knowledgeable and to the point.  He sincerely cares! 		4	5	5 	Insurance:Blue Cross / Blue Shield
7	1	Can get same day appts., has good equipment in office so you do not have to go outpatient for tests. Always takes time to listen. Not good for phone calls. 		1	4	4 	Insurance:Unknown
