dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
4	1	commentsgood doctor. sad to see him leave 	5	5	5	5	Insurance:Unknown
9	1	commentsdr ellero was my anesthesiologist during a long and serious operation to remove my infected and enlarged prostate gland. the surgery lasted 4 hours, 2 hours more than usual for this procedure. i believe she may have saved my life because of the trauma to my body during the operation and the excessively long recovery. i of course don't know the details of what occurred because of my unconscious state. nevertheless, i suspect her excellent decisions were paramount to my recovery. 	5	5	5	5	Insurance:Unknown
11	-1	comments 	1	2	1	1	Insurance:Unknown
11	-1	 extremly poor bedside manors   forgot to come back after saying he would be back in 5 minutes   very sloppy  forgot to perscribe medication needed after chemotherapy   avoid this doctor at all cost.  	1	1	1	1	Insurance:HumanaPaid/Co-pay:$70
11	-1	 Dr. came in office w/ratty pants and members only jacket..thought he was janitor and not dr. Didn't introduce self, just started going thru my folder. Door left open, no privacy.  Cancer patients getting chemo in small cramped rooms, jammed in together w/door open.  Used sharps & biohazard containers strewn throughout hallways and stacked high. Very unprofessional, very questionable ...  will never go to again! 	3	3	1	1	Insurance:Secure Horizons
11	-1	comments 	4	4	1	3	Insurance:Unknown
11	-1	.  The rudest most uncaring Doctor that I have ever known 		2	1	1	Insurance:Pacificare
11	0	 He is a very strange doctor, but did spend time explaining different options.Husband was diagnosed with protate cancer and had a PSA and biopsy. He asked why my husband wanted to know and take a test, THAT he wouldn't have. AND he is one the head in oncology for UMC.  		5	3	3	Insurance:Blue Cross / Blue Shield
11	-1	commentsThis doctor kept telling the patient that he was fine. This patient died of cancer within a year. What kind of oncologist doesn't treat or recognize such a blatant cancer patient&#63; 		1	1	1	Insurance:Unknown
13	-1	commentsDr. Ender is the rudest doctor I have ever met. He would only accept cash, which I went to the bank and withdrew. He was so rude to my fiancée that he had her in tears just before a major surgery. After we complained to the surgeon, he returned the cash I had paid him and stormed out of the building like a spoiled child, causing us to have to reschedule the surgery. After a negative review, he threatened us with a lawyer through the surgeon. He didn't even contact us himself.  Shame on Dr. Ender!  This is only my opinion and I'm not telling anyone not to use him. I'm sure he is very capable, but I feel that the rudeness, lack of respect, and unprofessional behavior is completely unacceptable!  My family will not be using his services, EVER!!!  I never met his staff, only him. Don't know how knowledgable he is since he refused to do his job. He was on time though. I never went to his office. 	3	5	1	3	Insurance:Unknown
13	-1	commentsThis doctor overdosed my sister and she passed away at Desert Springs Hospital.  Do not use him, if you have surgery, refuse to have him as an anesthesiologist. 	1	3	1	1	Insurance:Unknown
14	1	commentsWaited for a time I consider typical for hospitals and busy doctors (45 minutes). Dr. El-Eid was professional and warm, gentle and very reassuring. Would recommend. Her nurse was also polite and friendly. 		4	5	5	Insurance:Unknown
14	1	commentsI found her confidence to be very reassuring. She is honest and to the point. 		2	5	5	Insurance:Unknown
14	-1	commentsFirst she left me sitting in the waiting room for 2.5 hours. If anyone asked how much longer t would be the staff would snap at us and say we just had to be patient it would only be a couple of minutes. When I met with Dr. EL Eid she was the most inconsiderate one of the all. She was short with me as if I inconvenienced her by even going. She implied that my doctor had wasted her time by referring me. She was cold, uncaring, and conceited. I am currently trying to find another doctor. 		1	2	1	Insurance:Unknown
14	-1	 Went to her for breast lumps and was very nervous. She held a long needle near my face and I reacted by crying and told her I wasn't ready for a breast aspiration. She called me 'chicken' and asked if I was really going to come back at a later date for another appointment. I never went back.  		5	1	3	Insurance:GHI
15	1	 Very helpful, funny, great knowledge for what he is doing. He will definately become my regular doctor. Some of the staff is great, there are a couple of nurses that aren't so friendly. But the others are amazing. Doctor is amazing and knows what he's doing.  	5	4	5	5	Insurance:Anthem
20	1	 My daughter has been seeing Dr. Eckert for 2 years for a thyroid issue. Very knowledgeable. Answers any questions I have and I hardly have to spend anytime in the office or exam room waiting for her or the staff. Always a good experience.  	5	5	5	5	Insurance:AetnaPaid/Co-pay:$15
20	-1	comments 	1	1	1	1	Insurance:Unknown
20	1	commentsMy daughter has been seeing Dr. Eckert for approximately 8 years for a growth issue. Dr. Eckert is simply one of the best doctors in the world! She is consistently wonderful with my child from a young age through her teens. She has also helped her with other medical problems besides growth and has given us referrals to several excellent doctors. I highly recommend her without any equivocation! 	5	5	5	5	Insurance:Unknown
20	1	commentsShe was wonderful.... Kind, nice, and so smart! 	5	5	5	5	Insurance:Unknown
21	1	 I saw Dr. Earl's TV ad for free cancer screening, I just moved to Vegas 2 weeks ago, I was very surprised that everyone at Dr. Earl's office was so helpful and kind, Dr. Earl took his time and gave me detail of my condition and referred me to an oral surgery. I highly recommend Dr. Earl.  Carolina Liao 	5	5	5	5	Insurance:Unicare
21	1	 Dr. Earl has been my dentist since I was a child.  In all those years of fillings and cleanings I have not felt one ounce of pain from a shot or a drill.  The staff is fun and helpful and he is constantly on the forefront of dental technology.  My last crown was placed the same day with a crown from their own lab.  	5	5	5	5	Insurance:Delta Dental
