dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
2	1	commentsHe did a great job with my anesthesia. I felt great waking up with no nausea or hangover. I would request him again. 	5	5	5	5	Insurance:Unknown
3	1	commentsHe has been a very good Dr. for me.He and his staff have always treated me very well &amp; I have had no problems at all. 	4	3	5	5	Insurance:Unknown
3	1	commentsThe no scalpel vasectomy was the way to go for me, and definitely not even close to painful (just uncomfortable). His staff was really nice to me as well, and everything went as planned. 	5	5	5	5	Insurance:Unknown
3	1	 Dr.kaplan is a warm and caring doctor who removed my prostate in 2002 and was contantly with me during my recovery period.Of all the Doctors I've used over my 75years,he was byfar the most caring and professional. this world needs more physicians like Dr. k I hope you the best so you can still give the great care you always do                                  Mr. Irwin Craine           Prostate Survivor 2002 	5	5	5	5	Insurance:United Healthcare
3	-1	.   	1	1	1	2	Insurance:Medicare
3	0	commentsKaplan has a reputation for being technically good, although his State of NV Med Board official record shows a reprimand and court settlement with a patient of $1.5M due to surgical error.  His main experience appears to be vasectomy but he has done a bit of everything I take it.  He apparently has a very high opinion of himself: his waiting room is covered with an &quot;I love me&quot; wall of plaques, awards, photos, etc.  His manner is rather abrupt, very matter of fact, and a bit too detached for my tastes.  His practice is (in) famous for its rude, inefficient, and unprofessional office staff.  They probably make him seem a less competent and caring doc than he really is.  But on balance, Kaplan is probably not worth the trouble to see him, his local reputation as a &quot;doctor's doctor&quot; is well overblown, and he lacks a healing manner.  You can do better.  And yes, I've seen him a number of times. 	2	2	2	3	Insurance:Unknown
3	-1	 what a rud staff, very unprofessonal. Nurse or LPN did not bring my chart and on a stick not wrote my viatls and good knows what she did with it.  the office staff are just not a good fit for medical field as they are unhuman 	1	1	1	1	Insurance:Blue Cross / Blue Shield
3	-1	commentsHad bladder sling done 3 weeks ago. went to the dr. after making the nurse give me an appt because I assured her something was wrong. I was right, the mesh has eroded through my vaginal wall. Dr Kaplan came in, examined me and said, yep your right you have to have surgery again and took me to the scheduler. Have to wait 1 week to get this fixed. Thinking I should have went to a different, caring Dr. 	1	1	1	1	Insurance:Unknown
3	0	 I was a patient of Dr. Kaplan but I only saw him yearly for prescriptions and so I dealth with him on a limited basis and he always remembered me and seemed very nice. Now his office staff is another matter, they have to be the rudest bunch of ****es in a medical office. I know there is something not right with him because of his staff. They are generally uncaring and will leave you on hold forever and tell you anything to get you off the phone when they do answer. I had  someone tell me to call her back the next day and when I did was told she was on vacation now! I was having a problem getting my medication. They are well known for being unhelpful at my pharmacy. Dr.Kaplan is responsible for his staff and I am certain I am not the only patient who has said something to him.  I am looking for a new urologist now 	1	3	1	4	Insurance:Medicaid / Medi-Cal
3	1	commentsDr. kaplan is a wondrful human being and fantastic surgeon. I am a physician myself at the hospital where he does the bulk of his surgery. My son had a revision circumcision fixed by Dr. Kaplan that was terrible by the other physician.Dr. Kaplan cured my father of prostate cancer. He has tahen care of 2 other family members including me. He is well known to be the doctors doctor in Las Vegas. When you get referred to him yes you will wait. Is it worth waiting for a great doctor that is in high demand or not wait for the physician that is not&#63; If you are smart you will bring a book at your appointment knowing you might have to wait longer and stop whining  about the wait. He is probably booked for months and your Dr. probably asked him to squeeze you in. That day Dr. Kaplan probably recieved 7 such calls. So, I know Dr Kaplan and have watched him operate .He  is a master in the operating room and has a heart of gold. I could canvas  30 doctors in town who would verify these facts. 	4	4	5	5	Insurance:Unknown
3	-1	 I had my suspicions about this doctor because of the un-helpful staff.I called after I experienced a problem after a procedure I had done and got put on hold and I hung up called again only to be told the staff was in a meeting with the doctor.I left a voice mail and never heard back from them again.I ended up going to my family doctor for treatment.I never saw the doctor after my procedure in the hospital, he did talk to my husband, theat is the only way I found out if the procedure worked or not.The staff is unbelievably un-helpful.The surgery scheduler is very nice.The office in my opinion is very dirty,unsanitary looking.After my follow up appointment I will be on the market for a new doctor,especially after reading the previous reviews. Anybody have a urologist that is good that you could refer me to&#63; 	1	3	1	1	Insurance:CIGNA
3	-1	commentsWent in for a procedure never saw the Doctor before or after the surgery.  Called the Doctor's office several times and always put on hold for a Nurse.  After being on hold for 30 minutes I would call back to be put on hold again.  Never received a call back or any information from anyone at the Doctor's office.  Its apparent there was additional stuff done during surgery but I am unable to find out what and I am unable to schedule a follow up appointment.  Again must talk to a nurse.  Unbelievable. 	1	3	1	3	Insurance:Unknown
3	-1	 Office staff refer to the &quot;nurse&quot; when there isn't a lpn or rn in the office, only medical assistants. Doctor dosen't seem to really care about his patients. Had a procedure done and was told to call if I experienced any problems. Well, unfortunately I did and the response was deal with it till Monday. I had more urine running down my leg than was going into the bag and was very uncomfortable to say the least.  Well, I changed doctors!!!!! 	3	2	2	2	Insurance:Anthem
3	0	 He did not speak to me or my husband after a procedure in the hospital, which left me wondering if I was okay or not.  Once I actually saw him afterwards, he didn't really say what was done or if I was completely &quot;fixed.&quot;I was rescheduled repeatedly and waited over 20 minutes to talk to a nurse.  	3	1	1	4	Insurance:United Healthcare
3	-1	commentsI am from Buffalo NY and have worked in the medical field in hospitals for over 30 years.  I was appalled at how arrogant and unprofessional Dr. Kaplan was.  He mocked all other physicians which is very unethical. I have never seen this before.  His office staff is untrained, unorganized, and very rude and uncompassionate, excluding the receptionists who were very helpful.  I was suffering from a uti and they responded five days later and didn't even apologize when they knew I have a urinary blockage. His postop care on my husband was the worst I have ever ever seen.  We ended up in the emergency room for five hours unnecessariy. Would never go back to this office. 	1	2	1	1	Insurance:Unknown
3	-1	commentsMy Insurance was Medical Mutual of Ohio.   He almost killed me!!! In May 2003 he did a Lithotripsy and punctured my kidney. I needed three (3) units of blood and was in the hospital for a week. 	3	3	1	1	Insurance:Unknown
3	0	 Terrible bedside manner.  Doesn't smile too much. His nursing staff is really unprofessional; it took 3 &quot;nurses&quot; to successfully draw blood for my PSA test. One time my entire arm was black and blue from the poor insertion of a needle.  If you need a Urologist, try Dr. Slavis or Dr. Finklestein.  	2	1	3	3	Insurance:Medicare
3	-1	commentsDr. Kaplan needs to learn that people have feelings. His arrogant and rude behavior is not acceptable. Never use him again. 		1	1	1	Insurance:Unknown
3	-1	commentsMaybe over the years this doctor became a better doctor. When I saw him several years ago, I walked out of his office and said I would never go back. He was unorganized, didn't know why I was there even tho it was in my chart, and I found that he didn't have my chart and didn't know where it was. Hopefully he got better.. 		3	2	2	Insurance:Unknown
4	1	commentsDoctor seemed very knowledgeable and took her time to listen to my problem. She helped me feel all better after just 3 appointments when others couldn't help me. 	4	4	5	5	Insurance:Unknown
6	1	 I have been goingt to Dr, Kartzinel since my first GYN appt and was so afraid, but he made me feel completely comfortable.  When I became pregnant he walked me through every step ofm y preganncy and I never worried about a thing.  I have since moved away and am pregnat with child number 2 and can not find a doctor that makes me feel half as comfortable as he does.  I am thinking about going back into Vegas just so he can deliver.  	5	5	5	5	Insurance:Medicaid / Medi-Cal
6	1	commentsthis is the BEST doctor in Vegas! he is so caring and spends so much time making sure you are comfortable. he delivered my first son and it was the best most comfortable experience. he has always taken his time and listened to everything. His staff is overly helpful and all will go above and beyond to help you. 	5	5	5	5	Insurance:Unknown
6	-1	 Dr Kartzinel, is very c section happy. He induced me at 40 wks for no reason. Then after 12 hrs of pitocin labor he told me that if i didnt progress in the next half hr that i would need a c section. I trusted him and he didnt have my best interest at heart. My son was not in distress , i was progressing slow but well. IT was 100% unnecessary. Then he told me that once a c section always a c section which is a LIE!!! I went on to deliver my second son without any problems. Please dont use this doctor as he is more concerned with his own needs then yours.  The wait time is awful and he does not like to answer questions that you may have!!! 	5	1	1	1	Insurance:Blue Cross / Blue Shield
6	1	commentsThe Best Doctor I have ever had.  I have three children, one born in LasVegas, which he delivered.  The easiest delivery ever.  He was very gentle and compassionate.  I've moved out of the area for several years and I can not find a doctor I'm comfortable with. HIGHLY RECOMMENDED!!! 	2	2	5	5	Insurance:Unknown
6	0	 I stopped seeing him after several years because he has turned his office into a baby factory.  The last few times I went to him the lobby was so full there was no where to sit. Patients waiting forever to see him for a few brief minutes and then he is on to the next one. The staff's explaination is that he is just back from vacation or some other excuse so he is backed up.  I did not feel I could ask any questions or express any concerns because he did not have the time to address them.  Plenty of other doctors in town to choose from.  	3	1	2	3	Insurance:CIGNA
6	1	commentsDr. Kartzinel has been wonderful. He is attentive and caring. His staff is so beyond helpful. I am thankful I have him to deliver my child! 	5	5	5	5	Insurance:Unknown
6	1	 Dr. K and his staff where amazing with me. Dr. K delivered all three of my children. If I were to consider having more I would use him again.  	5	4	4	5	Insurance:HealthPartners
6	1	 This doctor diagnosed my  hpv and did a great job! He did an in office procedure and cured my dysplasia.(abnormal cells). He explained my diagnoses and the procedure in detail, and made me feel at ease and relaxed. Thank you dr. K. I am looking forward to him delivering my second child.  I wouldn't go anywhere else!!! 	5	5	5	5	Insurance:Blue Cross / Blue Shield
6	-1	 During my visit I was treated like a number not a person. This doctor was in a rush, he never took the time I paid for with me. I left his office feeling scared and confused.  Never go to this doc NEVER!!! 	3	2	1	1	Insurance:Blue Cross / Blue Shield
6	1	 Very good &quot;bed side manner&quot;. He really took the time to explain treatmnts and conditions.  	4	4	4	4	Insurance:Aetna
6	-1	commentsI feel this doctor is doing the very least he can get away with. His examinations are nothing more than canbe done by myself at home. If he spends the entire 10 minutes that he allotted for my visit he begins to get agitated and condescending. I feel he is unattentive and arrogant.Frustrating. 		1	1	1	Insurance:Unknown
9	-1	 This Optometrist is the absolute worst in the city. My fiance ordered glasses and when we got them, there wad two large gouges in the frames from when the put the lenses into the grame. We took them back and they saif nothing we can do. We asked for a refund and they wouldnt do it because it wsdnt theri policy. This place is such crap and dont expect to be a satisfied customer.  	1	1	1	1	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$400
9	-1	 This doctor is incompetant or his manufacturer is. Purchased progressive glasses, had two pairs made, both not comfortable/clear. Was told it wasn't possible to make them for my prescription and was offered other options (standard bifocals or trifocals). Went to another doctor and the first pair he made was fine. Kawamoto gives no refunds.  	5	5	1	1	Insurance:United Healthcare
10	-1	commentsDon't know where she studied but they shud ask for her diploma back. 	5	5	1	1	Insurance:Unknown
12	1	 I have been seeing this Dr. for over 3 years now. He is awsome, yes he dose not spend a lot of time with you but he know what he is doing and and treat effectivly. His office staff is also great if you ask them somthing they will go out of there way to help you. I can get apptments when needed, they do not offer same day appt as they are full and all you have to do is ask and they will explain this to you. I had a billing &#63; and the billing office called me back asap along with the referral dept. the back office dose take a bit longer to get a call back from but when asked why they will explain they are taking care of the patents in front of them at night they check the voice mail. I highly recomend this Dr. and Advanced Urgent Care to all my frinds and family. YOU WILL GET TREATED GREAT BY THIS OFFICE AND THERE STAFF AND DR.  	5	4	5	5	Insurance:Aetna
12	0	commentsSince this is an urgent care clinic, one must expect some wait time. Compared to other facilities of the same nature, it is average. 	2	2	2	4	Insurance:Unknown
12	0	commentsI have seen this doctor a few times and although he doesn't take the time that I feel is appropriate with patients, he is the easiest to make an appointment with. My main warning is beware of the staff. They are rude, pushy, and don't follow through with things that they need to. I wish Dr. Karajohn was at a different facility for this reason. I had an allergic reaction to a medication prescribed to me and kept calling and leaving messages with the front desk to have a doctor call me. Five calls later and zero calls back, I ended up in the hospital later that night. Also, when calling to come in to the office, they avoid booking appointments because they are too lazy. I just called and the receptionist tried to get me to just come in as a walk in and wait. I told her that I needed to schedule a follow up appointment because I did not have the time to wait as a walk in and she said insisted that they don't do same day appointments. I reminded her that I was making the appointment for 	1	2	2	4	Insurance:Unknown
12	-1	 He is the absolute poorest excuse for a doctor that I have ever come across in the 51 years ive been on the planet. He must have gotten his license to practice out of a cracker jack box. I would not let this man treat my Dog. I spent four day in the hospital, and this man was never there. He is useless. I couldnt even fire him as I was told that I would have to do it in person and he just simply avoided coming in.  He is a loser! 		1	1	1	Insurance:HealthPartnersPaid/Co-pay:$30000
13	-1	commentsextremely arrogant, not at all helpful, does not care about the patient's true health problems. Gave an asthma patient three of the most deadly long acting beta agonists (LABA's ). labels on the 3 packages state &quot; people with asthma who take LABA medicines.....have an increased risk of death &quot;, patient was rushed to the hospital by ambulance 	1	2	1	2	Insurance:Unknown
13	-1	 I have had a two level fusion in may back and neck.  Dr Karl would do the same adjustments no matter what.  I came in with sever pain in my back and shooting down my legs and buttocks.  Dr. Karl yelled at me because I did not want an adjustment.  I asked for an MRI to find out what the problem was.  He refused to help me get an MRI.  It was later found that I had two large cysts crushing the spinal cord and had I been adjusted it could have led to worse things.  He did not want to listen to me about what my problem was and just wanted to do his same adjustments he does to everyone no matter what the problem is.  	3	3	1	1	Insurance:CIGNA
13	-1	commentsThose on the NW sign with back problems go to align.com it's on Durango by to the 215 near Kohl's. Both Drs are awesome, staff is awesome! The website shows pictures they have updated everything and they also take no insurance the place is booming and all the rave. Dr Kissling is the best. I promise you will not regret it! And your insurance isn't billed a hundred times. The place is state of the art. Check out website, 	1	2	1	3	Insurance:Unknown
13	-1	 Watch this place and really read the other comments. They re bill you and try to get you to double pay. Seriously avoid this place at all cost. Claims are ran several times on your insurance once you stop going you received a huge bill in the mail. I would always ask what I owe and they replied nothing till I stopped going and got a bill in the mail! It's very odd and strange how it is set up and yes the medical asst. Doc wanna be is not pleasant at all.  Do your homework!!!!! 	1	2	2	1	Insurance:Blue Cross / Blue Shield
13	-1	 Dr. forced my adjustment, and my spine has hurt much worse than it did when I came in.........will never go back there.  	2	2	1	1	Insurance:Blue Cross / Blue Shield
13	1	 Something seems shady with the way the bill claims...if you use them which your claims online. Also not fond of the Medical Asst Brenda in the back she is nice one day and evil the next&#63; Seems bipolar.... Research as well at the Nevada State medical examiners website he recently closed a malpractice suit May 2010 	4	4	4	4	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$268
13	-1	commentsI have to agree with the former comment, if you can pass the nurse, who thinks she is the doctor, and the secretary.  You will meet the good doctor.  If you choose to find another doctor, make sure you get a copy of your record before you let them know.  Otherwise, they won't forward your record to the new doctor, or want to charge you 55 cents per copy!  I wonder if the doctor is aware that he is losing his patients due to his staff! 	1	2	1	3	Insurance:Unknown
13	1	 Assistant always looks like she is overwhelmed. Can't seem to just be pleasant and handle her job as required. Don't like having to commit to what you will be asking him for. Saw him for pain problems and then for other issue's that required blood work and meds. Receptionist and his nurse/assistant made it very clear that only one issue could be addressed at appointment. Receptionist was apparently having a bad day and was very rude. I no longer go to him.  	3	1	4	4	Insurance:United Healthcare
