dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	 MD VIP doctor.  Very thorough.  He actually listened.  He ran appropriate tests.  Diagnosed &amp; treated.  Professional manner but easy to talk to.  Good staff for blood work &amp; EKG.   Was timely (waited 5 minutes!) 	5	5	5	5	Insurance:AetnaPaid/Co-pay:N/A
1	1	 The best Doctor I have selected.  He actually gives a damn about the patient first! 	5	5	5	5	Insurance:HumanaPaid/Co-pay:N/A
1	1	 There's no finer Doctor in Neveda, or the country in my opinion. He is through, considerate of your time, and a gentleman.  He's limited his practice to the number of patients he can monitor, which is unique for any doctor.   The best!!!!!!! 	5	5	5	5	Insurance:HumanaPaid/Co-pay:N/A
1	1	commentsDr. L is the most amazing Dr. in Las Vegas. I have seen others over the years But i always go back to Dr. L 	4	5	5	5	Insurance:Unknown
1	1	 Always attentive and caring, Dr Lampinen is punctual, knowledgeable, easy to talk with and he really cares.  I feel fortunate to have enjoyed his care for nearly 10 years.  	5	5	5	5	Insurance:MedicarePaid/Co-pay:N/A
1	1	 Excellent physician and excellent mentor.  Knew many primary care doctors in Las Vegas and no one is better than Dr.  Lampinen 	5	5	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
1	1	commentsOMG a doctor that calls you back promptly---I thought they were extinct!Great staff, homey office, lab on premises, intelligent, knowlegdeable, friendly, compassionate AND they are so good about getting you in!!! 	5	5	5	5	Insurance:Unknown
1	1	commentsGreat presence  very knowledgable  teaching practice for University med students takes time to answer any questions or inquiries puts patient at ease 	5	5	5	5	Insurance:Unknown
1	1	commentsDr. Lampinen and his staff are a great people.   I not only know him from my own experience as a patient (my husband is also a patient) but I know him in my professional career.  I'm a nurse at one of the local hospitals.   I know a good doctor when I see one.   Also, Brian, the NP and his whole office staff are top notch. 	5	5	5	5	Insurance:Unknown
1	1	commentsNot only is this doctor knowledgeable, but very kind and patient focused.  I highly recommend him. 	5	5	5	5	Insurance:Unknown
1	1	commentsVery professional, responsive, knowledgeable doctor. The same is true of the staff. Love that there is a honest to god lab in the office! 	5	5	5	5	Insurance:Unknown
1	1	 he seems knowledgeable for what he did for us.many times tho we did not see him it was one of his assistants.  	3	3	4	4	Insurance:MedicarePaid/Co-pay:N/A
1	1	commentsDr. Lampinen was very sincere. He seemed to be very knowledgeable of my medical problems. And he was very easy to talk to. 		5	5	5	Insurance:Unknown
2	0	comments 	3	5	1	5	Insurance:Unknown
2	1	commentsgreat doctor worked with me and really helped me with my problems when no one else could i highly recommend him 	5	5	5	5	Insurance:Unknown
2	-1	 Avoid this guy.  He spent hours looking at my chest instead of helping me.  Fills you with drugs.  	1	2	1	2	Insurance:Harvard-PilgimPaid/Co-pay:N/A
4	1	commentsI was very comfortable with Dr.Lanfranchi and his team, they worked smoothly and efficiently under very relaxed conditions. I am very satisfied with the procedure they did would recommend Dr. Lanfranchi to any interested party. 		5	5	5	Insurance:Unknown
5	1	 Dr. Lao has been my doctor for 3 years.  She is one of the best doctors around.  I can completely trust her diagnosis and treatment plans.  Because she is such a great doctor, sometimes it takes a while to get an appointment with her, but it is worth it.  My mother and several of my friends also see Dr. Lao.  They all agree that she is the best.  	5	5	5	5	Insurance:CIGNAPaid/Co-pay:$10
5	1	 After many years of not selecting a primary care provider, just one visit with Dr. Lao made me select her. Very professional, knowledgeable and courteous. Although I have not had any major health problems, she is an excellent choice for a PCP.  	5	5	5	5	Insurance:HealthPartnersPaid/Co-pay:N/A
8	0	 Be ready to wait up to an hour to see Dr. Lafferty and make your appointment at least a week in advance.  	3	1	2	4	Insurance:AnthemPaid/Co-pay:N/A
8	1	 When making appointments for Dr. Lafferty, we usually saw her nurse practioners.  I did have one visit with Dr. Lafferty in the year she was my MD, and I found her delightful, smart and interested in my history.  It was hard to get an appointment to see her in person.  I usually had to wait over a week for an appt and usually that was too long for my needs so I saw the nurse paractioner.  	1	2	4	4	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$20
