dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	I went to Dr. Martin for a knee problem which incurred due to an accident. He immediatly knew it was a torn menuscus. His surgery was flawless. His staff is awesome, caring and always friendly. He has excellent hearing skills, answers your questions in terms you can understand, and doesn't opt for surgery and his first choice. I would recommend this doctor and his staff to any and everyone. The only negative is that there is usually a 15-30 minute wait. However, the wait is worth it to have the best.  	5	4	5	5 	Insurance:Aetna
1	1	I've had numerous appointments and he was NEVER on time. I left one time after an hour. His office girl TWICE ignored sterile procedures when preparing injections. I believe he's good, knowledgeable and probably a good surgeon. But I'm going elsewhere for the shoulder surgery I need after he missed the diagnosis of rotator tear and the steril procedure thing. He was not thorough in the description of the proposed surgery. Not my first choice, though initially recommended by my primary doctor.  	3	1	3	4 	Insurance:Aetna
1	1	What an awesome doctor and staff.  They work well together as a strong &quot;team&quot;. From the moment you walk into the office you feel comfortable and at ease. Every staff member always seems happy and running around but not to busy to answer questions.  Dr. Martin, was both my sports orthopedic doctor and my surgeon. He has a great personality, great bedside manner, makes jokes to make you relax and listens to your concerns. Dr. Martin communicates in a manner that you can understand and not doctor talk. I have always chosen to use sports orthopetics instead of general orthos. because I believe they see small thinks that general orthopetics may miss. What else is awesome is that his staff will stay after closing to make sure if you called during the day you had gotten your answer, and Dr. Martin himself tells his patients to page him after hours if they have concerns. Seriously, I can't say enough about this great team. You have a problem, check them out.  	 10/4/09	5	5	5	Insurance:Aetna
2	1	I had to see this doctor for a nerve test. I was pretty nervous since everyone said it was so painful. The doctor was talking to me the entire time and had me very relaxed. I was no where near as painful as  everyone made me believe. I would recommend this doctor to anyone I know.  	4	4	4	4 	Insurance:Blue Cross / Blue Shield
2	1	Reading these comments obviously some people are just bitter. They probably didn't want to go back to work since they sprained there neck. Really a sprain, that should heal fairly quickly. I had no problems with this doctor. He listened to me and my work injury was resolved fairly quickly.  	4	4	4	5 	Insurance:Workers Comp
2	-1	This so called &quot;specialist&quot; is horrible. He touched my back, had me touch toes, &amp; turn my neck side to side.  I have a cervical neck strain...he never examined my neck at all. Never thought you could be a &quot;specialist&quot; by asking patients to do head, shoulders, knees, &amp; toes. I'm in the wrong line of work. Would never recommend this person.  	2	2	1	1 	Insurance:Workers Comp
2	1	Great doctor. I was able to get appointments quickly.  	5	5	5	5 	Insurance:Aetna
2	1	Wonderful doctor. My appointments were always fairly quick. The staff was nice and polite. They were very efficient on communicating with my worker's comp insurance to get everything approved. If you get injured on the job, I hope your insurance sends you to him. Any questions or concerns I had were always addressed.  	5	5	5	5 	Insurance:Workers Comp
2	1	One negative comment since July 2010 and 36 + years experience, not too bad. I was very pleased. I have dealt with this Dr. for over 12 years in business and was a private patient.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	-1	This doctor has a very abrupt bedside manner.  Does not want to listen to the patients and does not try to solve the patient's problems.  I would not recommend this doctor to anyone!! 	1	1	1	1 	Insurance:Unknown
3	1	Dr Nick is the best. Don't miss going to Dr Maffeo for all your dental needs. He helped my spouse get through her serious dental problems. He gets our praise and thanks. Staff is also efficient and helpful. Pleasant experience. 	5	5	5	5 	Insurance:Unknown
