dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	0	Felt rushed. Dr. Payos would NOT give me pain meds, said she doesnt do that. She gave my mother 120 pain pills the previous week. I would like to know why MY pain is insignificant. Seems i just get pushed around by everyone even DOCTORS. Thanks for NOTHING, DR. IM IN PAIN!!!!!!!! 	5	5	1	4 	Insurance:Unknown
2	-1	He is the worst doctor ever! He does not know what he is doing not caring or patience needs to go back to school or stop praticing. I would not refer anyone to him at all especially if it is your first pregnancy he does not make it joyful at all for u.  	4	3	1	1 	Insurance:Medicaid / Medi-Cal
3	1	The last rating was for a female Dr. Anil Patel but I searched for MALE Dr. Anil Patel. 	5	5	5	5 	Insurance:Unknown
4	-1	This doctor is extremely rude, gives little time to patient and does not order the appropriate testing. He shows a real lack of concern. The nurses don't even like him. If it would be just a poor bedside manner, that would be acceptable. But his knowledge of medicine and lack of care is why I have given him this poor rating. I would never recommend him to anyone I know. He makes his rounds at UMC Las Vegas. I simply do not know how he became a doctor.  	3	1	1	1 	Insurance:Humana
4	-1	 	1	5	1	1 	Insurance:Unknown
4	-1	This physician is dangerous. Do NOT go to him. He cares little for his patients.  	4	2	1	1 	Insurance:Pacificare
4	1	 	5	5	5	5 	Insurance:Unknown
5	-1	Dr. Peters is the worst doctor I have ever met. He doesn't return patients calls. He caused my grandmother to dehydrate because she was old and had parkinson's and couldnt' swallow anymore he refused to give an I.v. fluid to her was very neglectful and did not communicate with the power of attorney of my grandmas health he caused my grandmother lots of suffering. He was rude and would not allow us to get a second opinion. He has poor communication skills and doesn't respond to nurses who call him from hospitals either. He let my grandmother almost starve to death if we didn't call an ambulance and have the er doctor help us to put in a feeding tube she would have died. Don't ever use this doctor he is neglectful and does not care about anybody but himself and should have his medical license suspended being he knows absolutely nothing about medicine.  	1	1	1	1 	Insurance:Medicare
5	-1	Dr. Peters spends less than three minutes with you.  He seems hurried and rushed.  Was disappointed that he tried to push you to get medical tests done in his office. Bottom line is that he just doesn't seem to care about his patients.  If you are in the market for a good primary care physician, I would keep looking.  	1	1	1	1 	Insurance:Aetna
5	1	I have been going to Dr. Peters for several years now.  He has always been the very best. He was patient and never making you feel uncomfortable.  NOw his telephone staff is the worst ever.  I only have gotten my call returned the next day or more.  I try now to hold that against him since he is in an office with other doctors. 	1	5	5	5 	Insurance:Unknown
