dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	 Dr. Yee Agrees to treat you, then if she does not like your insurance Co. Her staff tells you she can no longer take new patients. Even when the Insurance website says she is accepting new patients. A cold snake! 	4	1	1	1	Insurance:Anthem
2	-1	commentsHe could not figure out why my sons ear was draining for months. I just found out that my son developed very severe condition and need a surgery  because he did not see the problem when another doctor looked at his ear for a second and saw. Now my son needs a very big surgery. If he cought it, they could have treated it with tubes. Shame on you!!! 	3	2	1	1	Insurance:Unknown
2	1	 Dr. Yu is a professional, very qualified good man. He listens to the patient and is easy to speak with.   I feel confident after i see him that my problem was properly taken care of.  Highly recommend.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
2	1	 Dr. Yu is very professional, and very efficient.  He quickly determined that I needed a cat scan of my ear, and very openly discussed my options for care until that could be done.  He uses a laptop for recording his notes (which I like--much better than outdated handwriting or dictating) and I was in and out of his office in amazing speed.  I really like this man and feel very confident of his care.  	5	5	5	5	Insurance:Anthem
2	1	commentsVery good. He's funny and kind and acutally listens to what you have to say. 	4	3	5	5	Insurance:Unknown
3	1	 I have been seeing Dr. Yost for almost a year now. I have been dealing with endometriosis for 10+ years and after recently moving to CA, I found Dr. Yost. She has been compassionate, patient and VERY caring towards me. I have been to the ER with problems multiple times over the last year and each time, Dr. Yost had worked with the ER doctors to make certain that I received the care that I needed. She has always taken the time to really listen to me and what is going on. She never has shown that she doesn't have time for me, or that she is too busy. She has been very proactive in helping me with the medical issues that I have going on. She has spoken with other doctors when needed to ensure that her plan of action truly was in my best interest. I would recommend Dr. Yost to any female who is looking for a great Ob/Gyn. Dr. Yost is truly working in the field that she belongs in. I just wanted people to know, that she has been a tremendous help to me and that I believe in her as a doctor.  	5	4	5	4	Insurance:Blue Cross / Blue Shield
3	0	 She made a nice first impression and acts friendly. She always be in a rush, even answering questions. Not a very good listener and will continue talking over you to make her point. Doesn't provide much information unless you ask her.  	3	2	2	3	Insurance:Blue Cross / Blue Shield
3	-1	 Poor follow-up with lab results. Was a poor listener and frequently spoke over patient. Informed patient had wasted too much time in talking with them. Stated lab tests for patient were provided as a courtesy, not a requirement.  	1	2	1	1	Insurance:Blue Cross / Blue Shield
5	1	 Dr. Yu is a very patient and caring Doctor.  She works well with communicating my medical concerns and always left with the feeling that all my medical concerns were taken care of....she also is very good with babies and is her first love..Great Doctor and a Wonderful Person... Thank you for what you do! 	5	5	5	5	Insurance:United Healthcare
6	1	 Dr. Yu replaced a knee prosthesis that had started to loosen and was causing a great deal of pain. The surgery was complicated and he was obliged to remove a large amount of bone to install another prosthesis. The surgery was in March 2009 and I have absolutely no problems and more important, no pain since then.  	5	5	5	5	Insurance:United HealthcarePaid/Co-pay:$500
6	1	commentsI injured my ankle and was looking for an orthopedic doctor. I recently lost my job and do not have health insurance. Dr Joseph Yu's office is the only office I can afford to see. He doesn't try to rob those who are paying cash. Other Orthopedic doctors charges from $300-$500 per visit. They took an xray of my ankle and saw Dr Yu. Caring and patient, he will answer all your concerns. Worth paying every penny. 	5	5	5	5	Insurance:Unknown
6	1	 Dr Joseph Yu did a WONDERFUL total hip replacement on my 86-year old mother. She felt very at ease with him. Just because she's a Senior, he still made her feel important.  He will answer all questions & doesn't make you feel foolish for asking.  He takes pride in his appearance as much as he takes pride in his work.   I HIGHLY recommend him!!! 	5	5	5	5	Insurance:United Healthcare
6	1	commentsWhat a wonderful, caring doctor. If I ever need more surgery, he''s my guy 	5	4	5	5	Insurance:Unknown
19	1	 Dr York is very much about taking care of his patients, whatever it takes.  I used to live in Winnemucca and he would save me many trips by doing as much work as he could in one day.  He and his staff are very personable and make me feel like they are always happy to see us.  Dr. York does great work and always has a bit of humor to add.  	5	5	5	5	Insurance:Delta DentalPaid/Co-pay:$138
19	1	 One of the best dentists practicing in Reno!  Dr. York is an extremely nice man, very warm and will take the time to explain his procedures to you.  His office staff is very friendly and will work with you if you have billing or payment issues.   Highly recommended! 	4	5	5	5	Insurance:Anthem
21	1	commentsI like this Doctor.  He is friendly and helpful.  Maybe the office has no frills but he is struggling in this economy to stay in business and provide good health care.  Appointments are on time. I would recommend him. 	5	5	5	5	Insurance:Unknown
21	-1	commentsI could not possibly recommend this &quot;doctor&quot; to anyone I know.  The office was dirty, with trash bags laying around, and dirty carpet.  They did not clean xray equipment after having me stand on it in bare feet. So it obviously was not cleaned after prior patient.  Yuck. Confrontational and unprofessional office staff.  Bad attitudes.  Doctor didn't answer questions in straightforward manner and was very, very defensive for no reason. 	1	2	1	1	Insurance:Unknown
