dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
3	1	 I loved Dr. Kaploe...I am so sorry to say he is no longer at that practice..no longer in Arkansas at all I believe..he was amazing and very, very down to earth and had a vast amount of knowledge and was never afraid to pull you into his office and educate you on what was wrong with you and always pushed nutrition before medication.. I will personally miss him!! 	4	4	5	5	Insurance:CIGNA
3	1	commentsAwesome Doctor!!! Friendly, knowledgeable and not afraid to admit that he doesn't know everything but will find the answer out for you. 		5	5	5	Insurance:Unknown
3	1	commentsHe is a very caring doctor. He has been of great assistance to our entire family during and after a medical crisis. He was the on call doctor for the clinic when we had our medical crisis and we have made him our family doctor 		5	5	5	Insurance:Unknown
3	1	 Saved my life on first visit. Diagnosed Appendicitis without any signs or without CT scan.  		5	5	5	Insurance:CIGNAPaid/Co-pay:$2500
3	1	commentsThe first doctor I've met who actually listened to you and didn't blow off your concerns. 		4	5	5	Insurance:Unknown
6	0	commentsHe's a very nice guy but seems to be too busy to spend any time with me. I almost never see him, but his nurse instead, and so far none of the treatments have worked for me (obviously not his fault). I feel like he is giving up on me sometimes. 	4	3	3	3	Insurance:Unknown
6	1	 I was nervous, until he walked in the room. Very kind and reassuring. Fantastic doctor.  	5	5	5	5	Insurance:Medicare
6	1	 Excellent doctor! Would absolutely suggest him to everyone.  He is very funny and makes you feel comfortable.  Never once did I worry about my procedure. Finally a doctor that listens and was truly interested in finding out what was wrong.  	5	5	5	5	Insurance:Anthem
6	1	 What a nice guy.  Listens well and is caring.  He even figured out what was wrong with me!  I needed a colonoscopy, and he promised me a safe, comfortable &quot;trip to Aruba.&quot;  I didn't feel a thing.  I'd recommend him to anyone.  	4	5	5	5	Insurance:Anthem
6	1	 Dr. Mike is really friendly and smart.  On my first visit he spent enough time and really listened to me, unlike some of my other doctors.  He did my colonoscopy and I didn't feel a thing.  I feel I can trust him to take good care of me and I'd recommend him to anyone.  	3	5	5	5	Insurance:Medicare
19	-1	 I went to Dr. Kahan for libido issues, and asked him to prescribe a PDE-5 inhibitor because of the erection and libido issues I was still facing despite prolactinoma treatment. He told me that he would not prescribe a ED med because it would condition me mentally to NEED it. He also told me that prolactin does not affect male libido!!! THIS IS SCARY!!! Prolactin is tied immensely to male libido, and is the reason males have a refractory period (also is tied to evolutionary psychology - refractory period was to prevent males from having sex so often, and geared them toward obtaining food). I question whether of not Dr. Kahan, as a urologist, paid attention in med school.  	3	3	1	1	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$15
20	-1	commentsDr. Kale has great credentials but that/'s about it. She misdiagnosed my 86-year old father who presented with epigastric complaints as being constipated. She refused to admit him for observation and sent him home at 2 in the morning in the middle of a snowstorm. He had emergency surgery for a perforated duodenal ulcer the following day and died 14 days later. I would go to a veterinarian before being seen by Dr. Kale... 		1	1	1	Insurance:Unknown
22	1	 I have been bringing my son to dr. Kaupp since 2005 and I have nothing but great things to say about this man! He has always given us his time without making us feel rushed, even though I am certain he had other people waiting. He has gone way above and beyond for my family more than once over the years and I will forever be greatful to this fabulous dr. ! 	5	4	5	5	Insurance:United Healthcare
22	1	 Dr. Kaupp is the best doctor, I have ever met. Both my daughter and son are patients of him. He gives all the attention to our concerns about our kids and provides the best care whether the concern is related to medical or behavior. He relates lot of his personal stories to provide comfort and sense of relief.  	5	5	5	5	Insurance:Harvard-Pilgim
22	1	 Greg is the best doctor I have ever had.  He is interested in my health and plays an active role in my battle against type 2 diabetes.  Very attentive to my needs and makes me feel very comfortable talking about anything.   A+ 	5	5	5	5	Insurance:Harvard-Pilgim
22	1	 Attentive and friendly. Ready to spend time with patient despite his tight schedule.  Difficult to get a non-urgent appointment.  	4	4	5	5	Insurance:United HealthcarePaid/Co-pay:$15
22	1	 Gregory Kaupp is a very good doctor -one of the best doctors.Very Very knowledgeable.It is hard to get last minute sick appointments with him.That is obvious, but regardless of everything he is a very good doctor, very kind, very sharp and he can totally understand the parents as wella s the childs condition.When he provides a solution to a problem it is absolutely the best.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
22	1	commentsI also think Dr. Kaupp is a good dr. But also want to clarify the point that he was always both an internal medicine and pediatric doctor. He went to school for both at the same time. 	4	4	4	4	Insurance:Unknown
