dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	 		4	3	4 	Insurance:Unknown
2	1	Dr. Lanier is wonderful. She is very caring and takes the time with the patients.  	3	5	5	5 	Insurance:Aetna
2	1	After a four year search for a doctor to replace my former (excellent) doctor who retired, I finally found Dr. Lanier.  She is at least as competent as my former doctor.  She's extremely knowledgeable, provides very good advice, and is excellent with followup.  I thoroughly recommend her.  	5	5	5	5 	Insurance:Medicare
3	1	Great doctor. Very thorough and knowledgeable. Tries to keep medication to a minimum as much as possible (while keeping me safe and letting me live my life how I want to) which I think is wonderful instead of just pushing prescriptions like so many other doctors do today! 	5	5	5	5 	Insurance:Unknown
3	0	She wasn't interested in any alternatives to rx's. She wasn't helpful in my research to find other approaches. I was referred to her however I will not be returning.  	3	5	2	4 	Insurance:Medicare
3	1	What impressed me most from my first visit with Dr. Lafontaine, was the time that she was willing to spend talking with me, and the genuine concern she expresses when things aren't working as they should. I never feel rushed during her office visits or feel like I meant to discuss 2 other points that I forgot about because the doctor was rushing me out to door to see the next patient.  That certainly is not Dr. Lafontaine's style, and in my opinion, that is what really sets her apart from so many others in the medical field.  She is a very dedicated and extremely knowledgeable doctor. I have yet to find another that would personally call me before an unrelated surgery to discuss my concerns with the medications I'm taking, as opposed to having a nurse or someone else respond to my call. A very remarkable doctor that I highly recommend. 	5	5	5	5 	Insurance:Unknown
3	1	Dr. LaFontaine is thorough and professional.  She was very conscientious about getting to the bottom of my symptoms and arranged all diagnostic tests in a timely manner.  She is available for follow-up questions and has a kind, considerate manner.  I feel very fortunate to have her as my neurologist. 	4	4	5	5 	Insurance:Unknown
3	1	 	3	3	3	5 	Insurance:Unknown
4	1	He is the best!! When I call for an appointment, I'm there the next day if not the same day because he knows my problems.  He has a great personally and is a very caring Doctor!! 	5	5	5	5 	Insurance:Harvard-Pilgim
4	1	I've seen Dr Lichter ever year since 1999 for my annual skin cancer screening, and have numerous procedures performed by him, and everyone of my experiences have been very positive. His exams are very thorough, and he always takes the time to answer every question to my satisfaction.  Highly recommended! 	5	4	5	5 	Insurance:Blue Cross / Blue Shield
4	1	I've seen Dr. Lichter for skin checks, mole / wart removals, and rash treatments. I've been going to him for about 15 years. He is very thorough, answers all your questions, and did a great job with all my minor procedures. I'd definitely go to him with any skin issues I have.  	5	4	5	5 	Insurance:Blue Cross / Blue Shield
5	1	Excellent doctor. Very thourough and knowledgeable. Great bedside manner. Wait time in exam room is a little long but spends a lot of time with you.  	5	4	5	5 	Insurance:Harvard-Pilgim
5	1	Dr Liu is an amazing, caring ,through, involved with the pt. She is treating. She never seems preoccupied and needs to run. I got her as a fill in  yrs ago at her old pratice she then moved locations and I did homes instead of 7 min away I now drive 40 min for appointments that is how much I trust her.  	5	5	5	5 	Insurance:Medicare
6	-1	was in extreme amount of pain, was desperate and thought I might need another trip to the emergency room and/or didnt not want to go to the ER so i bascially begged his staff to find me some time to meet with him with in next day or 2 and they would not accomodate... shortly following this incident i received a letter in the mail from him stating he was terminating his care for me. 	 2/9/10	1	3	1	Insurance:Unknown
7	1	Wonderful caring and professional . I would highly recommend this office to any of my friends and family .I was going to another office and found the prices to be extremely reasonable for a non insured person . he saved me lots of money over aspen dental . I am so happy I found him . 	5	5	5	5 	Insurance:Unknown
8	1	very helful, and knowledgebale ---great explanation on medical matter under examination.. Highly recommended 	5	5	5	5 	Insurance:Harvard-Pilgim
8	1	Dr. Monique LaRouche is the best.  Very knowledgeable. She takes her time asking questions and then treats you accordingly. She cares about her patients not only the physical part but also the emotional.  She is friendly, kind and respectful. 	4	5	5	5 	Insurance:Unknown
8	1	Dr. Larouche spends a lot of time with me, her staff is right up to par with her, especially her nurse. All are very knowledgeable.  	4	4	4	4 	Insurance:Anthem
9	-1	.  	1	1	1	2 	Insurance:Workers Comp
9	1	Great care from Dr.Lewis.  He takes his time and sorts through stiuation to make the right medical decision for care. Staff is great. Very glad I met Dr. Lewis, will refer friends and family to him.  	5	5	5	5 	Insurance:Anthem
