dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	dr.  o'brien is a very understanding physician and spends whatever time you need 	5	5	5	5 	Insurance:Medicare
2	-1	Dr. Oidtmann is consistently reminded of his tardiness by staff with last three visits ranging from 15, to 40 and 45 minutes...he then raced thru what was an annual physical exam...he misprescribed a medication for high blood pressure and he failed to follow thru on a refill for another medication.He is a poor listener and lacks trust in hi his patients....  	3	1	1	1 	Insurance:Medicare
3	1	Dr.Oliver is the best I have ever been too. Whis is several since I was diagnosed with Scoliosis when I was 25.  At 58, my spine has deteriorated with the amount of physical work I do, however with Rebecca helping me which does not have to be excessive.  1-3 visits and I am good to go.  Her advice, caring and knowledge is the best I have had.  I have been to many in the past few decades.  Rebecca has given me relief quickly, faith and hope and that is huge considering the agony experienced with fear that I would never heal. Pain is HORRIBLE and she has saved me from many episodes that I thought were unsavable...Laureen  Thanks Rebecca 	5	5	5	5 	Insurance:Unknown
3	1	Dr. Oliver is THE best chiro I've ever been too.  She offers many more therapies than just your standard adjustment and has helped me tremendously.  	5	5	5	5 	Insurance:CIGNA
3	1	Great on knees and lower back, I would use her again if up that way.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Dr. Oliver is very easy to talk with and takes her time with you.  There was no waiting, and she's on my insurance plan.  	5	5	5	5 	Insurance:Harvard-Pilgim
4	-1	My father was a patient of his for years, and came to him after he had a stroke..and he sent him home, telling him to go to a facility. He said he had a seizure!it was a full on massive stroke, w/paralysis. My father passed away in September due to complications from the stroke.  I would not recommend  this Dr. to anyone.  	4	4	1	1 	Insurance:Medicare
4	1	Outstanding Doctor and staff. I have been with Mr. Olken for several years. Highly recommend this office for your medical needs.  	5	4	5	5 	Insurance:Harvard-Pilgim
4	1	Knows his stuff. very holistic. 		5	5	5 	Insurance:Unknown
5	1	Dr. Olive takes the time to listen to all of your concerns.  His is patient and has a really nice 'bedside' manner.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
6	1	Dr. Oxnard has been our family pediatrician for 3 generations now.  He was my mom's doctor, he was my doctor, and now he is my kids' doctor.  He is very friendly and respectful.  He knows what he's doing and is always available to answer any questions.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
6	1	Dr.Oxnard is a wonderful MD wonderful with my child and very thorough. My daughter loves him.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
7	-1	 	1	3	1	1 	Insurance:Unknown
7	-1	Dr. M. O'Connel of Pain Care Centers of Somersworth NH is Not the best of doctors in my opinion. He makes millions of dollars and yet he will not hire a nurse or anyone to process what a lot of health insurance Co.'s call PA's or Pre Authorizations!! He will not let any of the many medical providers that work Under him to provide Any patient with medications they may actually need if they require a Pre Authorization!! What type of doctor is too cheap to provide something the medical field as a whole deems as &quot;Basic/Standard' care&#63; This doctor also claims to know how to treat interstitial cystitis. Yet, the providers I had at his clinic Never Once actually did anything to help my IC over 6 yrs! The last time I saw one of his &quot;specialist&quot; she told me IC is Not painful! I asked why is IC also reffered to as &quot;Painful Bladder Syndrome&quot;&#63; She could Not answer me. Sadly this clinic is one of the largest in the NH,ME,VT area.But I would find any other place for the treatment of pain.  	 11/17/10	4	3	1	Insurance:Medicaid / Medi-Cal
7	-1	i went to this clinic trying to get drugs but they wouldn't give them to me! i love the way drugs make me feel and i just wanted to get high. that's discrimination! 	1	1	1	1 	Insurance:Unknown
7	-1	Dr. o'connel refused to treat me for my pain at his pain clinic because i am an ex- drugs user. thats discriminatin i thought. i would never advise anyone to go thare. also all the nurses treat you with such disrespect. that place really sucks. the doctor also gave my medical information to another doctor without my permission. that is ignoring patients prvicay right. he really is a bad doctor.  	1	1	1	1 	Insurance:Medicaid / Medi-Cal
8	0	She seems to push medications even though I could not afford it.  She seems to mean well but can come flighty and all over the place. 	3	2	3	3 	Insurance:Unknown
8	1	I absolutely &quot;love&quot; this Dr.  She is very knowledgeable and listens to you and welcomes your input.  She is not afraid to tell you if she doesn't know something and keeps working at it until she finds an answer.  Her office and waiting room is absolutely beautiful and peaceful.  I have a very rare condition, and she was not afraid to take on my case.  Other doctors. labeled me and she never did.  I have utmost respect for this woman, and she is very resourceful.  I appreciate the fact that she teaches me how to become my own advocate.  This woman is there for her patients and has informative blogs.  She is exceptional, and is to be thanked over and over again for all she does.  She is very thorough.   Thank you, Olympia Clark 	4	4	5	5 	Insurance:CIGNA
8	1	She is a kind, sensitive, and very smart doctor! I would recommend her as one of the best I have ever met. 	5	5	5	5 	Insurance:Unknown
8	1	She thinks outside the box, and it has finally helped me. I am feeling better than I have in years and am finally losing weight. I have tyroid issues and Insulin resistance issues.  Both are managed now thanks to Dr. Ochoa-Maya.  	5	4	5	5 	Insurance:Aetna
8	0	My very first experience with this Dr was awful waited 1 hour in the exam room...not a good start...then when I finally met her it was like she came in like a quick storm and out again...with 3 different prescriptions in hand...My main complaint about this Dr is she never calls you back she always has the nurse call you..if you want to talk to her then you have to make an appt to see her after you were just in...she also repeats alot of blood work that you have already had.. good thing for insurance or I would have been sent to collections..I would not recommend this Dr if you want to talk to the DR and not the nurse she dosen't have time for you unless you can make an appt and spend another $200 and something which is what they charge the insurance don't know what they charge without..Its a wonder why insurance is getting so out of hand...  	4	1	3	3 	Insurance:United Healthcare
8	1	I strongly disagree with the above posts. Dr. Ochoa-Maya is a Board Certified Endocrinologist. In all fairness to tis doctor or any other, you should have your facts straight before posting negative commentary. I find her to be exceptionally bright, AND she thinks outside the box. She is open to alternative medicine and may or may not incorporate that into her treatment approach. I highly recommend her as an endocrinologist.  	5	4	5	5 	Insurance:Medicare
8	1	I had been sick for months.  I had many tests that showed nothing.  My primary referred me to Dr.Ochoa-Maya,and I am feeling so much better.I find her personality is wonderful, she listens, and she explains things fully so i will understand.   She has helped me tremendously 	5	4	5	5 	Insurance:Harvard-Pilgim
8	-1	Just had 1st appt., doctor walked in told me I needed to start birthcontrol immediately. That will solve my problem. She never look at my previous records or did a physical examine.She also never asked how I was doing or what my concerns were. Most insincere women I've ever met. To worried about pushing drugs and acting like she knows it all.  	2	2	1	1 	Insurance:Harvard-Pilgim
9	-1	I completely agree with the above comments. She LITERALLY put in my file I was a hypochondriac when I was suffering from severe Graves Disease. Took me over a year to get proper referral. I have since been diagnosed with numerous neurologic and autoimmune conditions she refused to listen to. This woman should not be treating patients. 	1	1	1	1 	Insurance:Unknown
9	-1	I have been very disappointed with the treatment from this provider. She isn't very personable and her notes don't come across as stated to her. I was due for a yearly physical and her dept dropped the ball and I was relagated to someone I will NEVER go to again. I guess when you go from bad you get to go to worse. 	1	1	1	1 	Insurance:Unknown
9	-1	Dr Olnick was not a helpful doctor at all. She kept presenting me with options without guiding me on how to choose between the options. In general, I didn't find her taking a good interest in what I was feeling or saying.  	4	4	2	2 	Insurance:Blue Cross / Blue Shield
9	-1	She is not helpful at all. Every time I see her for something, she makes me feel like I am just over reacting. My whole family was using her as a PMD, and we are now changing. After a family member was hospitalized, he scheduled a follow up appointment with her. She had not read any of the medical records from the admission, had no clue what was going on. She does not coordinate care between all of the providers that the patient sees, which is the purpose of having a PMD. She is very condescending and makes the patient feel stupid. She never decides on a course of treatment, she just leaves it up to the patient. I am a nurse, and I would not recommend her to anyone.  	3	2	1	1 	Insurance:Blue Cross / Blue Shield
9	-1	I deleted the comment I was going to make after I read that&quot;very short&quot;(I assume they mean rude or nasty)comments will be deleted.That said,This woman should not be a doctor.She does not listen to you *at all*,doesn't follow up with ongoing medication (mine at least),and treats you like a hypochondriac if you have issues you want to talk to her about.And yes,she expects the patient to decide what their treatment should be.Very cold,uncaring,and condescending.I will not go to her for *anything* anymore,and have been looking for a new doctor.This may be hard after reading her office notes for our visits.She makes it very obvious that she thinks I'm a hypochondriac,and any new doctor I find will be reading these notes and assuming I'm ridiculous before the ever meet me.I assure,I am not(ridiculous OR a hypochondriac).I rarley went to the doctor for anything as it was.Now I won't at all until I can fix this issue.It says to be detailed,but not libelous.I really can't do it both ways. O. o 	4	4	1	1 	Insurance:Harvard-Pilgim
9	-1	I agree with the person who wrote: &quot;Comes across as not very knowledgeable. Instead of advising me of the right kind of treatment, she would simply list the various treatments available and ask me what I'd like to do. If I knew how to treat myself, I wouldn't need a doctor! I don't recommend this doctor at all.&quot;  I too have experienced these same issues, but have also run into additional problems.  I did not feel that the doctor was very attentive and didn't really listen to my concerns.  I felt that the doctor did not take my concerns seriously and came off as very condecending, rather than showing actual concern.  And, she did just list off a number of different options and was looking for me to make a choice, rather than providing any sort of reccomendation.  I can get that kind of information online without even setting foot inside a doctor's office.  I basically walked away feeling much worse than when I went in. 	3	3	1	1 	Insurance:Unknown
