dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr Vanderline was my PCP. Then Gyn befoe medicare cuts went too deep and she couldnt accept anymore... but if i can get back to work someday she WILL BE my dr again... i can not say enough nice things about her... i have a very complicated medical history and she is the best doc i have ever dealt with hands down... i have had some really horrinle experiences... she is cautious and very caring and explains everything fully.... she will treat you like family (I well the family members you love )....   she is the only doctor i know who i trust without question and for me that is a huge deal! 	5	5	5	5 	Insurance:Medicare
1	1	Dr. Venderlinde is my GYN. She performed a D &amp; C on me and I can't say enough good about her.  I feel very lucky to have found her! 	4	4	4	4 	Insurance:Harvard-Pilgim
1	1	I saw her when she was with Harbor Women's Health, and really liked her. I was sorry she left (forced&#63;) the practice. 	3	3	5	5 	Insurance:Unknown
1	0	Doctor seems informed, but I had to postpone a D&C; due to financial problems and she fired me as a patient.  First she tried to tell me I had uterine cancer, to scare me into doing it, but after she &quot;fired&quot; me (which she did by sending me a letter with my records) my uterine biopsy report showed I had no cancer.  I returned home after several months later and saw my regular gynecologist who said I didn't even need to have the surgery that Vanderlinde had been trying to push on me since my very first visit. He said I could have it, but there it wasn't necessary.  Also that the uterine polyps she said I had were actually polypoid tissue in all likelihood that all women usually have.  As a precaution he's going to have me do another ultrasound in a few months, but Vanderlinde's diagnosis was clearly her own agenda and when I didn't comply she became abusive and treated me unethically.  	4	3	3	3 	Insurance:Anthem
2	1	Great man saved my life ... What a great doctor one who thinks he's better than others . 	5	5	5	5 	Insurance:Unknown
3	-1	She has the worst bedside manner I have ever known. Just terrible, makes you feel bad about yourself. 	1	1	1	1 	Insurance:Unknown
3	1	Dr Verani and her staff are always polite and professional. I feel like when I go for my appts that I am the only patient and my appts are never rushed. Dr verani always takes the time to answer all of my questions and makes sure I understand the information she is giving me. I would never think of going anywhere else.  	 7/29/11	5	5	5	Insurance:CIGNA
3	-1	do not go here.. she has the WORST bedside manner..  she will tell you your fat and quit smoking every single time 	3	1	1	1 	Insurance:United Healthcare
3	1	Dr Verani is great!! I have read alot of the comments on this site and everybody mensions the wait time is a few minutes, that is because she does not have the insurance companies telling her how long she is to spend with each patient. Dr. Verani and Karri PA-C take the time with each patient, they listen, they take your oppinion seriously. I always look for a doctor that is own there own and not part of a big group. I have always felt as though I was being treated like cattle by those big practices, in and out, next, in and out ect. Dr Verani is a wonderful woman. I always feel I get the best care at her office.  	5	3	5	5 	Insurance:Aetna
3	-1	I am very upset and disappointed by Dr. Verani's office. The staff actually called me a drug addict in the waiting room in front of 4 other patients along with a short description of all the rx's they've prescribed me. These things were said with malice and embarassment being the objective.My HIPAA rights were violated and I was treated with the utmost disrespect. Also, they had tried to bill me for services that were not rendered (a tetanus vaccine). I DO NOT RECOMMEND this practice. They are rude and VERY unprofessional. Myself and several others are currently involved in s lawsuit against them. 	1	3	1	1 	Insurance:Unknown
3	1	I'm a relatively new patient (5 years +/-), but I had a stroke last year and Dr. Verani was there for me the whole time-- visiting me in the hospital daily, taking my paranoid phone calls in stride and working with my neurologists to get me back to form. And I have never had trouble getting fast appointments or returned phone calls for my toddler-- which is helpful when she is sick and cranky! The office staff is very sweet and personable-- in the past it seemed that they did have some trouble with organization and returning phone calls, however, this has vastly improved in the last year and a half or so.  I definitely recommend! 	4	4	5	5 	Insurance:Blue Cross / Blue Shield
3	1	She is an effective family practice who cares (and nags) about her patients, having ben with her over 10 years. Buzy enough you occassional have to wait, but not so long you feel forgotten.  	4	3	4	4 	Insurance:Blue Cross / Blue Shield
3	-1	Terrible...she never calls back, never has appointments and never is open period. I do not recommend her at all.  	1	1	1	1 	Insurance:Anthem
3	1	Dr. Verani and her entire office staff have been absolutely wonderful to me during a prolonged period of illness. She coordinated my care with several sepcialists and was great keeping me informed about everyhtign going on. I moved 50 miles away but continue to see Dr. Verani as my primary.  		5	5	5 	Insurance:Blue Cross / Blue Shield
