dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
5	-1	commentsFirst I was treated like scum for not having insurance. I went in to get a filling done. They told me I needed a root canal. I said I couldn't afford the root canal and was fine with leaving. The dentist than back tracked and said that was worse case scenario. Before the procedure another woman came into the room and told me I needed to pre pay for the procedure. I was already sitting in the chair. I questioned this and she said it was procedure. I asked how can someone pre pay for something they don't know what it is yet. After catching her in a lie and discriminating against me for not having insurance she left the room. The dentist did the filling and the root canal was never needed. I saved 2,300 just by not having insurance they could rob. Please people I'm real and this happened. This place is awful and they treat people like trash and try to take advantage of you. I could have had 2,600 dollars in bills for something I never needed. 	1	2	1	1	Insurance:Unknown
5	-1	 A big disappointment, did a lot of research and thought I have found a good dentist with reasonable cost for a tooth implant.  I am now stuck with pain and might eventually needed a 2nd implant to support the first.  When I 1st walked in the office, they took cast scan of my full month to determine the proper location for placing the implant, the cast scan was outrageously expensive and I was charged for $300 co-pay. The implant ultimately was not placed deep enough which causes pain on a regular basis. Went back to have her do something about it, she refuses to admit the malfunction of her work but yet had me took another cast scan for another tooth implant.  Never go back to her for any more dental work done.  I am now stuck with a huge payment and a painful tooth………….  	4	4	1	2	Insurance:United Healthcare
5	1	commentsyea thirty six thousand, no insurance all cash.  and probably the best $$ i ever spent. the staff was better than can be dreamed for the work is second to none and the cost is in line with every other dentist out there. I'll be going back to her for life and recommending her to everyone i meet. 8 procedures in 12 months for replacing all my teeth with implants. and i can't wait to go see them all again. i never looked forward to seeing my dentist before Dr. Wang,  i do now.  Thanks Dr Wang, Lynn, Michelle, Julie, theresa and everyone else,  hope to see you all again soon Paid/Co-pay:$36000	5	5	5	5	Insurance:Unknown
5	-1	commentshad a broken tooth, had exrays was told just needed crown done,said roots looked good, had it done in one day using new type of glue. crown fell off in 2 days went back doctor,she was out of town, assistants glued back on using old style glue held fine, never received any phone call to appologize , after a few weeks started to have pain in tooth and had it rechecked she took more exrays and they were fine and then proceeded to file new crown to match upper tooth bite. told me if that didnt work i would need a root canal. well its still the same and im not going back to her for a root canal especially when she told me roots were fine in the beginning, ill get a second opinion. Especially when everytime i go there somone is being scheduled for a crown or a root canal. wake up people. thats why she has a brand new office   fast talker!!! 	3	3	3	1	Insurance:Unknown
5	-1	 I had a root canal done by Dr. Wang. She was very good at giving the novocaine but she did it in one session, took an x-ray and said all I needed was a post and core and crown for the tooth. I moved out of the area and went to a new dentist. That tooth was bothering me. He took an x-ray and come to find out she didn't finish it or fill it. It started to decay from inside under the gumline, which in turn affected the tooth in front of and behind it. I had no choice but to have all three teeth pulled. I know alot of people wait a long time to have the crown because of money but she put a temporary filling in and charged me for an amalgam filling. So needless to say I am now out 1400 dollars and 3 teeth.  Thanks 	3	1	3	1	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:$1400
6	-1	 Dr. Waren has great bedside manner, but I was recently disappointed in a rushed diagnosis, resulting in an MRI I didn't need that cost me more than $2,000. When the results came back negative and I called her to further discuss what could be ailing me, I never received a return call. This was truly unexpected and disappointing. I am considering switching to another physician.  	5	4	1	2	Insurance:Anthem
6	1	 Dr Waren is wonderful and always lets her patients have a say,as to the treatment they would prefer.  		5	5	5	Insurance:Medicare
6	1	commentsCaring honest care. 		5	5	5	Insurance:Unknown
13	1	 great office and great doctor.  Veru helpful and kind 	5	5	5	5	Insurance:Anthem
13	-1	commentsDoesn't listen. No instructions for meds. Over medicated me. Never knew who I was when I came for an appointment. Didn't address the cause of my problem. Hard to get an appointment because she only works 2 days a week. Dismissive. Doesn't ask questions. Doesn't bother to diagnose; just sent me home with a scrip that didn't help. I wound up returning to my Chinese doctor. 	2	5	1	1	Insurance:Unknown
