dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
8	1	commentsHe is a nice man but I would not recommend him, He put me on some meds and I ended up in the hospital. Also he came by to see me at 10 and 11 o'clock at night. What kind of doctor visits his patients so late. I don't recommend him. 	3	3	4	3	Insurance:Unknown
8	1	 very nice and caring doctor.   easy to talk to 	5	4	5	5	Insurance:GHIPaid/Co-pay:$15
12	1	 He is very friendly and open 7 days a week. Appointments are not required.  	5	4	5	5	Insurance:AetnaPaid/Co-pay:$20
12	-1	commentsI visited Dr. Babu for an annual checkup.  I had been there before, but not for a checkup.  The nurse did not use a sphygmomanometer to measure my blood pressure, but the same digital blood pressure monitor you could buy at a store, which is not accurate.  I gave her blood and urine samples.  When Dr. Babu came in, he asked if everything was OK, and I said yes.  He then but a stethoscope against my back to check my breathing and then put it against my chest to check my heart.  And that's all he did.  The checkup could not have taken more than a minute.  He didn't check my prostate or genitals.  When I told him I had injured my wrist while working out, he didn't bother to feel it or even look at it, and instead said to get it X-rayed and go to an orthopedist.  He spent most of the time working on the computer in the room.  I have never seen a more disinterested medical or non-medical professional before who did such a perfunctory job.  I will not go to Dr. Baby again. 	3	3	1	1	Insurance:Unknown
15	1	 I am shocked to see some of these negative reviews about Dr Badalaty's office. I have been bringing my boys to her since they were 3yo. They are now 15 and 19. I HAVE NEVER HAD A NEGATIVE EXPERIENCE IN HER OFFICE, WITH STAFF OR OTHERWISE!!Everyone there is very caring and professional. Dr Badalaty always goes out of her way to make the patients AND the parents comfortable! There is a lighthearted and compassionate feel to the doctor and staff. I always leave with questions answered, and have on occassion had to call to ask one. Dr Badalaty personally responed to my call.   Fun, energetic and professional office...  CHEERS TO YOU DR BADALATY AND STAFF!!!! 	5	4	5	5	Insurance:Blue Cross / Blue Shield
15	-1	 Awful experience for my young son. I made Dr. Badalaty aware that my son was afraid of dentists and when he got upset she called him pathetic. Unfortunately my son didn't tell me this until we went to a new dentist. She damaged the tooth next to the one she was supposed to be fixing with the drill and tried to say it was a cavity.  	2	1	1	1	Insurance:Delta Dental
15	1	commentsDr. Badalaty has a beautiful office loaded with video games, stuffed animals and prizes. The staff is kind and efficient. My kids LOVED the experience. Yes you will be asked to wait in the waiting area while your child is being treated but if there are any issues she will bring you back into the treatment area and point them out to you. I would imagine that it would be very difficult for her to work if parents were allowed to stay. I have been to other pediatric dentists that have the same policy. I highly reccomend Dr. Badalaty 	5	3	5	5	Insurance:Unknown
15	1	commentsYOU ALWAYS WAIT AT LEAST 45 MIN. NOT GOOD W/ YOUNG CHILDREN. MADE ME 3 YEAR OLD CRY TWICE. WOULDNT LET ME GO IN W/ MY 5 YEAR OLD. DO NOT RECOMMEND FOR YOUNG CHILDREN 	3	2	3	4	Insurance:Unknown
15	1	 Dr Badalaty is Excellent. My kids had previous bad experiences with another dentist and were afraid. Now a year later they are excited to go to the dentist and go into the dental chair independently thanks to Dr.  Madeline 	5	4	5	5	Insurance:Delta Dental
15	-1	commentsThis dentist has a policy that parents are allowed with the child in the exam room only on the first visit. On my 3 year old daughter's first visit, my daughter didn't want to sit still. Instead of gently dealing with the situation, Dr. Badalaty was very rough with her. I am afraid of my daughter becoming traumatized from her experience, which is the opposite of what should happen at a first dentist visit. Dr. Badalaty then insisted that she be examined alone next time. No way, after that type of treatment, I would be afraid to let her alone with Dr. Badalaty. 	3	5	1	3	Insurance:Unknown
15	0	 This doctor was outright rude to me. I took my child to extract teeth that were blocking permanent tooth from coming out properly. When I asked to talk to her about what is going to be done, she was outright condescending and rude. I have taken my two kids to her for over 5 years and have always found that she seemed to hate it when asked to explain things. This occasion however, she displayed utter lack of professionalism and that will be the last time my kids went to her dentistry. Wouldn't recommend her to anyone anymore.  There are lot of good dentists around so her attitude is not worth putting up with 	3	4	1	4	Insurance:Delta Dental
15	1	 Dr. Badalaty is the BEST!!  She is a gifted dentist and she is absolutley wonderful.  I am so happy that I was referred to her.  She is truly a special dentist who can put even the most apprehensive kids at ease.  I highly recommend her to all of my friends with young children.  	5	5	5	5	Insurance:Blue Cross / Blue Shield
15	1	 Very patient and caring professional. The kids are actually not that upset about going to the dentist.  	5	4	5	5	Insurance:Aetna
15	1	 She is the greatest dentist ever. As a child I was petrified and still am due to many bad experiences. My children have been spared and look forward to the visit.  She is kind and her staff is wonderful! 	4	5	5	5	Insurance:United Healthcare
15	1	 I have mixed feelings about this dentist.I always respect a doctors office policy,but when it comes to seeing what any doctor is doing to my child, that is 100% my decision.My daughter is 6 years old, not 16,and I have every right to be in the room with her. I am not one of those pesty mothers who hover over there child at the doctor and I would like her to be independent.I should not be told by ANYONE that I cannot be in the room with my child.If you want to be in the room while your child is a patient then this is not the dentist for you.  	2	4	3	4	Insurance:United Healthcare
15	1	commentsI LOVEEEEE Dr. Badalaty. I have never experienced anything wrong with her. GO TO HER!!!!!!!!!! 	5	5	5	5	Insurance:Unknown
15	-1	 Surprise $50 co pay, never told there was a bill. When I told her I didn't have a check book and asked for a copy of the bill and I would pay it. Dr refused and would not see my child. Had been taking my kids there for years but no longer. When I went to another dentist and requested the files Dr refused. Would not recomend to any one. Poor service.  		1	1	1	Insurance:Delta Dental
15	1	commentsHad an excellent experience from the moment I walked in the door. The staff could not have been more helpful from the girls at the desk to the girls helping the doctor. I had a few questions and everyone was more than willing to answer them and share their experience.My 4 year old had the best time and asks me all the time when are we going back to visit Dr. Madeline&#63; 		5	5	5	Insurance:Unknown
15	-1	commentsSurprised us with a bill for $50 for fluoride treatments we DID NOT REQUEST!!!!!!! I WOULD NEVER USE THIS DENTIST AGAIN !!!!!!! 		1	1	1	Insurance:Unknown
15	1	commentsReally good with the kids - fun office! 		5	5	5	Insurance:Unknown
