dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Great doctor! Highly recommended! 	5	5	5	5 	Insurance:Unknown
2	1	Friendly office. Seen on time. Helped me see better than I have in years. 	5	5	5	5 	Insurance:Unknown
3	-1	bad 	1	1	1	2 	Insurance:Unknown
4	1	i am thrilled with the treatment and care from dr hagen. i had tremendous foot pain for a very long time i did  not want surgery because i am too busy. i was referred to dr hagen and she performed laser treatment and i am pain free.  thank you dr hagen 	 5/23/11	5	4	5	Insurance:Aetna
4	1	Not enough bytes on my computer to express the highest acclaim for Dr.Hagen. I am walking on air again!!! Her consideration and patience to exlpain any procedure, and then be truly sympathetic makes you feel as if you a part of her family. Her staff is as warm and nuturing to your needs,and as attentive to your concerns  to all procedures. You leave this estetically beautiful office knowing you made the right choice with Dr. Jill Hagen. By the way, her sense of humor and compassion is the key to comfort... Pain has turned into pleasure, and Dr Hagen gave me 5 inches back, that is I am in my sexy heels again, and she made 2 people very happy!!!I adore her and staff, and this is one trip to the DR. I will never mind, actually look forward to the TLC   Thank you Dr.  Hagen 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	Dr. Hagen was very professional and helped me with my foot problem that had been bothering me for a long time.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
4	1	Dr. Hagen is a wonderful podiatrist who really cares a lot about her patients.  It is very rare to find a doctor this dedicated.  	5	5	5	5 	Insurance:Anthem
4	1	Very thorough, detailed and caring. She took the time to treat me as a person, not a number.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	-1	Dr Hamilton was very nice. However,  there are serious issues for her office staff. Most staff gives you an attitude + rude and don't really want to help. They will charge you $1 per page for your test result. For my case it was just a blood test and pep smear but they refuse to tell you how many pages there are. I feel like this &quot;charging you for test result&quot; procedure is a scam. There is definitely an integrity issue at this office and this is just not right. It doesn’t matter how good the doctor is it’s just not worth going through all the mess with the office staff. I definitely regret going there at the first place.  	 10/7/10	1	3	1	Insurance:Blue Cross / Blue Shield
5	1	I absolutely adore Dr. Hamilton! She is very kind and knowledgeable, and her demeanor makes my annual exams bearable.  The office staff isn't quite as sweet at Dr. Hamilton, and have often sat in the waiting room for 30 or more minutes to see her.  The downside is that the practice only books appointments a month in advance, so be sure to have a very flexible schedule if you want to see her.  The last appointment on her &quot;late day&quot; is 5pm and is very hard to come by, so I suggest seeing her in the am.  	2	2	5	5 	Insurance:Aetna
5	0	Dr. Hamilton technically is a great doctor.   in the delivery she was kind and present which allowed me to relax.  The care during the pregnancy was not as good.  A lot of pressure was put on me to have an amnio because of my age 38. she had me so stressed out that i did not think there was a possibility of having a healthy child. She knew i was not terminating the pregnancy regardless.  During the pregnancy my hemoglobin went to 8 and they did not even tell me until i asked because i was having such bad symptoms.  Staff acts like they do not know you your whole pregnancy and you can never talk to the doctor.   you always get a call back from a &quot;nurse&quot; 	2	2	3	3 	Insurance:Blue Cross / Blue Shield
5	1	I've been a patience with Dr. Hamilton since I was 19yrs old. I was so afraid to go to an OBGYN prior to going to Dr. Hamilton. She talked to me and explain everything prior to do it. She makes you feel comfortable. I recommended 6 ppl to Dr. Hamiltom and each one of them love her. I recommend anyone to go to her and see for yourself.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	After an exhaustive internet search for a new doctor, I came across this site and found Dr. Hamilton. Although there weren't many comments, I went with my instinct and made an appointment. I was extremely pleased with my visit. Dr. Hamilton made the time to get to know my medical history and was really helpful. Staff were pleasant and I wasn't rushed in or out. This is the complete opposite from the experience I've had for the last 14 yrs with Dr. Irani. (Bergen county residents, pls do yourself a favor and find a new doctor if she's your doctor). All the ratings here about her are absolutely accurate.  Good luck with your search.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	i LOVE dr. hamilton - she delivered my daughter last year and i was more than thrilled when i found out she was doing my c-section...what i was NOT happy about, and ultimately left the practice over, is that i was just over 15 minutes late for my appointment...i came from work and hit extra traffic on the parkway and even after a phone call to let the staff know, i got there to find out she wasn't going to see me and i had to reschedule.  i was not happy that all the times i had been there over the course of 8 years i was always on time and the one time i drove an hour and was a little late, they made me reschule.  instead i found another dr to see, closer to home, and have been very happy with the care - starting with the office staff which is a little lacking at dr hamiltons.  again, the dr is great once you are in to see her..so my advice is not to be late! 	3	4	2	5 	Insurance:Unknown
5	1	i was so nervous due to my part experiences but after leaving Dr. Hamilton i actually went and bragged instead on how much i loved her. i def recommend her.  no wait , you get your own personal time and you do not feel uncomfortable 	3	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	I really like her..She is so understanding and caring..She listens to your concerns and does not rush you..  	 8/29/07	4	5	5	Insurance:Blue Cross / Blue Shield
5	1	Excellent doctor. The staff was very friendly and I hardly waited to be attended by Dr. Hamilton (maybe waited for 5 minutes tops).  	5	5	5	5 	Insurance:Unicare
5	1	I love her, she is great, she listens to you without you feeling rushed out like some doctors do. She takes her time and explains in detail. Great doctor.  		5	5	5 	Insurance:Oxford
5	1	Absolutely great doctor- caring & knowledgable but GOOD LUCK getting thru the office/support staff. VERY, VERY UNPROFESSIONAL !! The doctor's appointments get messed up, patients are not informed when office closes because of snow, the Doctor will NEVER receive your messages and you will NEVER get a chance to talk to her on the phone!! 		4	5	5 	Insurance:Unknown
5	1	Dr. Hamilton is a wonderful specialist and a great person who works with all her patients.  Thank you! 		5	5	5 	Insurance:Oxford
5	1	She is a very caring and intelligent doctor. She listens to my concerns and is respectful. There are very few doctors I'm comfortable with and she's one of them. 		5	5	5 	Insurance:Unknown
5	1	Dr. Hamilton is wonderful! She is usually very timely for office visits and listens to your concerns and is very thorough.  Highly recommended! 		5	5	5 	Insurance:Blue Cross / Blue Shield
6	-1	I dont think Dr. John Hagaman showed me much respect as a patient. Good thing there are other doctors in the office you can ask for.  It's a good idea to ask the doctor to slow down, take his time, and bring a long list of questions. 	3	1	1	1 	Insurance:Unknown
7	-1	Dr. Haddad's staff was so kind, fitting me in right away as a new patient. They were understanding and catered to my schedule, as I was seeing many doctors while off of work for my illness. Dr. Haddad was the exact opposite of his staff. From the moment he walked in the door, he was impolite. I brought my lab work with me, to review tests I had already had done, and he took them, put them under his computer, and never referred to them. He took 20 minutes with me, when his staff scheduling the appointment said they schedule new patients for 1 hour. He cut me off several times while I explained my symptoms, and then, after my appointment, he never called me back with my results, which turned out to be positive. His staff took my call about the results, had the doctor come to the phone, and then were nice enough to mail me a copy of the results and fax them to my GP. I strongly recommend seeing the other doctor in this office, and would gladly come back for the front desk girls alone.  	5	5	1	1 	Insurance:Aetna
8	1	 	3	3	5	5 	Insurance:Unknown
9	1	AWESOME &amp; personable Doctor.  Goes out of his way to make sure that you are ok.  Very caring &amp; concerned !! 	5	5	5	5 	Insurance:Unknown
10	0	My son has been going to this practice from the time he was 5. Most of the time they are OK. But he is 15 now and the service is starting to lack. I had been saying for a while that he was tired, not himself, and just not right - a mom knows. After a long discussion, and prodding, he grudgingly agreed to some lab tests but he didn't seem happy about it. We found out he had mono but he didn't really seem concerned since he was in &quot;recovery&quot;. A couple of months later, I asked him if he should retake the blood test and he really blew me off..like what would the point be&#63; The point would be that we would know if he was getting better or not! Isn't that important&#63; Have really gotten dissatisfied with this practice. His partner Kahn is better, more caring. Plus you always have to wait so long for to see the dr. Just not happy there anymore.  	4	2	2	3 	Insurance:Oxford
10	1	Excellent doctor. This is the best doctor you can get for your kids. He is a doctor that other doctors send their kids to.  		5	5	5 	Insurance:Aetna
11	1	Excellent doctor, there won'be be another like him. 	5	4	5	5 	Insurance:Unknown
12	-1	If you go to this Dr or any of his surgi centers always question everything and get copies of all records every time you go.  Do not leave the office until you have your copies.  	3	1	1	2 	Insurance:Aetna
12	1	Very professional however, after the biopsy was done and the surgery needed to be scheduled was informed he no longer went to facility that accepted insurance. Would have been nice to know this prior to becoming established with him, Now I have to start all over again with a new MD.  	5	4	4	5 	Insurance:Blue Cross / Blue Shield
