dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Outstanding person/dentist. Responds in a timely manner for emergencies.  	5	4	5	5 	Insurance:Delta Dental
2	1	Excellent, excellent, excellent!  One of the few doctors I've seen who doesn't rush you, and gives straight answers.   Just fabulous! 	3	3	5	5 	Insurance:Aetna
2	1	. He is a great doctor, listens and troubleshoots very well!  Have been our primary doctors for over 4 years!!! 	5	4	5	5 	Insurance:United Healthcare
2	1	Excellent dr.! Highly recommended! Unfortunately, my insurance changed to Horizon POS and they don't take it.  		5	5	5 	Insurance:Oxford
3	1	Dr. Langer and his staff gave me an appt. when I was not even a patient the same day.  I was in pain and they did all the right things.  I plan to make him my dentist now.   I am so thankful he was there in my time of need! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	Very concientious. Always tries to help and is eaily reachable. I highly recommend him to anyone who needs a Dentist.  	5	5	5	5 	Insurance:Aetna
3	1	Fantastic dentist. Our whole family loves him. I've had two crowns and a root canal with absolutely no pain. He offers late appointments on specific days during the week, so you don't have to take off work to go to a dentist appointment. He is very friendly and goes out of his way to help you. I would highly recommend Dr. Langer. 	5	5	5	5 	Insurance:Unknown
4	1	very friendly & knowledgable physician 	5	5	5	5 	Insurance:Unknown
5	1	great diagnostician.  explained things in great detail in language i could understand 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	-1	I had an appt with Dr. Sorvino, the thyroid expert in the practice, and waited a long time for this appt.   When I checked in I said I was there for an appt with Dr. Sorvino.  I was ushered to the exam room and several minutes later Dr. Lachman walks in!  He then told me Dr. Sorvino handles thyroid issues so come back and see him!  New patients beware of bait and switch!!  Very disorganized or very dishonest practice. 	1	1	1	1 	Insurance:Unknown
5	-1	The worst doctor experience of my life.  The office took weeks to submit prior authorization forms for the prescription Kanowitz wrote.  They never returned my messages or responded to pharmacy calls.  I talked to the insurance company and they said the office was being ridiculous, and considering that insurance companies are by nature ridiculous, I think that's pretty bad.  Take my advice and go somewhere else. 	1	1	1	1 	Insurance:Unknown
5	0	I was highly recommended to Dr Lachman and saw him 3 times for the same condition. He told me repeatedly that I had acid reflux and even doubled my Nexium dosage. I knew myself well enough to know that this wasn't my problem and voiced that to him. Even so, I went home and tried the Nexium for a month. With absolutely NO improvement, I started a search on other doctors and came across Dr. Anthony Jahn, who is associated with the Head and Neck Center of NY. At the time, he had a NJ office that I went to. I told him that I was being treated for acid reflux and 5 minutes into the exam he told me I did NOT have acid reflux. I was SO relieved to hear him say that!! I was diagnosed with a voice disorder called spasmotic dysphonia. It is characterized by periods of uncontrolled vocal spasms where the afflicted person has to make a conscious effort to speak. I honestly felt that the drug company was giving Lachman incentives to prescribe Nexium.  He was the worst! See Dr Anthony  Jahn 	4	4	4	1 	Insurance:Blue Cross / Blue Shield
5	1	Yes, Dr. Lachman's office is busy, however in the 4 office visits ive had with him i don't think it reduces the quality of care. he has always spent the time i needed him to spend with me, and even took time to talk to me about college selections/careers in medicine etc, so really i think people who are saying he rushed with them perhaps don't understand the concept of efficiency, and that it doesnt mean he is compromising their care. That the office is so busy clearly means many people in the area know he is the best, and want him to treat them.  	3	1	5	5 	Insurance:CIGNA
5	-1	I am giving Dr. Lachman a very poor review. He rushed me in and out. I had almost no time with him. He sent me on a crazy doctor visit frenzy. After a lot of money spent and a lot of time off of work, we was able to tell me, nothing. Rushed me in and out in 4 minutes and charged me $200 that my insurance wouldn't cover because the &quot;quick&quot; visit was unnecessary. (I have very good insurance, by the way). I will never go back and I will never recommend him to anyone I care about. His complete disregard for his patient's well being should not be taken lightly. On a side note- Dr. Lachman told my brother his hearing was perfect: 5 months later, he completely lost all hearing in his left ear.  Is that quality medical care&#63; 	2	1	1	3 	Insurance:Blue Cross / Blue Shield
5	-1	I liked Dr. Lachman very much, very nice bed side manner, however, his office is like a factory.  They schedule an appt for every 10 min., so you don't have much time to spend with the dr.  I felt he wasnt thorough enough during the exam, & I was rushed thru, he never read my films, or continued with my problem, as he was already calling the next &quot;customer&quot; into the office.  I wouldn't go back only because of the busy factor and lack of followup.  I went based on his good reputation from the internet sites.  	3	2	2	2 	Insurance:Blue Cross / Blue Shield
5	1	I was ref'd to Dr Lachman a few years ago for sinus issues; was so impressed with him that I went to him for some issues that had been diaagnosed as Meniere's Disease, then diagnosed as other things years ago. He did diagnose as Meniere's and I do have confidence in his diagnosis and plan for treatment. Heartily recommend him.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	I went to Dr. Lachman for years and then after my young children were treated by him as well. He is by far the BEST and would suggest the only one to go to in the practice. Unfortunately, he partnered with Dr. Sorvino, who is the worst. Wonder how that happened&#63;&#63;&#63; Dr. Lachman, possesses a warm, caring attitude; unlike Dr. Sorvino, who has yet to learn this and feel is book-learned and much too interested in the $$$ rendered. Last, Dr. Lachman is keenly knowledgeable and targets the diagnosis right on! 	5	5	5	5 	Insurance:Unknown
5	1	My family has used Dr. Lachman for many years. He is an outstanding professional. He has always been compassionate, extremely knowledgeable, returns phone calls always very quickly. In situations that he can not handle, he will refer you to another excellent physician and remembers to follow up with you! This is a 5 star office all the way around ~ great support staff in office~ other doctors are wonderful also! 	5	5	5	5 	Insurance:Unknown
5	1	Exellent doctor; professional, knowledgable, would definitely recommend him. I had a leison in my throat and he definitely is keeping his eye on things; tests, biospies.  		5	5	5 	Insurance:Aetna
6	-1	 	1	1	1	1 	Insurance:Unknown
6	-1	Horrible doctor. He is quick to diagnose and rushes out patients. His office staff is rude and inattentive and do not care. Overall Please do not see this doctor. I'm surprised he hasn't faced a malpractice suit.  	1	2	2	1 	Insurance:Medicaid / Medi-Cal
6	-1	This doctor wants to give out treatment without diagnosis.  He looked at my throat and gave me two antibiotic shots and a round of penicillin for strep.  I asked how he knew it was strep, and he said, &quot;I can see it&quot;.  Statistics state that doctors are wrong about strep without a test 50% of the time.  I told him I had a pain in my back.  He didn't touch me or ask questions, but offered to give me a shot to relieve the pain.  I'm scheduling an appointment with my new doctor as I type.  	5	3	1	2 	Insurance:Blue Cross / Blue Shield
7	1	Very good doctor. Great service provided by all staff.  	5	4	4	5 	Insurance:Blue Cross / Blue Shield
8	1	. Great pleasant doctor, She answered all my questions, and resolved my child medical problems, very professional 	5	5	5	5 	Insurance:Molina
9	1	Very caring and gentle.Takes time to explain test results and plan of care. Had surgeryand was happy with results.As a nurse I know when I meet a good MD that I would recommend to my family and friends. 	4	3	4	4 	Insurance:Unknown
9	1	.  	1	2	5	5 	Insurance:Medicare
9	1	Dr. Lake is an excellent Dr. very helpful & explains everything. took time with me & didn't rush me like most Dr.'s do. He is a very caring Dr. The staff is very nice & helpful. ( i wrote on the other Dr. Lake in Oakhurst it is the wrong Dr.) I meant this Dr.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
9	0	His staff is rude and I saw him and his partner and Parker and avoid.  One gave cream for fissure the other didn't even look and goes you need surgery.  Secretary called and said it was booked for 2 days later I explained to her I wasn't ready for that and had to consider and arrange care.  She completly ignored me and said you need a ride take a cab.  How desperate are they for surgery.  SCARY.  PS:  I thought I might of been pregnant which is why I wanted to wait and guess what I was.  AVOID THIS GROUP and PS:  I'm A RN in this state and these guys give our field a BAD NAME.  	1	5	2	3 	Insurance:Blue Cross / Blue Shield
9	-1	He botcher a bowel resection, I now have a colostomy bag.  My white blood cell count is high due to infection.  I was leaking fecal matter into my abdoninal cavity for 24 hours before he acted.  His associate ignored the 4 calls from the hospital nurses while I was leaking.  AVOID THIS DOCTOR AND ATLANTIC SURGICAL GROUP AT ALL COSTS. 	1	1	1	1 	Insurance:Unknown
9	1	Dr. Lake is wonderful. He is professional and caring and answers all questions in depth and with patience. The surgical experience went extremely well and we would recommend him to anyone. His staff is kind and concerned as well.  	 9/10/07	5	5	5	Insurance:Blue Cross / Blue Shield
10	1	Compassionate and knowledgeable Physician 	5	5	5	5 	Insurance:Unknown
11	-1	My son who was about 11 at the time needed teeth pulled, the dr. gave him a liquid sedative that tasted really bad, when my son said he didn't like the taste, the dr. said &quot;so go home&quot;.  Very unprofessional way to speak to a child.  I had a tooth pulled by him that got infected, he couldn't care less.  Will never go back to him.  	5	4	1	2 	Insurance:Blue Cross / Blue Shield
11	-1	I had a bad experience with this dr, I broke my jaw and went to the Er and no Dr was on call and they referred me to dr lad man to see him the next morning. The xray technicians advised me they saw it was broken and provided with stays to show dr lad man. When I went to his offic the staff was very kind and friendly but dr lad man gave me only 1 min of his time and said he didnt see a break to go home and take Tylenol. And when leaving his office they tried to charge me $120.00 for sending me home in pain. I had to go to a new Dr who saw the break in the xrays and also took his own and wound up sewing my jaw shut. Dr lad man made a terrible call and did not give me a minute of his time but charged me for it. I still refuse to pay that. 	5	5	1	2 	Insurance:Unknown
11	1	He is the most gentle and kind person.  He  is soft spoken and puts you at ease.   Excellent work, too! 	5	5	5	5 	Insurance:Aetna
11	1	Dr. Ladman is an amazing surgeon. 	5	5	5	5 	Insurance:Unknown
12	-1	I refused to come back for a second visit for a tick bite and another $25 co-pay even though I told them I was out of work and the doctor fired me. They refused to treat me or my family and refused to release my records until I pay the $25.  	1	1	1	3 	Insurance:Blue Cross / Blue Shield
12	0	I have been going to Your Doctor's care for 10yrs, I have never met a doctor it was always a nurse that checked on me, given I am healthy and only complaint I have had was cold or flu. This is the case for routine examination.  	3	3	3	3 	Insurance:Aetna
12	1	i have to tell you, Dr.Landesman is simply amazing! i have used Your Doctors Care since moving to the area in 2000 and have been very happy there! The Dr.s there are all wonderful, but Dr.Landesman is a cut above the rest! Really just the nicest guy who is sincere when you have a concern or are feeling awful.  I distinctly recall one time when I was mortified that I had split my nailbed in half at work. I drove over there scared, bleeding, alone, thinking I needed stiches and not knowing what to do.  Dr.Landesman was great! He reassured me that they would be able to help me, had a nurse help him to clip my nail shorter to avoid getting bumped, cleaned it up, splinted it and wrapped it up for me.  No pain at all! I know it seems minor to most, but I was really frightened! I guess what I'm trying to say here is that no matter what,he will always treat you and what's going on with you as the only thing that matters to him at that moment. If your looking for a primary care giver-choose him! 	5	5	5	5 	Insurance:Aetna
12	1	Dr. Landesman has been my doctor for the past 7 years.  He has a great bedside manner and is very knowledgeable. 	5	5	5	5 	Insurance:Unknown
12	1	Dr. Landesman has excellent bedside manner. His approach is calming, but with a tinge of humor. He takes any physical complaint seriously, and instills confidence in his diagnosis. All of his staff are exceptionally nice and responsive.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
12	1	He is always extremely professional and the best doctor I've ever seen.  		5	5	5 	Insurance:Oxford
13	1	Dr. Lang has been our family chiropractor for 16 years. I travel an hour to see him because he is the best. He is far more skilled and knowledgeable than any other chiropractor I've seen over the last 25 years.   I ended up going to him when I was pregnant.  I was jumping from one chiro to another trying to find one that understood a pregnant body and could provide relief from the strain pregnancy was putting on my back.  I'm so glad to have found such a wonderful doctor! 	5	5	5	5 	Insurance:Unknown
13	1	Dr. Lang is by far the best Chiropractor I have ever been to.  I actually travel an hour to see him because he is so thorough and caring.  He has the abiltiy to manually adjust his patients or he can use a machine that is so gentle and does such a great job.  My children have all been to see him ever since the time they were quite young.  I have recommended everyone to him that I know and after several years of trying other chiropractors I found him and stayed.  He is so knowlegable and the only one that can actually adjust my back.  He takes his time and I trust him which says alot.  While Orthopedic Docs and Physical therapists try to fix you he actually does and all without surgery or continuous visits. 	5	5	5	5 	Insurance:Unknown
14	1	Dr lam is a very caring and knowlegable doctor.  He does not rush you .  He also tries to evaluate your condition carefully before advising medication or surgery.  	5	5	5	5 	Insurance:Aetna
14	1	Doctor Lamm is an excellent doctor, kind, caring and considerate.  I would recommend him to anyone interested in a reputable doctor.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
15	1	He treated my mother who is 85 and was able to get her off the traich.  	5	5	5	5 	Insurance:Medicare
16	1	. Wonderful OB GYN! she examined my daughter and was a much better physician than the doctor for whom she was covering! 	5	5	5	5 	Insurance:Aetna
16	1	Dr. Lamborne is an amazing doctor.  She is very thorough, not just in the gynecological or obstetrics area.  She is concerned for your entire health and she takes the time to listen and appease all your fears, answer your questions, and make you feel completely taken care of.  She is the best gynecologist! 	5	5	5	5 	Insurance:Unknown
17	1	Dr Lansing has been my dr for going on 26 years - she is absolutely amazing.  	4	5	5	5 	Insurance:United Healthcare
17	1	Dr. Lansing is a true Healer.  She is extremely knowledgeable, not only about primary care (she can go a long way into specialties), as well.  And on top of it she is extremely kind, and listens carefully.  Though her office has moved to nearly an hour away from her home, I will continue to see her as my primary care physician.  It is true that there are often long waits in the office to see her, but it is worth it.  	4	2	5	5 	Insurance:Aetna
17	1	Dr. Lansing is skilled, compassionate and by far the best Dr I have ever been to. She really cares and understands complicated cases.   She is the bomb!!! The wait is worth it! 	4	2	5	5 	Insurance:Blue Cross / Blue Shield
17	1	Dr. Lansing is an amazing lady.  She has the knowledge and wisdom of experience, is intuitive, and very in tune with what is happening today in the field of medicine, as she oversees all of the intern's the practice.  Yes, you will wait a long time in the waiting room - she is rarely on time, but when she spends a minimum of  1/2 hour with me at each visit, it is worth the wait.   She only sees patients one day a week now, so it will take a long time to get an appointment.  But if you need something now, I find calling her nurse and leaving messages will often get me a return call from Dr. Lansing herself.  I have moved to another state, and I still return to see her.   I have never had a better doctor! 	5	2	5	5 	Insurance:Blue Cross / Blue Shield
17	0	Whats the use of having one of the most highly rated family doctors when it takes me months to get an appointment with her&#63;   Long wait in the waiting room as well. But I have to say she did spend a good amount of time with me its just that nothing came of it.  I was sadly disappointed.  	2	3	1	4 	Insurance:Blue Cross / Blue Shield
17	-1	Staff was rude and unfriendly. The wait was ridiculously long in a hot and stuffy waiting room, and when I finally got in, Dr Lansing rushed through the visit, told me to amke a follow up appointment and when I tried to the obnoxious and rude desk person told me there were none available.  	1	1	1	1 	Insurance:Aetna
18	1	I really like Dr. Labosco.  He puts me at ease during my exam.  I find him to be very nice and friendly.  I difinitely recommend him to anyone.  	3	3	5	5 	Insurance:Blue Cross / Blue Shield
18	0	He isn't my doctor in the group, but I was forced to have him for a spur of the moment appointment. I was surprised by his friendliness and consideration, although the negative comments on here are justified..I've experienced some of the same issues w the practice over the years. The bp reading is pointless..the nurse who took mine commented that I should have it retaken after seeing the doctor but after the doctor left the room nobody took it again. Many times when I'm done w the visit I feel confused.  	1	1	3	2 	Insurance:CIGNA
18	1	I LOVE DR. LOBOSCO HE IS THE BEST! HE WILL EXPLAIN STEP BY STEP HE HAS A GREAT PERSONALITY &amp; IM VERY HAPPY HE IS MY DR. 	5	5	5	5 	Insurance:Unknown
18	1	Dr. Labosco was recommended to me by my mother and a friend.  This was my first time going to him, and the wait time on the day after July 4th was under 15 minutes, and the front desk personnel were courteous and nice.  The nurse practioner was neither friendly or unfriendly, just very systematic with the process of checking my vitals, and weighing and measuring me.  As soon as Dr. Labosco walked into the room, he greeted me by my name, and put me at ease by using humor.  He listened to every word I said when I mentioned my problem to him, said that I had nothing to be embarassed about.  He not only answered my question, but also took the time to illustrate on paper for me so I could visualize what he was saying.  Before he performed the procedure, he detailed it for me because he wanted me to know what to expect before he proceeded.  I found Dr. Labosco to be kind, patient, and very helpful.  He didn't brush off my concern and made me feel better after my visit.I highly recommend him.  	3	5	5	5 	Insurance:Aetna
18	1	I have been going to Dr. LaBosco for over ten years. Never an alarmist, very knowledgeable, pleasant and patient. The staff could stand improvement but he is absolutely the best OBGYN I've had.  He even called me at home, months after my visit, because he had been at a confernece and read something that he thought may pertain to my case--and that was after my second visit to him! 	2	1	5	5 	Insurance:Oxford
