dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	One of the best physicians I have dealt with.  Takes great time explaining everything and making me feel comfortable.  He has helped countless friends and family including my daughter who feels the same way.  I have been seeing him for 15 years and refuse to see anyone else.  I can appreciated the wait since he definately spends time with his patients, unlike my opthomologist who only sees me for 5 minutes each visit.  	5	4	5	5 	Insurance:Aetna
1	0	If you have knowledge about your pre existing condition DO NOT GO TO THIS DOCTOR.  He does not consult with other doctors and has no problem not relieving  your pain until HE finds a solution, regardless of whether countless others concur with diagnostic results.  	3	1	1	5 	Insurance:Blue Cross / Blue Shield
1	1	He is a very good doctor with excellent bedside manner.  Wait time in office is too long (HOURS)but this is because Dr. Mahmood does take his time and spends about 30 minutes with each patient.  	5	1	5	5 	Insurance:Blue Cross / Blue Shield
1	0	Does not return calls. Office staff is very neglectfull and uncaring. Does not follow thorough on what they say. The wait in the waiting wrong is unbearable. HOURS!!!!! I'M DONE - i AM GOING TO A NEW DOCTOR.  	1	1	2	4 	Insurance:Blue Cross / Blue Shield
1	1	Good doctor when in office. Takes time to explain in detail. Hard to get a hold of office when need prescriptions, test resuklts and information.  Needs more or new office staff 	1	1	3	5 	Insurance:Blue Cross / Blue Shield
2	-1	I took my grandmother to go see Dr. Madhiwala for a routine eye check up. This doctor was unbelievably rude and she showed up late. Upon asking her how much longer she would be because she was attempting to see four patients all at once she abruptly became rude and addressed me to be a child and sarcastic. I have never met such an unprofessional doctor in my life.  I would NOT recommend for any one to see her. Her demeanor was very condescending and disrespectful. Overall a very bad experience I don't plan on going to see her ever again. 	4	2	1	2 	Insurance:Unknown
2	1	Overall, this is a wonderful practice!!!I recommend this location.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
3	1	I had implants, bone grafts and other extensive procedures performed by Dr. Maldado.  This was all viturally pain free with great results.  Based on my experience, Dr.  Maldanado is quite wonderful and I would give him the highest recommendation! 	5	5	5	5 	Insurance:Aetna
3	1	Got my tooth extracted and also got a screw placed in a couple months later ,the extraction was almost painless. Dr. Benjamin was professional, very skillfull, and knowledgable in his work.  	5	5	5	5 	Insurance:CIGNA
3	1	His work is excellent - minimal pain, no complications, and a very caring and friendly practitioner.  	5	5	5	5 	Insurance:Aetna
4	-1	This doctor is a quack. He prescribes meds too liberally and will not send people to specialists. 	2	5	1	1 	Insurance:Unknown
5	1	I'm so happy that I go here. I have never gone anywhere else because it's just so convenient for me at Dr. Magness' Office. I truly appreciate everything they do for us women. I couldn't ask for any better. My mother also goes to her and I have never heard a complaint. They are so convenient with appointments and times. You get there and are seen within minutes. The time management is great. Hospitality is so important and they have it. My privacy is very important to me and I never hear any of the staff talking about other patients. That means the world to me. I had an IUD put in me and yes it hurt but I really felt the compassion of the stuff during and after the procedure. I love the reminders of the my annual exam and the phone calls. It helps when your life is busy. I can't say anything negative about Dr. Magness or her staff. In fact all things said are positive and I hope that others will feel comfortable with Dr. Magness and her helpful staff.  	5	5	5	5 	Insurance:Aetna
