dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	commentsBarbara Nahas has been treating all 3 generations of my family for the past ten years.  She is very knowledgeable and kind.  She goes beyond what is expected of a primary care physician, in a professional yet down-to-earth way.  My family and I feel truly blessed to be in her care.  It is clear that she is passionate about her profession and the wellbeing of her patients.  She will stick her neck out for you, around the corner and beyond.  As a patient, I feel like family.  Beautiful person, inside and out.  Thank you, Barbara Nahas. 	5	5	5	5	Insurance:Unknown
1	1	commentsI've known Dr. Nahas for years, she has always been very professional, punctual, and diligent in her assessment of her patients. I'm very lucky to have have her as my primary MD 	5	5	5	5	Insurance:Unknown
1	1	 I feel truly blessed to have found her.  She gave me hope when I had none, and she followed me every step of the way.  This doctor is one smart cookie, with a kind heart, at that.  	5	5	5	5	Insurance:MedicarePaid/Co-pay:N/A
1	1	 Dr. Nahas has the loving compassion and knowledge that a physicians often don't have nowadays.  She keeps up with the latest research and is always willing to go out on a limb.  She is incredibly thorough and about a year ago, she found an explanation to a situation that I had endured for quite some time... that no one else could see!  This very well saved my life.  Her dedication to her patients is something that my family and I have valued for years.  	4	5	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
1	-1	 Dr Nahas appears to be sympathetic, but is not. She is a phoney and has very limited knowledge of what is or could be wrong with you. Just ask her help on something and she will turn on you in a second! If you are really healthy and do not require an expert and just want someone to refer you to others or give you pills, go to her.  Don't ever ask her to stick her neck out, all those fake hugs are just that! 	5	3	2	2	Insurance:CIGNAPaid/Co-pay:N/A
1	1	 Dr. Nahas has the best bedside manner of any Dr that I have gone to. She once called me at 9:00 at night to return my phonecall and discussed my test results with me so I wouldn't have to wait antoher day. She is a great Dr and her staff is very nice as well.  	5	3	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
1	1	 Dr. Nahas is very knowledgable, will take her time with you and is very thorough.  Highly recommended. She has seen me on short notice, which I greatly appreciated.  	5	5	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
1	1	 I have been a patient of Dr. Nahas for over 20 years, would highly recommend her.  	5	5	5	5	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
1	1	 She is a sincere and caring doctor. She treats her patients with respect and empathizes with what they are dealing with. She explains things thoroughly and in simple language so that you can understand the situation. You never feel rushed, because she takes time with each patient. I recommend her often.  		4	5	5	Insurance:HealthPartnersPaid/Co-pay:$20
6	1	commentsVery prompt, thorough and spends quality time with the patients. 	5	5	5	5	Insurance:Unknown
8	1	 Doctor is nice and spends good amount of time diagnosing the problem. She is very helpful and returns calls whether it is midnight or weekend. Staff is friendly. Knowledge is satisfactory as far as we are concerned as we went for fever and cold for my kid. Appointments would be slightly off and is same for all the doctors. She is available in the evenings and is very convenient. Would recommend.  	5	3	4	4	Insurance:Blue Cross / Blue ShieldPaid/Co-pay:N/A
