dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Dr.  Quillen 5 stars! dont judge his office he is a great doctor and did 2 surgeries for me and I cant complain 	4	5	5	5 	Insurance:CIGNA
1	1	Dr. Quillen is an outstanding surgeon who has extensive knowledge, as well as a great bedside manner.  He truly cares about each and every patient.  When you go in to see him; he listens to you. He is a top surgeon! 	5	5	5	5 	Insurance:Unknown
1	-1	 	1	1	1	1 	Insurance:Unknown
2	-1	Horrible experience. I went in for an ear infection and he told me to lay down.  Without any warning of the incoming pain, he he pushed down on a sensitive area of my ear with what felt like a needle.  Worse yet, while still holding down and causing the pain, he called over one of the staff and asked them to take a look and guess what the problem was.  Prior to that, while making small talk, he was condescending in the questions he asked and talked down to me with my responses to my college education.  I have no way to rate his knowledge, since he did not give any explanation to what he was doing or why.  No bedside manner at all.  	4	4	1	1 	Insurance:Aetna
2	0	Wow, that was a fairly traumatic experience.  I guess Dr. Quraishi doesn't believe it's important that he inform patients of what he's doing.  I went in for an ear cleaning, he told me to get up on the table and the next thing I knew I was in serious pain, of which I would very much have appreciated advanced warning or at the very least acknowledgment.  He never explained what he did, what medicines or preparations he used, just gave me a stern warning not to use headphones and to come back in four months.  I will be returning in four months but not to him.  I guess in retrospect I'm not surprised that I could get in to see him anytime while most others were booking 2 to 3 weeks in advance.  	4	5	1	4 	Insurance:Oxford
2	1	had my thyroid taken out(2 operations)at Holy Name- he knows what he's doing-very thorough; mannerisms may be bit odd to some, but he gets the job done! I would recommend him.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	0	Did not prepare me for pain discomfort during wax removal procedure. Concerned only with getting the job done and not my discomfort.  	3	3	1	5 	Insurance:Medicare
3	1	. Kind, friendly, understanding, gentle, funny, and most importantly -- very skilled! 	5	5	5	5 	Insurance:Delta Dental
4	1	Finally a doctor who listens to his patients! I received excellent care there and found no misgivings regarding insurance trouble. Dr. Qureshi is well respected in his community and has been wronged by another doctor who is also in pain management. Dr. Qureshi is very respectful and kind and I miss him tremendously. He does not deserve to in a compromised position when he did NOT do anyting wrong.  I would see him again in a heartbeat! He truly is a doctor that you can trust! 	5	3	5	5 	Insurance:Blue Cross / Blue Shield
5	1	NO MATTER WHAT ANY BODY SAYS .HE IS A GREAT DOCTOR &amp;  EXCELLENT HUMAN BEING. 	4	4	5	5 	Insurance:Unknown
5	-1	the staff is rude. I asked how long is the wait and she said, &quot;I don't know.&quot; Another patient had to leave and told the staff that he was there waiting for three hours!! The hour I waited there was not one person coming out of his office. This is no way to treat patients.  	1	1	1	2 	Insurance:Medicare
5	1	Dr. Quinones has been our family doctor for over 10 years. He's the best family doctor ever! We've moved an hour and a half away and still visit him regularly. We refuse to change doctors. Once you have a great doctor, you never want to change. And that's how I feel about Dr. Quinones and his professional staff. He's simply the best in New Jersey... period! 	5	5	5	5 	Insurance:Anthem
5	-1	DO not listen to the other comments It's a lie .. The wait is sooo long why have an appointment! The staff is Rude beyond comprehension. I was misdiagnose and treated wrong for 5 years. The doctor said i was Type 2 Diabetes and had me on pills to control my diabetes i was 120pnds i am 5-11&quot; looked like i was dieing and i was for 5yrs until my wife made an appointment for a specialist and i was then diagnosed properly as a Type 1 diabetic with insulin. I could have died and i am 28yrs.Old .. Do not take this doctors first opinion on a diagnosis you made find yourself to be like me! His staff was so RUDE I asked how long will it be since i had been waiting almost 2HRS and the receptions replied was &quot;DONT WORRY ABOUT IT &quot; there Rude and Ghetto Stay away i warn you there are plenty of Drs.  who will diagnose you the right way and you won't have to deal with there Ghetto staff 	1	1	1	1 	Insurance:Blue Cross / Blue Shield
5	1	He's a good doctor but most of the time, his office is packed, so bring a book. But overall, my husband and I like him. He's nice and makes you feel comfortable and answers your questions knowledgeably.  	5	3	5	5 	Insurance:Oxford
5	1	He gives medicine a delightful twist. He knows when to be serious and knows when to have fun. I always leave with great medical advice and a smile.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	1	He is the most knowledgeable doctor! He spends the time to be with his patient, often drawing pictures to help you understand. The only drawback is that because he has alot of patients, you might have to wait 2 hours even with an appt.  	5	4	5	5 	Insurance:United Healthcare
5	1	Dr. Quinones is a rarity in the field of medicine. Not only is he down to earth and amazingly knowledgeable, he also returns phone calls personally! Dr. Q has helped me make more progress with some difficult to diagnose symptoms than any other Dr., including high priced, obnoxious, specialists. He speaks to you in a manner which will truly give you an idea of what is going on, and also how to best assist in your own treatment. He speaks both Spanish and English, as does his attentive and sympathetic staff. The only minus... The wait can be quite long, let's hope he gets some equally talented docs to come work at his practice. 	 4/23/07		2	5	Insurance:Unknown
6	1	doc and staff are very friendly.. patiently outlined all our options and suggested the best option for us..  very happy we are blessed with a baby boy 	4	5	4	4 	Insurance:Blue Cross / Blue Shield
6	1	One of the best doctor i ever seen and he is excellent! It's amazing experience with him and this clinic. 	5	5	5	5 	Insurance:Unknown
6	1	awesome! Love him! He made my husband and I feel comfortable and helped made our dreams come true! 	5	5	5	5 	Insurance:Unknown
6	1	he the best dr i hv ever come across...for me he is the best.. just love him! 	5	5	5	5 	Insurance:Aetna
6	1	My husband is a federal employee, so our fertility treatments were not covered so we paid a lot for IVF.  But, I am carrying two beautiful baby boys so, it is all worth it.  Dr. Quasim explained everything and was trusting and caring.  The staff was pretty good although some attitude.  They made sure that I was able to have early appointments because of my long commute.   I am happy with everything! 	3	4	5	5 	Insurance:Blue Cross / Blue Shield
6	1	Very positive experience with dr.  and staff! Everybody friendly and patient 	5	5	5	5 	Insurance:Aetna
6	1	Love this doctor, he's the best.  He is very caring and is geniunely excited for you when you do finally become pregnant and he will make sure you do. 	4	4	5	5 	Insurance:Unknown
6	1	I can honestly say Dr. Qasim is one of my favorite doctors. He has a wonderful personality, is very knowledgeable, thorough, and caring. We felt very comfortable under his treatment and feel he has helped our dreams come true. His staff is also very professional and helpful with anything that we ever needed.  	5	5	5	5 	Insurance:CIGNA
6	1	Dr Qasim is a great doctor if he is in charge of your treatment.  IF you are left to be tended to by the other doctor Rahul Sachev, you are in big trouble. The clinical staff are rude and obnoxious and i would not recommend this clinic at all.  	1	1	4	5 	Insurance:Blue Cross / Blue Shield
6	1	After death of our son, we saw Dr. Qasim as we were totally devastated. He gave us hope. He helped us find an egg donor, which turned out to be an excellent match for us. He led us through the whole process in a very caring way. After transfer of two embryos, there was a single pregnancy the first time and we have a beautiful son. My wife is pregnant the second time after Dr. Qasim transferred two frozen embryos. This time we are expecting twins. We are so excited and we cannot thank Dr. Qasim enough for what he has don for us. He is very knowledgeable and thorough. He gets deeply involved in helping the patient. We have seen him numerous times during two pregnancies and we have absolute confidence in his abilities. I strongly recommend Dr. Qasim to anyone. The whole staff is highly professional and very helpful. Dr. Feng, Kevin and Erica are all wonderful.  AK 	5	5	5	5 	Insurance:Unknown
6	1	Were do i begin, wow what an amazing experience with his entire practice. Dr Qasim is one of the most caring and involved individual i have ever met!!  I am now pregnant with twins after one round of IUI, There aren't enough words to express how lucky we were to find Dr quasi, he is amazing.  His staff was extremely caring and whenever you had questions they would get back to right away!!  Thank you Dr quasi, Lisa and paul:) 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
6	1	Dr. Qasim and his staff are very professional. He gave us moral support and encourage us not to lose hope. Now my wife is 8 weeks pregnant. More power to you Dr. Qasim.  	5	5	5	5 	Insurance:Oxford
