dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	1	Office stinks. Overbooked. Doctor was sleepy when I went for my checkup. I didn't know if my results were accurate after that visit. Staff is rude. Secretary doesn't cooperate. 	 4/23/12	3	3	5	Insurance:Unknown
1	-1	Very over booked. Performed a ovarian cyst remaoval, and sent me home with 12cm of my ureter missing. I needed emergency surgery less than a week later. Biggest cover up I ever saw. 	1	1	1	1 	Insurance:Unknown
2	1	. dr salm was pleasent knowledgeable and took all the time we needed  he and his staff followed thru on appts and helped get my family thru a difficult time 	5	5	5	5 	Insurance:Medicare
2	-1	The most arrogant and unkind physician I have ever met.  His medical knowledge is not cutting edge. His medical advice is not current or up to date at all. He will not listen to any other ideas or opinions that you may have about your care. He thinks he knows everything, but his knowledge is not current at all. If he ever came in as a consult to me or any of my family members in the hospital again, I would ask to see another physician.  	3	3	1	1 	Insurance:Medicare
2	1	My mother has been seeing Dr.Salm for YEARS. He and the staff are actually very friendly and informative.My mother has COPD and is on 3L oxygen 24/7. Dr. Salm always spends quality time  during all visits and traets my mom and our family with RESPECT. In responce to any negative  comments about Dr. Salm. Accepting the fact that a family member my have a serious respitory problem can be rough. Before writing anything negative  try to look at the situation objectively and  get out of the denial stage.      My mom and her family have nothing but good things to say about Dr.  Salm!! 	5	5	5	5 	Insurance:Medicaid / Medi-Cal
3	1	Very compassionate, knowledgeable. Listens to me. Orders diagnostic tests as needed. Has been my doctor for years. With all the things wrong with me, she always &quot;gets it right&quot;. Almost like she''s psychic. 	2	4	5	5 	Insurance:Unknown
4	1	She is very soft and cheerful.  Makes me feel comfortable and that is a feat since I have white coat syndrone.  	5	5	4	5 	Insurance:Medicare
4	1	Dr. Sabo was the doc who finally diagnosed my mother's dementia.  5 neurologists dismissed her symptoms over a 2 year period until we found Dr. Sabo.  She diagnosed her on the first visit by doing simple tests the &quot;specialists&quot; never did.  She has been a pleasure to deal with over the last several years.  Listens to both the patient and family.  Addresses issues. Michelle in her office is wonderful as well. 	5	4	5	5 	Insurance:Unknown
4	-1	The absolute worst. Bedside manner is lousy too. 		1	1	1 	Insurance:Unknown
5	1	Very fine Psychiatrist. 	5	5	5	5 	Insurance:Unknown
6	1	He is a very patient doc and a good doc too 	5	5	5	5 	Insurance:Unknown
