dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	Would not give me a straight answer on the procedure that I wanted done.  He does not deal well with educated women who want a say in their medical care.  He tried to diagnosis me with several medical problems that made no sense with my medical history &amp; with opinions that I received from other OBGYNs. 	2	4	2	2 	Insurance:Unknown
1	-1	Bad bedside manners!!!!!! Just bad!! He talk down to me.  I felt like a child in his office 	3	3	1	2 	Insurance:Blue Cross / Blue Shield
2	1	He is not the nicest person on earth but he is a wounderful dentist i have been seeing him for 12 years. One day I went to another dental office because it was closer to school and ya everyone was nice but the dental work sucked I am in pain so I am going to see my good old Doc. asap.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
2	-1	 	2	1	1	1 	Insurance:Unknown
2	-1	needs to retire...yesterday.   worst dental nightmare i have ever had. 	2	5	1	1 	Insurance:Unknown
2	1	I have had to have a few teeth taken out, i was neverious and he was able to put me under and pull my teeth.  he and his staff are always helpful and he ALWAYS takes me as a walk in when my teeth are in pain. he is the only dentist i will go to if you are in pain he will see you as a walk in he and his staff are always there for me.  on day i broke my tooth i called him to leave a message at 5:30 am by 6:15 he called me back and told me to come on in he fixed me tooth and i was at work by 9:00 he is the best! 	5	5	5	5 	Insurance:Delta Dental
2	-1	Dr. Osofsky must be one of the most unpleasant people I've ever encountered. I can't think of a worse person to invite to care for my teeth. I would highly discourage anyone in their right mind from visiting his practice.  There are many talented dentists in the Albuquerque area who will provide top quality care without such a terrible attitude. 	1	5	2	1 	Insurance:Unknown
3	1	he is very caring and compassionate and takes his time with you. his staff is great 	5	5	5	5 	Insurance:Unknown
4	1	I loved her so much. She made me feel so comgortable. When i had developed bad ovary twisting cysts she made sure i was properly and proptly taken care of. I also miss our visits and am tring to find her since she left northside.  	5	5	5	5 	Insurance:Medicaid / Medi-Cal
4	1	She's the PA not a doctor at the Pres. Northside OB/Gyn branch. I saw her for every other prenatal visit I had at this practice.  Great bedside manner, patient, &amp; talks to you about all your concerns.  She's extremely bright &amp; knowledgeable &amp; helped me resolve another long-plaguing bothersome medical problem that went overlooked for sometime.   Can't speak about the other person that commented about her, but my experience w/her was wonderful &amp; miss my visits w/them! 	5	5	5	5 	Insurance:Tricare
4	-1	First of all, she didn't do a proper pelvic exam during my annual check up. I ended up in urgent care the very next day with a large ovarian cyst. I had a follow up appt with her a couple days later when she decided was a good time to do a proper pelvic exam and confirmed that there was infact a cyst. But that was it... she didn't set any expectations with me, I didn't know what to expect or how to treat it. One day I had an excrutiating pain where the cyst was, called her, and she told me it was normal. I went on for several weeks still experiencing pain and disomfort. So she ordered another ultrasound. The ultrasound showed no cyst, so we concluded that it probably ruptured that day I got the sharp pain. Fine... except that 2 weeks went by and I was still in pain, she once again didn't set expectations with me. So I called to see if the persisting pain was normal. She acted irritated that I called in. But I shouldn't have had to.  	3	1	1	3 	Insurance:United Healthcare
5	1	. Dr Okun is respectful, knows hows to communicate and is incredibly smart 	5	3	5	5 	Insurance:Blue Cross / Blue Shield
5	-1	Very rude and uncaring physician.  I had a complication with my pregnancy and she was not caring in any way shape or form.  She was not even sure about the equipment she was using when examining me.  I did not feel she was qualified even though her education is impressive.  I would NEVER see her for a future pregnancy or recommend her to anyone.  	1	1	1	1 	Insurance:CIGNA
5	1	I have been seeing Dr. Okun for years. She was my OB for both my kids and took great care of us.  	4	4	4	5 	Insurance:United Healthcare
