dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	Where do I start&#63;! B4 even seeing the doctor: 1st..his biller attempted to charge me a $75 deductible that didn't apply. They argued with me until they called my insurance company just to confirm how wrong they were. The look on her face was priceless when she was told I was right. 2nd the M. Assistant took a BP while I was standing...(inaccurate reading obviously), then she weighed me an didn't read the scale properly.(She noted an additional 10 lbs because she was too lazy to get a closer look.)Now the Doctor:After not having a complete physical in over 3 years, a month and half wait for an appointment and a 4 hour wait in the waiting area; the doctor ask a few question pertaining to history, checked my neck, my stomach and sent me on my way to get lab work!! He did NOTHING WHAT SO EVER!!No ear, mouth, throat exam, No reflex check, He didn't even make me cough.  The lady that took my blood didn't know enough to put gloves on while drawing blood!!Horrible Facility/Experience!Stay Away! 	1	1	1	1 	Insurance:Aetna
1	-1	Horrible doctor; prescribes medicines like it is candy. Had medical emergency, ended up going to Emergency room since he never called back from all calls placed to on call pager as they went unanswered; never followed up with me to find cause of calls. Nurse is not properly trained as she does not know how to locate vein to draw blood; poked several times before blood was drawn.  STAY AWAY; HORRIBLE DOCTOR!!! 	1	1	1	1 	Insurance:Aetna
1	1	although you must wait hours before being seen by him, he is worth your wait. good bedside manner and knows what he's talking about. He always helps me even if I &quot;think&quot; I'm sick. 		2	5	5 	Insurance:Unknown
2	1	Dr. Facchini is an excellent therapist...extremely knowledgable and helpful. 	5	4	5	5 	Insurance:Unknown
3	1	Very helpful broad knowledge  and friendly. Easy to discuss medical issues.  Takes time with you 	5	4	5	5 	Insurance:Oxford
3	1	So busy he gets distracted and doesn't answer sonem questiosn because of this.  His offcie staff is a  mess. 	2	1	4	5 	Insurance:Unknown
4	-1	Dr. George Fairey is an unprofessional, uncooperative doctor who does not call his patients back when they are admitted into the hospital after he prescribed the wrong medication and never tested my bloodwork!! 	1	1	1	1 	Insurance:Unknown
5	-1	This dentist sees all her young patients as cash print machine. She rushed in and out without any necessary communication and explanation to the procedure  that she plans to perform. She did expensive works on my child within a short 10min while I was sitting in the same room. She started and finished without any of my understanding and consent. It is absurd. I would only assume that she, as a young dentist who just came out of school for 2 years, rushing to make money is her priority rather than being a solid good dentist. SAD for her. 	3	1	1	1 	Insurance:Unknown
5	1	Dr Peggy Fard is profesionally great and personally pleasent.  She is great! 	4	4	5	5 	Insurance:Delta Dental
5	1	Dr Peggy made my daughter so comfortable. She is an amazing dentist.  I will follow her on her new practice in Yonker.  My daughter loved her.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
5	-1	dr was told pt is difficult and used a back board with straps to tie child down.  would not recomend  any child to go here 	4	1	2	2 	Insurance:United Healthcare
6	1	I went in with excruiating pain in my back left side middle. Dr Farren told me I bruised my ribs..he adjusted me. I feel 10% better after one day and one treatment.  He's my guardian angel 	5	5	4	4 	Insurance:GHI
6	1	. he was a very caring doctor and he also made me feel like  amillion bucks after treatment 	3	5	5	5 	Insurance:United Healthcare
7	1	This doctor wont Rx any Pain or Anzity meds, told me to hit the road and gave me no rx. I have been on pain meds 6 years with full records, He wouldn't even look at them. Called me a druggie. Thanks doc! 	5	5	5	5 	Insurance:Unknown
7	1	. great doc and very helpfull,needs to improve his staff,works crazy hours,no need for an appt 	3	4	5	5 	Insurance:Blue Cross / Blue Shield
7	1	THE MAN IS UNBELIEVABLE YOU CAN WALK IN WITH NO APPOINTMENT AND HE WILL ACCOMODATE. VERY WELL ROUNDED AND GREATEST BED-SIDE MANNER EVER. HE CARES AS IF HE IS RELATED!!!! YOU WILL NEVER FIND A MORE DEVOTED DOCTOR.  ONE TIME MY MOM WAS SICK AND HE EVEN CAME TO THE HOUSE AT 1230 AM WHAT A MAN WHAT A DR! 	4	5	5	5 	Insurance:United Healthcare
7	-1	He was horrible he never explains anything . He writes prescriptions and bangs out your insurance.  	2	3	1	1 	Insurance:Medicaid / Medi-Cal
7	0	. everyone knows this man as the candy man because you walk out with at least 2 rxs every time! hes just ok very convenient 	2	1	3	3 	Insurance:HIP
7	-1	don't know what to say, he is operting a supermarket not as medical office with a very bad medical knowlege 	2	1	2	1 	Insurance:Unknown
7	1	His staff is a little slow, but HE is extremely well rounded. You can come to him for almost any infection/problem imaginable & he knows a cure. Don't be skeptical to go.  He is well known in the community as well 	3	3	5	5 	Insurance:GHI
7	-1	 	2	3	1	1 	Insurance:Unknown
8	1	He was very knowledgable and explained everything to me!! I recieved copies of all tests and reports.  I even had problems getting presciptions from the pharmacy and he changed them with no problems!! 	 12/7/06		5	5	Insurance:Tricare
8	1	Very nice and friendly Staff is also very nice too 		4	5	5 	Insurance:Unknown
9	1	a very nice doctor who listens and cares.  nice nurses too. 	5	5	5	5 	Insurance:Unknown
10	-1	If you want a doctor who will respect you as a patient, listen to your concerns and explain your options, then this is NOT the doctor for you. I found Dr Farid to be very condescending, he ordered all sorts of tests and would not explain why he ordered them or what they were intended to diagnose/rule out. I suspect he capitalizes on the availability of patients' insurance and profits from patients who blindly go along with what he orders.  If you are committed to a job and you cannot make a career out of going for dozens of tests and followups then you need a more discerning doctor who will respect your time. 	2	3	1	1 	Insurance:Unknown
10	-1	stay away from this idot doctor he is allthe above negative comments 	5	2	1	1 	Insurance:Unknown
10	1	Excellent doctor and staff.            Highly recommendable.  	5	5	5	5 	Insurance:GHI
10	-1	Rushes you and treats you poorly. Very rude and unprofessional. The office staff continually cancels, or sets bad appointments. The doctor uses traveling technicians that make it very impersonal. Refuses to sit and have a verbal consult after appointments. I am sure the doc is very smart, but he doesn't realize how the patients feel. 	2	1	1	2 	Insurance:Unknown
