dr-id	rating	review-text	staff	punctual	helpful	knowledge	insurance
1	-1	18 years ago, I was an accomplished ballroom dancer.  After two surgeries performed by Dr. Galli (the second one was supposed to correct the mistakes he made in the first), I am in constant pain when just walking &amp; my dance career is over.  Over the years, I have seen several highly-rated foot surgeons in an attempt to relieve the pain.  Every one of them has refused to operate -- the reason is that the two surgical procedures caused so much damage, they don't think anything will work and further surgery could make things worse. Our feet are so very important; entrust them only to a competent doctor, not Louis Galli.  	 9/10/12	2	3	1	Insurance:Oxford
1	1	Dr. Galli operated on me in 1980 and did excellent job. Very busy man but understanding and patient. Never offered me any medication at office so am surprised to see those ratings. Some staff has been unpleasant at times but think mostly due to stress of busy office. Rely fully on his opinion and wouldn't change him for anything.  	 1/25/12	3	5	5	Insurance:Blue Cross / Blue Shield
1	1	Great experience. Extremely knowledgeable about dance and dance injuries. Have seen several other doctors but they were little help. Didn't seem like a businessman to me but a very caring individual. Just my opinion. 	5	5	5	5 	Insurance:Unknown
1	1	I have found Dr. Galli to be skillful and knowledgeable.  He listens well and seems very compassionate. 	4	5	5	5 	Insurance:Unknown
1	1	I totally disagree with the previous post. Dr Galli was awesome. He spent time with me and explained my problem thoroughly. His staff couldn't have been more accommodating my busy schedule. He did surgery to correct my problem.  I wish all my doctors could be as nice 	5	5	5	5 	Insurance:Aetna
1	-1	This doctor is  a cool and smooth businessman. His staff is the rudest and most incompetent I have ever encountered. He must like it that way. One is kept waiting for a long time without explanation, also on the telephone, the person says &quot;Just a second&quot; and never comes back in four or five minutes which was enough waiting for me. He is a killer with a smooth smile.  	 11/18/11	1	1	1	Insurance:GHI
1	-1	Funny, charming, puts you at east and tells some good stories. However none of this is what I'm going to see a doctor for. He spent all of ten minutes on my actual problem, asked almost no questions, and from what I can tell completely ignored other info I tried to give him. He showed me a few stretches (but didn't tell me how often or long to do them) and referred me to a PT. The PT was out of my insurance plan, and it's been a full week since I sent him a list of other PT's that are in my plan (which his office lost at first). I've called them repeatedly and I get absolutely no response back even when &quot;he's standing right here, I'll have him call you back in a moment&quot;. Absolutely never returning. I wish I had read these reviews before taking my GP's word. 	1	3	1	2 	Insurance:Unknown
1	-1	 	1	2	1	1 	Insurance:Unknown
1	-1	As one of the other posters wrote, he is a business man. I went to take care of a problem I had and he &quot;prescribed&quot; some medication, that I bought at his office. These medications did not help at all.  I never met a doctor that sold his own medication to patients. Later I researched it and found these so called &quot;medications&quot; were not even to be used for my issue.           I was very unhappy.  He can be funny, even charming. But all in all, he is a businessman, looking out for himself and making a quick buck.  Speaking of quick, he spent approx 10 minutes with me, if that.  I would not recommend based on my experience. I needed to go to see someone else to take care of my issue.  	2	3	1	1 	Insurance:United Healthcare
1	-1	He is one of the WORST doctors.  I was a new mom with HORRIBLE  feet problem ad he did nothing to help except make orthotics and keep having me come back.  His knowledge is unimpressive.  He is VERY impressed with himself and it comes out in every appnt.  His office staff fears him which might be why they are so unhelpful and rude.  All in all he is one of the worst excuses for a health care provider.  he is a business man.  	1	3	1	3 	Insurance:AARP
1	1	I WAS SEVERLY INJURED WHILE IN NY I CALLED MY FL DOCTOR HE SAID CALL DR GALLI IDID AND IF IT WASNT FOR DR GALLI MY FEET COULD HAVE BEEN AMPUTATED I DONT KNOW WHERE SOME OF THESE PEOPLE GET OFF WRITING UGLY AND UNTRUE THINGS ABOUT DR GALLI HIS STAFF BENT OVER BACKWARDS TO HELP ME CALLED BACK WHEN PROMISED AND DR GALLI KNEW WHAT TO DO,IF YOU SAW HOW SOME OF PATIENTS TREATED THE STAFF NO WONDER THEY WOULD BE SURLY DR4 GALLI RUN A EXCELLENT OFFICE ALL DRS SHOULD BE SO PROFESSIONAL ALSO HE DIDNT KNOW ME FROM ATOM AND ILL REPEAT AGAIN IF IT WASNT FOR DR GALLI QUICK TREATMENT I MIGHT HAVE LOST BOTHT FEET  HES THE BEST GOD BLESS DR GALLI 	5	5	5	5 	Insurance:Unknown
1	-1	.  	1	1	1	1 	Insurance:CIGNA
1	-1	I wouldn't send my cat to Dr. Galli! He performed bunion surgery on me 19 years ago. During post-op physical therapy -- in his office. I noticed that my big toe was noticeably sticking out in the wrong direction. The PT did not notify Dr. Galli nor did the Dr. bother to take a look at my foot.  After weeks of therapy, I insisted on seeing Dr. Galli. He immediately said that the &quot;overcorrection&quot; could only be remedied by redoing the surgery. After the second operation, the toe was marginally better but I was still in serious pain. Dr. G. said it would &quot;take a while.&quot; I was not able to wear regular shoes for over a year and have suffered with pain in this foot ever since Dr. Galli's surgery. I recently saw a surgeon who told me my foot has sustained nerve damage (I have no sensation in the bunion area), a lot of scar tissue and of course, the toe sticks out in the wrong direction -- which deforms all of my shoes.  I'm now facing surgery to correct Dr. Galli's mistakes. 	2	3	1	1 	Insurance:Unknown
1	1	I have been a nurse for lots of years and would not have my daughters' seen by anyone but Dr. Galli.  He is caring and very knowledgeable, and also extremely funny.  My daughters' love him and he takes time to explain information.  As teens they listen to what he says and follows the recommendations (amazing.  He is right on for the treatment, and understands joint disorders.  Great Doc.  	5	5	5	5 	Insurance:Blue Cross / Blue Shield
1	1	I just took my 16 year old daughter to Dr. Galli. SHe is a ballet dancer and had a problem with her little toe. He was very knowledgeable and gave her suggestions to prevent injury. He was extremely funny, and it was one of the more relaxed, enjoyable doctor visits we have been to.  	4	5	5	5 	Insurance:Blue Cross / Blue Shield
1	-1	I went to Dr. Galli after seeing several doctors.  I'm a runner, and I've had 3 years of consecutive stress fractures.  The last time I went to Dr. Galli, I went to get my feet cast for orthotics, and I had suspected that I had another stress fracture. I told the doctor that I was feeling pain at the ball of my foot. He told me that if I had a stress fracture that I'd feel pain at the top of the foot.  He never bothered to examine my foot but instead casted my feet for the orthotics, which took at least 2 months before they arrived.  Another 3-weeks went by, and I was still feeling pain at the ball of the foot. So, I saw another doctor. He took my history, examined my feet (when he applied slight pressure to the bone, it hurt) and he ordered a bone scan.  The bone scan showed a &quot;hot spot,&quot; which suggested that there was another fracture.  I will never go back to Dr. Galli again. Also, I had questions about my orthotics. I called Dr. Galli's office 2x. I never got a return call.  	3	3	2	2 	Insurance:CIGNA
1	1	Dr. Galli is the best podiatrist and the best surgeon.  His orthotics are also the best because he takes a true mold of your foot and doesn't just stick your foot into a foam box which you could do yourself at home.  I have known people over the years who have had surgery performed by Dr. Galli and all had perfect outcomes and are still enjoying the benefits years later.  I find Dr. Galli to be caring and spends an appropriate amount of time at each visit.  My visits for orthotics were brief, but when there was a more serious issue, he took the time.  I have had surgery by Dr. Galli on one foot and will use him for the other.  I wouldn't have any other doctor touch my feet.  The office staff has not been an issue, nor have I had to wait more than a few minutes past my appointment time, if at all.  	4	5	5	5 	Insurance:United Healthcare
1	1	Doctor Galli was recommeded to me by my Physical Therapist.  I ignorned the posts on this page about the office staff being rude.  I thought that I would be able to do deal with that.  WRONG!  NOBODY in that office has time for you.  Not even the Dr. I always feel VERY rushed. I am never given even close to the 15 min given for my appointment.  I think the 3 times I have been there he's seen me for no more than 5 min each time.  I feel as if I don't start talking to him as I walk down the hallway then I am going to run out of time during that visit. Dr Galli is a very knowledgeable doctor and I am very happy with my orthodics. I just wish he had time to spend with his patients.  Each time I was in the office I was told that he is behind schedule because there were emergencies he had to take care of.   If I don't get my 15 min of patient time then I shouldn't have to pay a $50 copay! 	1	4	4	5 	Insurance:CIGNA
1	1	I have been going to Dr. Galli's office for quite some time and although I too have had issues with the support staff in the past the office itself is very busy ALL of the time which could explain why some are curt and rude although this is not an excuse. Considering how busy they are I rarely ever have to wait past my appt. time and my experience with Dr. Galli has proven to me that he is an extremely caring, excellent Doctor who I trust completely. He always tries to answer my questions in a way that I can understand the issue and I do not ever feel &quot;rushed&quot; in any way.  	3	5	5	5 	Insurance:United Healthcare
1	0	Love the doctors, hate the office and the staff. They are beyond rude and unhelpful and have attitude. 		3	3	3 	Insurance:Unknown
1	0	&quot;The bum's rush&quot;--my experience at Dr Galli's office. The staff is surly, uncooperative, and rude. If I call I'm kept on hold at leat 10 minutes. I was told they never call a patient so even when my appointment should have been cancelled since my orthotics were not ready I got no word. Dr Galli spends mere seconds with me per visit. He digresses irrelevantly during that brief time and I have to try to interrupt with questions and concerns, which are brushed off quickly. I'm blamed for whatever is wrong--&quot;you overdid it!&quot; &quot;the princess and the pea&quot; (exact quotes). My investment in expensive orthotics was a waste. They worsened the problem. So now I've been pitched shockwave treatment. Sorry, I won't be throwing away any more money and time, my trust is gone. A horrible experience.  		3	2	3 	Insurance:Blue Cross / Blue Shield
1	1	Excellent doctor. Very knowledgeable, took time to carefully evaluate problem, plus made me feel comfortable by telling jokes. Office staff was helpful, too. Recommended 		5	5	5 	Insurance:Unknown
1	0	Receptionist and office help is horrid. They sit back and let the patient do the work. Not only are they incompetent, they act as if it's the patients responsibility to do the paperwork. Dr. Galli sees each patient for 3-4 minutes, bills the insurance company and the patient has a co-pay of $25. Then he tells you to come back again to discuss the same situation. Very unprofessional. I cancelled my surgery because I am afraid of his indifference (which he masks by pretending to really care. This is my 4th surgery and I've had it with podiatrists.  		4	2	3 	Insurance:Aetna
1	1	Dr. Galli works is busy, but he took my entire body into consideration when treating my feet and helped me get to the bottom of some longstanding physical discomfort. He is very caring, despite how busy he is. His associates are very good as well. I have been treated by both of them.  		4	5	5 	Insurance:Aetna
1	1	The podiatrists in this office, including Galli, (he's a bit gruff, but only a bit, and has clearly the most experience) all are knowledgable and smart. I trust them. The OFFICE, however, is dreadful. The receptionist is rude, has a surly attitude. I prefer polite and kind. I'm thinking of going elsewhere for that reason. 		2	4	5 	Insurance:Unknown
2	1	I needed to consult an internist for a pre screening exam for an outpatient procedure… and was lucky enough to end up with Karen Galichon, MD.     What I learned about her via Google suggested she would be clinically excellent and I would like her…right on both counts.     This lovely lady is sharp as the heel on a jimmy Choo strappy sandal....collegial, down to earth and actual BFF material.   I got lucky... and if you choose her, so will YOU! 	5	5	5	5 	Insurance:Blue Cross / Blue Shield
2	1	I had a very good experience with Dr. Galichon. She seemed sympathetic to my concerns and prescribed something that worked quickly. My visit was short, but I don't need long discussions with my doctors as long as they are receptive and efficient, which she was.  	5	3	5	5 	Insurance:United Healthcare
